work_title,sentence,sentence_length
அப்பம்_தின்ற_முயல்,அப்பம் தின்ற முயல் பாவலர் நாரா.,5
அப்பம்_தின்ற_முயல்,வெள்ளை வெளேரென்று பனி நிறத்தில் எவ்வளவு அழகாக இருக்கிறது.,7
அப்பம்_தின்ற_முயல்,அதன் கண்களும் காதுகளும் எவ்வளவு அழகாக இருக்கின்றன.,6
அப்பம்_தின்ற_முயல்,அது துள்ளிப் பாயும்போது மின்னல் பறப்பது போல் இருக்கும்.,7
அப்பம்_தின்ற_முயல்,அவ்வளவு வேகமாகப் பாயும்.,3
அப்பம்_தின்ற_முயல்,இவ்வளவு அழகான பத்து முயல் குட்டிகளை வைத்து திரு.,7
அப்பம்_தின்ற_முயல்,நாரா நாச்சி யப்பன் உங்களுக்கு இங்கே பத்துக் கதைகளை எழுதித் தந்திருக்கிறார்.,9
அப்பம்_தின்ற_முயல்,பத்தும் பத்து விதமான கற்பனை.,4
அப்பம்_தின்ற_முயல்,"படிக்கப் படிக்கச் சுவையூட்டும் மிக விந்தையான இந்த முயல்கள், உங்கள் மனத்தை விட்டுப் போகா.",11
அப்பம்_தின்ற_முயல்,இந்த முயல்கள் ஒவ்வொன்றும் உங்களுக்கு ஒவ்வோர் அருமையான கருத்தை விளக்குக்கின்றன.,8
அப்பம்_தின்ற_முயல்,கருத்துக்குக் கருத்து கதைக்குக் கதை வாழ்க்கைக்கு வழிகாட்டி !,6
அப்பம்_தின்ற_முயல்,இந்த அருமையான கதைகளை நீங்கள் படியுங்கள் உங்கள் நண்பர்களைப் படிக்கச் சொல்லுங்கள் உங்கள் தம்பி தங்கையருக்குச் சொல்லுங்கள்.,13
அப்பம்_தின்ற_முயல்,உங்கள் அருமைப் பெற்றோருக்கும் புதிய கதை சொல்லிக் களிப்படையச் செய்யுங்கள்.,8
அப்பம்_தின்ற_முயல்,உங்கள் வீடு இன்பமயமாகத் திகழ இந்தக் கதைகள் பயன்படும்.,7
