work_title,sentence,sentence_length
அர்த்தமுள்ள_விளையாட்டுக்கள்,அர்த்தமுள்ள விளையாட்டுக்கள் டாக்டர்.,3
அர்த்தமுள்ள_விளையாட்டுக்கள்,அர்த்தமுள்ள விளையாட்டுகள் இருமுறை தேசிய விருது பெற்ற நூலாசிரியர் டாக்டர் எஸ்.,9
அர்த்தமுள்ள_விளையாட்டுக்கள்,"அர்த்தம் உள்ளவைகள் தாம், ஆறறிவு படைத்த மனிதர்களிடையே ஆனந்தமான வரவேற்பைப் பெறுகிறது.",9
அர்த்தமுள்ள_விளையாட்டுக்கள்,"அர்த்தம் இல்லாத பொருள் எத்தனை தாம் விலை உயர்ந்தவைகளாக இருந்தாலும், வரவேற்கப்படுவதில்லை.",9
அர்த்தமுள்ள_விளையாட்டுக்கள்,"வரலாற்றுக்கு முற்பட்ட காலத்திலிருந்தே மனிதர்களின் மதிப்புக்கும், துதிப்புக்கும் மூலப்பொருளாக இருந்து வருபவை விளையாட்டுக்கள் தாம்.",11
அர்த்தமுள்ள_விளையாட்டுக்கள்,விளையாட்டுக்கள் ஒன்றும் புரியாத புதிருமல்ல வேண்டப்படாத விவகாரமும் அல்ல.,7
அர்த்தமுள்ள_விளையாட்டுக்கள்,"ஏனென்றால், அவைகள் கஷ்டப்பட்ட பிறகே கிடைப்பதாகும்.",5
அர்த்தமுள்ள_விளையாட்டுக்கள்,"விளையாட்டுகள் கூட, பணம் கட்டி விளையாடும் போது பெருமைகள் பெறுகின்றன.",8
அர்த்தமுள்ள_விளையாட்டுக்கள்,அதற்கு கிரிக்கெட் ஆட்டம் ஒரு சான்றாகும்.,5
அர்த்தமுள்ள_விளையாட்டுக்கள்,"ஆனால், தினையளவு இருந்தாலும், பனையளவாகப் பயன் அறிவார் ஏற்று மகிழ்வார்கள்.",8
அர்த்தமுள்ள_விளையாட்டுக்கள்,குறை சொல்பவர்கள் சொல்லிக் கொண்டு தான் கிடப்பார்கள்.,6
அர்த்தமுள்ள_விளையாட்டுக்கள்,அவர்கள் திருந்தவும் மாட்டார்கள்.,3
அர்த்தமுள்ள_விளையாட்டுக்கள்,திருத்தவும் வாய்ப்பளிக்க மாட்டார்கள்.,3
அர்த்தமுள்ள_விளையாட்டுக்கள்,என்றாலும் ஒரு நாள் அவர்கள் நம் பக்கம் வந்து தான் ஆகவேண்டும் என்ற நம்பிக்கையுடன் எழுதிக் கொண்டிருக் கிறேன்.,14
அர்த்தமுள்ள_விளையாட்டுக்கள்,வைத்தியர்கள் உடற்பயிற்சி செய் !,3
அர்த்தமுள்ள_விளையாட்டுக்கள்,"அந்த நம்பிக்கையை செயல்படுத்த, இந்த அர்த்தமுள்ள விளையாட்டுக்கள் எனும் நூல் உதவும் என்ற மனதிருப்தி யுடன் உங்களிடம் அளிக்கிறேன்.",14
அர்த்தமுள்ள_விளையாட்டுக்கள்,"ஆதாம் சாக்ரட்டிஸ் அரிய உதவியுடன், அழகுற அச்சிட்டுத் தரும் கிரேஸ் பிரிண்டார்ஸ் தங்கள் பணியை செவ்வனே முடித்துத் தந்திருக்கின்றனர்.",14
அர்த்தமுள்ள_விளையாட்டுக்கள்,என் இனிய வாழ்த்துக்கள்.,3
அர்த்தமுள்ள_விளையாட்டுக்கள்,எனது நூல்களை வாங்கி ஆதரிக்கும் அனைவருக்கும் என் அன்பும் நன்றியும்.,8
அர்த்தமுள்ள_விளையாட்டுக்கள்,ஞானமலர் இல்லம் அன்புடன்⁠ ⁠சென்னை பதினேழு .,5
அர்த்தமுள்ள_விளையாட்டுக்கள்,நவராஜ்செல்லையா ﻿பொருளடக்கம் ஒன்று.,3
அர்த்தமுள்ள_விளையாட்டுக்கள்,"விரைக, உயர்க, வலிமை பெறுக நாற்பது ஆறு.",6
அர்த்தமுள்ள_விளையாட்டுக்கள்,"பசித்திரு, தனித்திரு, விழித்திரு அறுபத்தைந்து பத்து.",5
அர்த்தமுள்ள_விளையாட்டுக்கள்,பணிவு கனிவு துணிவு எழுபது பதினொன்று .,5
அர்த்தமுள்ள_விளையாட்டுக்கள்,மறைந்து கிடக்கும் மனித சக்தி தொன்னூற்றிரண்டு பதினான்கு .,6
அர்த்தமுள்ள_விளையாட்டுக்கள்,ஆண்டவன் படைப்பிலே அத்தனைப் பொருட்களும் அர்த்தம் உள்ளவைகளாகவே விளங்குகின்றன.,7
அர்த்தமுள்ள_விளையாட்டுக்கள்,அர்த்தம் இல்லாத பொருட்களோ அல்லது அவசியம் இல்லாத பொருட்களோ இந்த உலகில் எதுவுமே இல்லை.,11
