work_title,sentence,sentence_length
அறிவியல்_வினா_விடை-இயற்பியல்,அறிவியல் வினா விடை இயற்பியல் பேரா.,5
அறிவியல்_வினா_விடை-இயற்பியல்,﻿அறிவியல் வினா விடை இயற்பியல் பேராசிரியர் அ.கி.,7
அறிவியல்_வினா_விடை-இயற்பியல்,"மெய்யப்பன் நிறுவனர் மெய்யப்பன் தமிழாய்வகம் வேதம், உபநிடதம், விவிலியம், இலக்கணம் முதலியவற்றைக் கற்பிப்பவர்கள் வினா எழுப்பி விடை கூறுவர்.",14
அறிவியல்_வினா_விடை-இயற்பியல்,உரையாசிரியர்கள் தாங்களே விடையெழுப்பிக் கொண்டு விடை பகரும் உரை நெறியைத் தொல்காப்பிய உரைகளில் நாம் காண்கிறோம்.,12
அறிவியல்_வினா_விடை-இயற்பியல்,வினாக்கள் வாயிலாக விடைகள் கூறும்போது பொருள் புலப்படுகிறது.,6
அறிவியல்_வினா_விடை-இயற்பியல்,இந்த உத்தியால் பொருள் விளக்கம் பெறுகிறது.,5
அறிவியல்_வினா_விடை-இயற்பியல்,ஒரு பத்திச் செய்தியை ஒரு வினா மூலம் ஒரே வரியில் சொல்லி விடலாம்.,10
அறிவியல்_வினா_விடை-இயற்பியல்,ஒரு வரி வினாவுக்கு ஒரு சொல்லிலே பதில் அமைத்து விடலாம்.,8
அறிவியல்_வினா_விடை-இயற்பியல்,கேள்வி கேட்டுப் பதில் உரைக்கும் முறை பண்டு தொட்டு இன்று வரை வளர்ந்து வரும் கற்பித்தல் நெறியாகும்.,13
அறிவியல்_வினா_விடை-இயற்பியல்,"இன்றும் வானொலி, தொலைக்காட்சிகளில் வினா எழுப்புகிறார்கள்.",5
அறிவியல்_வினா_விடை-இயற்பியல்,வாசகர் விடை கூறி மகிழ்கிறார்கள்.,4
அறிவியல்_வினா_விடை-இயற்பியல்,ஒரு நொடிக்குள் வினாவுக்கு விடை அறிவிக்கப்படுகிறது.,5
அறிவியல்_வினா_விடை-இயற்பியல்,விடை தேடும் வினாக்கள் மக்கள் உள்ளத்தில் கிளர்ச்சியை உருவாக்குகிறது என்பது உளவியல் உண்மை.,10
அறிவியல்_வினா_விடை-இயற்பியல்,எந்தப் பாடத்தையும் எளிதில் புரியவைக்கப் பல பகுதிகளாகப் பிரித்துக் கொள்வது நல்லாசிரியரின் இயல்பு.,10
அறிவியல்_வினா_விடை-இயற்பியல்,வினா தொடுப்பது எளிது அன்று.,4
