work_title,sentence,sentence_length
ஆஞ்சநேய_புராணம்,ஆஞ்சநேய புராணம் பேரா.,3
ஆஞ்சநேய_புராணம்,"ஆஞ்சநேய புராணம் ஆக்கியோன் நூலகக் கலாநிதி, அருங்கலைக்கோன் அறநெறிச் செல்வர், சைவ மணி அ.",11
ஆஞ்சநேய_புராணம்,"கணேசசங்கரலிங்கம் எழுபத்தைந்து, பாலர் இல்லம் தெரு ஆழ்வார் நகர், நாகமலை மதுரை அறுநூற்று இருபத்தைந்து ஆயிரத்து பத்தொன்பது .",13
ஆஞ்சநேய_புராணம்,﻿நூலைப் பற்றி ⁠பேராசிரியர் அ.,4
ஆஞ்சநேய_புராணம்,அத்துடன் அவர்கள் பேரின்பப் பெருவாழ்வு எய்துவார்கள்.,5
ஆஞ்சநேய_புராணம்,அன்பர்களது வேண்டுகோளுக்கிணங்க இந்நூலின் இரண்டாவது பதிப்பினை நாங்கள் மகிழ்ச்சியுடன் வெளியிடுகின்றோம்.,8
ஆஞ்சநேய_புராணம்,மதுரை பகவதிதிருமலைமுத்துசுவாமி ﻿ஆதிபராசக்தி துணை ஆஞ்சநேய புராணம் அ.,7
ஆஞ்சநேய_புராணம்,நூல் ஆஞ்சநேய வாஅழ்க !,3
ஆஞ்சநேய_புராணம்,புங்கமில் பெருங்குணத்தா னருந்தாள் வாழ்க !,4
ஆஞ்சநேய_புராணம்,என்றுமென் னெஞ்சி லிருப்பான்தன் தாள் வாழ்க !,5
ஆஞ்சநேய_புராணம்,அன்று கடிகையிலெனை யாண்டான் தாள் வாழ்க !,5
ஆஞ்சநேய_புராணம்,ஐந்து தன்றுயிர் தானறப் பெற்றான் தாள் வாழ்க !,6
ஆஞ்சநேய_புராணம்,மன்னுயிர் காக்கும் மாருதிதன் தாள் வாழ்க !,5
ஆஞ்சநேய_புராணம்,அழுக்கா றவாவறவே களைந்தான்றன் தாள் வாழ்க !,5
ஆஞ்சநேய_புராணம்,ஒழுக்க முயிரினு மோம்பினுன் தாள் வாழ்க !,5
ஆஞ்சநேய_புராணம்,அறனறிங் தான்றமைந்த அண்ணல் அடிவாழ்க !,4
ஆஞ்சநேய_புராணம்,பத்து திறனறிந்து தீதகற்றும் தீர னடிவாழ்க !,5
