work_title,sentence,sentence_length
ஆறுமுகமான_பொருள்,ஆறுமுகமான பொருள் தொ.,3
ஆறுமுகமான_பொருள்,ஆறுமுகமான பொருள் கலைமணி தொ.,4
ஆறுமுகமான_பொருள்,"அச்சாக்கம் மாணவர் மறுதோன்றி அச்சகம், பாரிமுனை, சென்னை அறுநூறு  ஒன்று.",8
ஆறுமுகமான_பொருள்,"அந்த உமையவளின் கருணையினாலே இந்தக் கட்டுரைகளும் ஒருங்கிணைக்கப்பட்டு, ஆறுமுகமான பொருள் உருவாகியிருக்கிறது.",9
ஆறுமுகமான_பொருள்,ஆசிரியர் அந்த வெளியீடுகளுக்கு எழுதிய முன்னுரைகளையே இந்த நூலுக்கும் முன்னுரையாகப் பயன்படுத்திக் கொண்டிருக்கிறேன்.,10
ஆறுமுகமான_பொருள்,அந்த முன்னுரையே இந்த நூலுக்குச் சரியான விளக்கமாக அல்மைந்து விடும் என்றும் நம்புகிறேன்.,10
ஆறுமுகமான_பொருள்,அவை முப்பதுக்கும் மேலிருக்கும்.,3
ஆறுமுகமான_பொருள்,தமிழ்நாட்டில் விநாயகப் பெருமானுக்கு அடுத்தபடியாக முருகப் பெருமானுக்குத்தான் அதிகப்படியான கோயில்கள்.,8
ஆறுமுகமான_பொருள்,அறுபத்துநான்கு என்று ஒரு கணக்கு சொல்கிறார்கள்.,5
ஆறுமுகமான_பொருள்,அதற்கும் மேலேயே இருக்கும்.,3
ஆறுமுகமான_பொருள்,"முருகன், தமிழ் மக்கள் தொன்று தொட்டு வணங்கி வரும் தெய்வம்.",8
ஆறுமுகமான_பொருள்,அந்த நம்பிக்கையில்தான் ஆறுமுகமான பொருள் வெளி வருகிறது.,6
ஆறுமுகமான_பொருள்,"இந்த நூலுக்கு சித்தாந்தச் செல்வர், பேராசிரியர் டாக்டர் பா.இராமன் அவர்கள் அருமையான அணிந்துரை வழங்கியிருக்கிறார்.",12
ஆறுமுகமான_பொருள்,அவர் சிறந்த ஆன்மீகச் செல்வர்.,4
ஆறுமுகமான_பொருள்,நல்ல முருக பக்தர்.,3
ஆறுமுகமான_பொருள்,"ஸ்ரீமத் பாம்பன் சுவாமிகளிடத்தும், அவருடைய நூல்களிடத்தும் எல்லையில்லாத ஈடுபாடு உடையவர்.",8
ஆறுமுகமான_பொருள்,﻿பாம்பன் சுவாமிகளின் நூல்களுக்கு உரை எழுதுவதையே தம் வாழ்க்கையின் தலையாய பணியாகக் கொண்டு வாழ்ந்து வருபவர்.,12
ஆறுமுகமான_பொருள்,"இந்தக் கட்டுரைகளையெல்லாம் ஆர்வத்துடன் வரிவிடாமல் படித்து, அனுபவித்து இந்த அணிந்துரையை அளித்திருக்கிறார்.",9
ஆறுமுகமான_பொருள்,உண்மையில் இந்த நூலுக்கே அது அணி சேர்க்கிறது.,6
ஆறுமுகமான_பொருள்,அவருக்கு நன்றி சொல்ல நான் பெரிதும் கடமைப்பட்டிருக்கிறேன்.,6
ஆறுமுகமான_பொருள்,இந்த முகவுரையை முடிக்கும் முன்னர் ஒரு வார்த்தை சொல்லிக் கொள்ள விரும்புகிறேன்.,9
ஆறுமுகமான_பொருள்,டாக்டர் உமா தேவசேனா கந்த சஷ்டியன்று பிறந்தவள் என்பது பொருத்தமாகவும் அமைந்துவிட்டது.,9
ஆறுமுகமான_பொருள்,ஆறுமுகத்தை அறிவியல் உண்மையோடு தொடர்புபடுத்தியிருப்பது ஆசிரியரின் நுண்மான் நுழைபுலத்தைக் காட்டுகிறது.,8
ஆறுமுகமான_பொருள்,நாமார்க்கும் குடி அல்விலாம் எனும் பாடல் பற்றிய ஆசிரியரின் கருத்து எண்ணி எண்ணி இன்புறத்தக்கது.,11
ஆறுமுகமான_பொருள்,செந்தூர் முருகன் காட்டும் அற்புதம் மகிழ்ச்சிக்குரியது.,5
ஆறுமுகமான_பொருள்,சூரன்வதை என்பது கொடிய அரக்க உடலை அழித்தது மட்டும் அல்ல.,8
ஆறுமுகமான_பொருள்,"நம் உள்ளத்தில் மறைந்துள்ள ஆசை, கோபம், வஞ்சகம், பொறாமை முதலிய குணங்களை மாற்றுவதின் மூலமே அன்பினை அடைய முடியும்.",14
ஆறுமுகமான_பொருள்,அன்புதான் அனைத்திற்கும் மூலம் என்பார்கள்.,4
ஆறுமுகமான_பொருள்,நம்மிடம் உள்ள அரக்க குணங்கள் ஒழிய அருள் உள்ளம் மலரும்.,8
ஆறுமுகமான_பொருள்,காவடி எடுக்கும் அருமைப்பாட்டை விளக்கியிருப்பது மிகவும் பாராட்டுக்குரியது.,6
ஆறுமுகமான_பொருள்,"முருகப்பெருமான் சூரபதுமனை மயிலாகவும், சேவற்கொடியாகவும் மாற்றியது பற்றிய விளக்கம் பெருமைக்குரியது.",8
ஆறுமுகமான_பொருள்,குமரகுருபரருக்கு அருள்பாலித்த அருமைப்பாடு எண்ணி எண்ணி நெகிழத்தக்கது.,6
ஆறுமுகமான_பொருள்,மிகச் சிறப்பாகக் குமரக் கடவுளின் அருள்பாலிக்கும் அன்பு உள்ளத்தையும் தெளிவுபட எடுத்துரைக்கும் பாங்கு பாராட்டுக்குரியது.,11
ஆறுமுகமான_பொருள்,முன்னைப் பழமைக்கும் பழமையாய்ப் பின்னைப் புதுமைக்கும் இணைப்பாக எழுதியுள்ள அருமை பாராட்டுக்குரியது.,9
ஆறுமுகமான_பொருள்,"இந்நூலைச் சிறப்பான முறையில் வெளியிட உதவிய பதிப்பகத்தார்க்கு நெஞ்சார்ந்த நன்றி, வாழ்த்துக்கள் !",9
ஆறுமுகமான_பொருள்,என்றும் வேண்டும் இன்ப அன்பு.,4
ஆறுமுகமான_பொருள்,நம் வணக்கத்திற்குரிய திருதொ.மு.,4
ஆறுமுகமான_பொருள்,பாஸ்கரத் தொண்டைமான் அவர்கள்.,3
ஆறுமுகமான_பொருள்,இருபதாம் நூற்றாண்டில் தமிழன்னை ஈன்ற தவப்புதல்வர்களில் இச்சான்றோரும் ஒருவர் எனின் மிகையாகாது.,9
ஆறுமுகமான_பொருள்,இவர்கள் கொண்டிருந்த தமிழ்ப் பற்றால் தமிழ்க் கடவுளான செவ்வேட் பரமனிடம் இவர்கள் அடைக்கலமானதில் வியப்பில்லை.,11
ஆறுமுகமான_பொருள்,பன்னிருகை வேலனுக்குப் பன்னிரண்டு ﻿கட்டுரை விளக்கம் தானே பொருத்தம்?,7
ஆறுமுகமான_பொருள்,இந்த அறிவியல் காலத்திற்கு இத்தகைய விளக்கமன்றோ தேவை.,6
ஆறுமுகமான_பொருள்,ஆறுபடை வீடு என்பதில் அறுமுகன் அடியார்களிடத்தில் குழப்பம் நிலவுகின்றது.,7
ஆறுமுகமான_பொருள்,என்னுடன் வாருங்கள் முருகன் திருக்கோலத்தையும் திருத்தலப் பெருமையையும் காட்டுகிறேன் என்று ஆறுபடை வீட்டிற்கும் நம்மை அழைத்துச் சென்று காட்டுகிறார்கள்.,14
ஆறுமுகமான_பொருள்,எந்தச் செலவும் பயணத் துன்பமும் இல்லாமல் ஆறு திருத்தலக் காட்சியை அனுபவிக்கும்படி செய்துவிடுகிறார்கள்.,10
ஆறுமுகமான_பொருள்,முருகன் குறிஞ்சி வேந்தனாகத் தோன்றி எப்படி எல்லாம் ஏனைய நிலங்களுக்கு வந்தான் என்ற செய்தியையும் அற்புதமாக விளக்கியுள்ளார்கள்.,13
ஆறுமுகமான_பொருள்,"இப்பெருந்தகை, வேலிறைவன், எறுமயில் ஏறி விளையாடியது எங்கே?",6
ஆறுமுகமான_பொருள்,ஈசருடன் ஞானமொழி பேசியது எங்கே?,4
ஆறுமுகமான_பொருள்,முருகனடியார்கள் இந்த வள்ளலுக்கு என்ன கைம்மாறு செய்ய முடியும்?,7
ஆறுமுகமான_பொருள்,திருவாறெழுத்து என்னும் சரவணபவ ஒரு மகாமந்திரம்.,5
ஆறுமுகமான_பொருள்,இதனைச் செபித்துவந்தால் இகத்தில் எல்லா நம்மைகளையும் அளிக்கும்.,6
ஆறுமுகமான_பொருள்,இறுதியில் முத்தியையும் தரும்.,3
ஆறுமுகமான_பொருள்,அதாவது பாற்கடலில் பள்ளி கொண்ட நாராயணன் என்றார்கள்.,6
ஆறுமுகமான_பொருள்,சரவணபவன் நாராயணனாகி விட்டானே !,3
ஆறுமுகமான_பொருள்,திருச்செந்தூர்ப் புராணம் சொல்கிறது.,3
ஆறுமுகமான_பொருள்,"இப்படிச் சமரசம் கண்டு மால்மருகன், மருகனே மால் என்று காட்டுகின்றார்.",8
ஆறுமுகமான_பொருள்,குழந்தையாய் இருந்தால் கொஞ்சலாம்.,3
ஆறுமுகமான_பொருள்,குழந்தை வேலன் நமக்கு உதவமாட்டானே.,4
ஆறுமுகமான_பொருள்,இப்படிக் கோபிக்கிறாராம் படிக்காசுப் புலவர்.,4
ஆறுமுகமான_பொருள்,இன்னமும் சின்னவன் தானா?,3
ஆறுமுகமான_பொருள்,ஆசிரியர் திருச்செந்தில் பற்றித் தனி ஆய்வே நடத்துகிறார்.,6
ஆறுமுகமான_பொருள்,"புறநானூறு, அகநானூறு, சிலப்பதிகாரம், தேவாரம், முதில் இலக்கியங்கள் மூலம் தலத்தின் தொன்மையை விளக்குகின்றார்.",10
ஆறுமுகமான_பொருள்,"திருக்கோயில் கட்டிய வரலாறு, பூசை, விரதம், விழாக்கள் எல்லாம் இதில் வகுத்துக் கூறுகின்றார்.",10
ஆறுமுகமான_பொருள்,"பழநிமலையில், முருகன் கோவணாண்டியாக நிற்கின்றான்.",4
ஆறுமுகமான_பொருள்,"அவன் ஞானப்பழம், அவன் துறவியானது நம்மை எல்லாம் துறவியாக்க அல்ல.",8
ஆறுமுகமான_பொருள்,"ஆக்கம் உடையவர்களாக, அருளுடையவர்களாக, மக்கள் வாழ்வதற்காகவே ஆண்டவன் துறவுக் கோலம் பூணுகிறான்.",9
ஆறுமுகமான_பொருள்,இல்லாவிட்டால் அவனுக்குப் பற்று துறவு என்றெல்லாம் உண்டா?,6
ஆறுமுகமான_பொருள்,என அற்புத விளக்கம் அளிக்கின்றார்கள்.,4
ஆறுமுகமான_பொருள்,வடநாட்டில் சுப்பிரமணியன் கட்டை பிரமசாரியாம்.,4
ஆறுமுகமான_பொருள்,என்ன நகைச்சுவை பாருங்கள்.,3
