work_title,sentence,sentence_length
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,உலக அறிஞர்களின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,உலக அறிஞர்களின் நம்மை மேம்படுத்தும் எண்ணங்கள் உலக அறிஞர்களின் நம்மை மேம்படுத்தும் எண்ணங்கள் மெய்யம்மை நிலையம் புதிய எண்.,14
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,தத்துவ ஞானம் பதினொன்று .,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,நன்மை தீமை பதினான்கு .,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மூட நம்பிக்கை பதினேழு .,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,குற்றம் காணல் இருபத்து நான்கு.,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கொள்கை நம்பிக்கை இருபத்தெட்டு.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,வாழ்க்கைக்கு நம்பிக்கை இருபத்தொன்பது.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இனிய சொல் முப்பத்தொன்று.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,நா அடக்கம் முப்பத்து நான்கு.,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,உதவி செய்க நாற்பத்தொன்பது.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,நூல் நிலையம் ஐம்பத்தெட்டு.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,புத்தக சுவை ஐம்பத்தொன்பது.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,புத்தகம் எழுதுதல் அறுபது.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,புத்தகத்தால் பெறும் புகழ் அறுபத்தொன்று.,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,வாழ்க்கை வரலாறு அறுபத்திரண்டு.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சரித்திர உண்மை ﻿ உலக அறிஞர்களின் நம்மை மேம்படுத்தும் எண்ணங்கள் ஒன்று.,9
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இதோ அவரது குறட்பாவின் பொழிவு !,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவருடைய காலம் கி.மு.,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மறுபேச்சுக்கு உண்டா இடம்?,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,⁠இப்சன் என்பவர் நார்வே நாட்டில் வாழ்ந்த ஒரு நாடக ஆசிரியர்.,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அவர் பல நாடகங்கள் எழுதிப் புகழ்பெற்ற ஒரு புதுமைப் புரட்சியாளர்.,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவர் கி.பி.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஓர் ஆயிரத்து எண்ணூற்று இருபத்தாறு ஆம் ஆண்டில் பிறந்தார்.,7
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஓர் ஆயிரத்து தொள்ளாயிரத்து ஆறு ஆம் ஆண்டின் இடையில் இறந்தார்.,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"இவர், அன்பு என்ற தத்துவத்தைப் பற்றி என்ன எழுதியுள்ளார் தெரியுமா?",8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"இதோ ⁠ அன்பு என்பதைப் போல, பொய்யும் புலையும் நிறைந்த மொழி, வேறு எதுவும் கிடையாது என்கிறார்.",13
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"⁠அதே அன்பை, ஆங்கில மகா கவிஞரான போப் என்பவன் எந்த நோக்கத்தில் பார்க்கிறான் பாருங்கள்.",11
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,⁠ வாழ்க்கையின் வறுமையிலே துன்பப்படுவோர்களுக்காக இரங்குக !,5
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஓர் ஆயிரத்து எழுநூற்று நாற்பத்து நான்கு ஆம் ஆண்டில் மறைந்தவர்.,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அதாவது தனது ஐம்பத்தாறு ஆண்டு காலத்தில் அவர் கண்ட அனுபவ அன்பு அது.,10
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"⁠சுவீடிஷ் நாட்டின் அறிஞரான மேட்டர் லிங்க் என்பவர், அன்பு குறித்து கூறும்போது, அன்பு மூலமே எதையும் காண முடியும்.",14
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அன்பு இல்லாமல் எதையும் காண்பவன் இருட்டில் தனது கண்களை இடுக்கிக் கஷ்டப்பட்டுக் காண முயலுகிறவனுக்குச் சமம் அல்லவா?,13
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,என்று கேட்கிறார் உலகைப் பார்த்து.,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"⁠இதே அன்பை போர்ன் எப்படி அளவிடுகிறான் பாருங்கள் வியப்பு புகழும், அன்பு ஊமையாய் இருக்கும் என்கிறார் !",12
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆனால், மாவீரன் நெப்போலியன், தனது போராட்டக் குணத்தையும் மீறி, உண்மையான மனிதன் யாரையும் துவேஷிக்க மாட்டானாம்.",12
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"⁠அவன், பிரெஞ்சு சக்கரவர்த்தி அல்லவா?",4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,போர் வெறியன் என்றல்லவா உலகம் அவனைக் கணிக்கிறது.,6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆனாலும் அவன் காட்டும் மனித அன்பைப் பாருங்கள் !,6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"எனவே, உண்மைகளில் எல்லாம் தலை சிறந்த உண்மை அன்பு தான்.",8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,⁠அறிவை எத்தனையோ பேர் விலைக்கு வாங்கி விடுகிறார்கள்.,6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஓர் ஆயிரத்து அறுநூற்று பதினாறு  ஆம் ஆண்டில் மறைந்தவரான அவர், அன்பு பற்றி என்ன சொல்கிறார்?",12
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அன்பை ஆன்மாவின் பெருந்தன்மை என்கிறார்.,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,புட்டிப் பால் அன்பை அவர் ஓர் அன்பின் அணு அளவாகக் கூட ஏற்றுக் கொள்ளவில்லை.,11
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அன்பும், நம்பிக்கையும் பெற்றிராவிட்டால் அவனது ஆற்றல் அனைத்துமே கூட அழிந்து போய்விடலாம் என்று கூறுகிறார்.",11
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,⁠கி.பி.ஆம் ஆண்டில் பிறந்து கி.பி.,7
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஏனென்றால், அன்பும், இரக்கமும் இரட்டைக் குழந்தைகளே என்று சுட்டிக் காட்டுகின்றார்.",8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,⁠ அன்பு என்ற தத்துவம் பற்றி அவர் என்ன கூறுகிறார்?,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,⁠ஆங்கில நாட்டின் மாபெரும் எழுத்துலக மேதை என்று அழைக்கப்பட்டவர் மார்லி என்பவர்.,9
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அவர் கி.பி.ஆம் ஆண்டில் தோன்றி கி.பி.ல் புகழ் எய்தியவர்.,11
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஜார்ஜ் எலியட் என்பவர் ஓர் எழுத்துலகப் பெண்ணரசி !,6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அவர் என்ன சொல்கிறார் அன்பு என்ற மனித உணர்வைப் பற்றி !,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அடக்கமும், அன்பும் துன்பங்களால் கற்றுக் கொள்ள வேண்டிய தத்துவ உணர்வுகளாம் !",8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,எவ்வளவு சுருக்கமாக அந்தப் பெண்மணி கூறுகிறார் பார்த்தீர்களா?,6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"பர்ன்ஸ் என்ற இந்த கவிஞர், ஸ்காட்லாந்து நாட்டிலே கி.பி.ஆம் ஆண்டு பிறந்து கி.பி.",13
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"இவர் அன்பு பற்றி விளக்கும் போது, தவறு தெரிந்து செய்தாலும், உனது உடன் பிறப்பு என்பதற்காக விட்டுவிடாதே, ஆராய்வாயாக !",14
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அதைவிட, உனது உடன் பிறந்தான் உன்னிடம் உன்னதமான பாசத்தோடும், உயர்வான பண்போடும் நடந்தாலும் கூட.",11
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,தவறு செய்தான் எனப்படும்போதும் ஆராய்வாயாக !,4
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,நெறி பிறழ்வது மனித இயல்பு தானே என்று சிந்தனை செய் !,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆங்கிலப் பேரறிஞர் கார்லைல் அவர் கி.பி.ம் ஆண்டு பிறந்து கி.பி.் மறைந்த புகழாளர்.,14
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஏறக்குறைய எண்பத்தாறு ஆண்டுகள் வாழ்ந்து காட்டிய அறிவு வைரம் அவர் என்ன கூறுகிறார் அன்பு பற்றி.,12
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"கண்டிக்க அறியாதவன், தெரியாதவன், எப்படி கருணை காட்டுவான்?",6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கண்டிப்பாக முடியவே முடியாது என்று வினா தொடுத்து விடையை விளக்கிய வித்தகர் அவர் !,10
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஒருவன் அன்பு செய்தும் கூட அவனால் அந்த அன்பை பெறமுடியாமல் இருப்பது துக்ககரமான ஒரு செயல் !,12
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆனால், ஒருவனால் அன்பு செய்ய இயலாதிருப்பது அதனினும் அதிகத் துக்கமானதாகும்.",8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவ்வாறு கூறியவர் ஒரு நாடக ஆசிரியர்.,5
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஐரோப்பிய கண்டத்துள்ளே உள்ள பெல்ஜியம் என்ற நாட்டில் கி.பி.ஆம் ஆண்டு பிறந்தவர்.,11
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவர் நாடகக் கலை திறமைக்காக நோபல் பரிசு பெற்றவர்.,7
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இந்த அறிவாளர்க்கு அறிவாளியான இவருடைய பெயர் மாட்டர் லிங்க்.,7
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவர்தான் அன்பு பற்றிய தனது உணர்ச்சியை வெளிப்படுத்தியுள்ளவராவார் !,6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,உலகப் புகழ் பெற்ற டால்ஸ்டாய் என்ற நாவலாசிரியரைப் பற்றி அதிகம் கூற வேண்டியது இல்லை அல்லவா?,12
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவர் ருஷ்ய நாட்டிலே கி.பி.ஆம் ஆண்டு பிறந்தார்.,8
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஓர் ஆயிரத்து தொள்ளாயிரத்து பத்து ஆம் ஆண்டு புகழ் பெற்று மறைந்த மாபெரும் எழுத்துலக ஞானி இவர்தான்.,13
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,காந்தியடிகளாருக்கும் வழிகாட்டியாக விளங்கியவர்.,3
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவரது போரும் சமாதானமும் என்ற நாவல் உலகப் புகழ் பெற்ற பெருநூல் !,9
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இவர் என்ன கூறுகிறார் அன்பு என்ற ஞானம் பற்றி?,7
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"யாருக்கு நாம் அன்பு செய்கிறோமோ, அவரை நேசிக்கிறோம்.",6
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கி.பி.ஆம் ஆண்டு பிறந்து கி.பி.் மறைந்தார் !,9
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இதோ மறுபடியும் ஆங்கில மகாகவி பேசுவதைக் கேளுங்கள் பிறர் நலம் கண்டு மகிழமாட்டார்கள் யார்?,11
