work_title,sentence,sentence_length
ஊர்வலம்_போன_பெரியமனுஷி,﻿நேரு பாலர் புத்தகாலயம் ஊர்வலம் போன பெரியமனுஷி வல்லிக்கண்ணன் சித்திரங்கள் எஸ்.,9
ஊர்வலம்_போன_பெரியமனுஷி,கோபாலன் ﻿ ஊக்குவிப்பாளர் விற்பனையாளர் நியூ செஞ்சுரி புக் ஹவுஸ் பி.,9
ஊர்வலம்_போன_பெரியமனுஷி,அதுவே அவளுடைய வேலை என்றும் தோன்றியது.,5
ஊர்வலம்_போன_பெரியமனுஷி,அவளுக்கு இப்பொழுது எட்டு வயதுதான் ஆகிறது.,5
ஊர்வலம்_போன_பெரியமனுஷி,"குட்டைப் பாவாடையும், அழுக்குச் சட்டையும், குலைந்து கிடக்கும் தலைமயிருமாய் காட்சி தருகிற சிறுமியே வள்ளியம்மை.",11
ஊர்வலம்_போன_பெரியமனுஷி,அவளுக்கு அந்தப் பெயர் பிடித்திருந்தது.,4
ஊர்வலம்_போன_பெரியமனுஷி,தனது பெயர் மீது கொஞ்சம் வெறுப்பு ஏற்படுவதும் உண்டு.,7
ஊர்வலம்_போன_பெரியமனுஷி,கையைக் கட்டி நிப்பானேன்?,3
ஊர்வலம்_போன_பெரியமனுஷி,அவ்வேளையில் அவளுக்கு ஒரு பதிலும் சொல்ல ஓடாது.,6
ஊர்வலம்_போன_பெரியமனுஷி,கண்கள் நீரைக் கொட்டத் தயாராகி விடும்.,5
ஊர்வலம்_போன_பெரியமனுஷி,மற்றப் பிள்ளைகள் சும்மா இருந்து விடுவார்களா?,5
ஊர்வலம்_போன_பெரியமனுஷி,வலிச்ச மோரையும் சுறிச்சுப்போம் வண்ணாந் துறையும் வெளுத்துப்போம் என்று வேறொரு கோரஸ் எடுப்பார்கள்.,10
ஊர்வலம்_போன_பெரியமனுஷி,அப்புறம் வள்ளியம்மை அழுது கொண்டு போக வேண்டியதுதான் !,6
ஊர்வலம்_போன_பெரியமனுஷி,"பிறகு அதே பெயர் அழகானதாக, இனியதாகத் தோன்றும்.",6
ஊர்வலம்_போன_பெரியமனுஷி,இல்லை என்பதும் ஒரு காரணம்.,4
ஊர்வலம்_போன_பெரியமனுஷி,அடுத்த தெருவுக்குப் போலாம்.,3
ஊர்வலம்_போன_பெரியமனுஷி,"ஆனால் நீ வாசல்படி தாண்டினியோ, அவ்வளவுதான்.",5
ஊர்வலம்_போன_பெரியமனுஷி,அம்மாவிடம் கொஞ்சம் பயமிருந்தது வள்ளிக்கு.,4
ஊர்வலம்_போன_பெரியமனுஷி,"தெருவாசல் படியில் நிற்பதனால் பொழுது போகும் என்பதோடு, புதிய புதிய அனுபவங்களும் கிட்டும்.",10
ஊர்வலம்_போன_பெரியமனுஷி,அது வள்ளிக்கு நன்றாகத் தெரியும்.,4
ஊர்வலம்_போன_பெரியமனுஷி,ஒரு சமயம் வெள்ளைக்காரத் துரை ஒருவன் அந்த வழியாகப் போனான்.,8
ஊர்வலம்_போன_பெரியமனுஷி,"கருனைக் கிழங்கைத் தோலுரிச்சுப் போட்ட மாதிரி போனான் என்று, அவனைப் பார்த்த பெண்கள் பேசினார்கள்.",11
ஊர்வலம்_போன_பெரியமனுஷி,முசலு வேட்டை யாட என்று ஒருவர் அறிவித்தார்.,6
ஊர்வலம்_போன_பெரியமனுஷி,ஆனால் வள்ளியம்மை என்ன செய்தாள்?,4
ஊர்வலம்_போன_பெரியமனுஷி,"தன் வலது கையை உயர்த்தி, நெற்றியில் வைத்து, ஸலாம் தொரெ !",8
ஊர்வலம்_போன_பெரியமனுஷி,அவன் திரும்பிப் புன்னகை புரிந்தான்.,4
ஊர்வலம்_போன_பெரியமனுஷி,குட் மார்னிங் அறிவித்து விட்டுத் தன் வழியே போனான்.,7
ஊர்வலம்_போன_பெரியமனுஷி,அப்புறம் வள்ளியைக் கைகொண்டு பிடிக்க முடியவில்லை !,5
ஊர்வலம்_போன_பெரியமனுஷி,வெள்ளைக்காரத் துரை எனக்கு ஸலாம் போட்டாரே !,5
ஊர்வலம்_போன_பெரியமனுஷி,அது போக்குவரத்து மிகுந்த ரஸ்தா அல்ல.,5
ஊர்வலம்_போன_பெரியமனுஷி,தெருக் காரர்கள் ஏதாவது சோலியின் பேரில் அப்படியும் இப்படியும் போவார்கள்.,8
ஊர்வலம்_போன_பெரியமனுஷி,வேறு தெருக்காரர்கள் எங்காவது செல்வார்கள்.,4
ஊர்வலம்_போன_பெரியமனுஷி,எப்பவாவது ஒரு வண்டி போகும்.,4
ஊர்வலம்_போன_பெரியமனுஷி,"கட்டை வண்டி, மை போடப்படாத சக்கரங்கள் கிரீச்சிட, கடக்ட்டக் என்று ஓசையிட்டுக் கொண்டு நகரும்.",11
ஊர்வலம்_போன_பெரியமனுஷி,வண்டிமாடுகளின் கழுத்து மணி ஒசை ஜோராக ஒலிக்கும்.,6
ஊர்வலம்_போன_பெரியமனுஷி,"நாய் ஒன்று வேலை யில்லாவிட்டாலும், ஏதோ அவசர அலுவல் மேல் போகிறது போல், தெற்கே இருந்து வடக்கே ஓடும்.",14
ஊர்வலம்_போன_பெரியமனுஷி,அங்கொரு வீட்டுத் திண்ணைப் பக்கத்தில் நின்று மோந்து பார்க்கும்.,7
ஊர்வலம்_போன_பெரியமனுஷி,பிறகு தும்பைச் செடியை மோந்து பார்க்கும்.,5
ஊர்வலம்_போன_பெரியமனுஷி,"காலைத்தூக்கி, செடியை நனைத்து விட்டு, வேகமாக நடக்கும்.",6
ஊர்வலம்_போன_பெரியமனுஷி,காய்கறி விற்பவன் வருவான் இப்படி எவ்வளவோ வேடிக்கைகள் !,6
ஊர்வலம்_போன_பெரியமனுஷி,அந்தச் சின்னஞ்சிறு உள்ளத்துக்கு களங்கமற்ற பெருவிழிகளுக்கு எல்லாமே இனிமைகள்தான் எல்லாம் அற்புதமே.,9
ஊர்வலம்_போன_பெரியமனுஷி,அனைத்திலும் மேலான வேடிக்கை ஒன்று உண்டு.,5
ஊர்வலம்_போன_பெரியமனுஷி,ஒரு மணிக்கு ஒரு தடவை டவுண் பஸ் அந்த வழியாக வரும்.,9
ஊர்வலம்_போன_பெரியமனுஷி,கால் மணி நேரம் கழித்துத் திரும்பிப் போகும்.,6
ஊர்வலம்_போன_பெரியமனுஷி,"அப்படி வருகிற போதும், போகிற போதும் பஸ்ஸினுள் இருப்பவர்களைப் பார்ப்பதில் வள்ளி அம்மை அலுப்படைவதே இல்லை.",12
ஊர்வலம்_போன_பெரியமனுஷி,அவள் உள்ளத்தில் ஒரு ஆசை.,4
ஊர்வலம்_போன_பெரியமனுஷி,தினந்தோறும் எத்தனையோ தடவை கார் வந்து போகுதே.,6
ஊர்வலம்_போன_பெரியமனுஷி,அதில் ஒரு தடவை கூட்டப் போக முடியலியே.,6
ஊர்வலம்_போன_பெரியமனுஷி,"என்றாவது ஒரு நாள் நானும் பஸ்ஸில் ஏறி, அது போற இடத்துக்கெல்லாம் போவேன்.",10
ஊர்வலம்_போன_பெரியமனுஷி,போகத்தான் வேணும் இப்படி ஆசைப்பட்டாள் வள்ளி.,5
ஊர்வலம்_போன_பெரியமனுஷி,﻿அந்தச் சின்னஞ்சிறு பெண்ணின் உள்ளத்தில் பிறந்த ஆசை மெதுவாகப் பரவியது.,8
ஊர்வலம்_போன_பெரியமனுஷி,இனிய கற்பனைகளை மலர வைத்தது.,4
ஊர்வலம்_போன_பெரியமனுஷி,எப்பவாவது அவளுடன் சேர்ந்து விளையாடும் எந்தச் சிறுமியாவது நான் ஊருக்குப் போயிருந்தேன்.,9
ஊர்வலம்_போன_பெரியமனுஷி,"பிரவுடு என்ற பதத்திற்கு அர்த்தம் புரிந்தோ, புரியாமலோ வள்ளி அம்மையைப் போன்ற சிறுமிகள் அதைத் தாராளமாக உபயோகித்து வந்தார்கள்.",14
ஊர்வலம்_போன_பெரியமனுஷி,அதை ஒரு ஏச்சுப் போல் உபயோகித்தார்கள்.,5
ஊர்வலம்_போன_பெரியமனுஷி,அதை அழுத்தமாக உச்சரிப்பதில் வள்ளிக்கு ஒரளவு திருப்தி உண்டாகும்.,7
ஊர்வலம்_போன_பெரியமனுஷி,அவளுடைய ஆசையோ மேலும் கொஞ்சம் வளர்ந்திருக்கும்.,5
ஊர்வலம்_போன_பெரியமனுஷி,தானும் சிலரிடம் கேள்வி கேட்டு சில விஷயங்களைத் தெரிந்து கொண்டாள்.,8
ஊர்வலம்_போன_பெரியமனுஷி,அவ்வூரிலிருந்து டவுணுக்கு ஆறு மைல்.,4
ஊர்வலம்_போன_பெரியமனுஷி,பஸ் சார்ஜ் முப்பது காசு.,4
ஊர்வலம்_போன_பெரியமனுஷி,"போக முப்பது காசு, வர முப்பது காசு ஆக அறுபது காசு வேண்டும்.",10
ஊர்வலம்_போன_பெரியமனுஷி,"ஒரு பஸ்ஸில் ஏறினால், அது முக்கால் மணி நேரத்துக்குள் டவுண் போய் சேரும்.",10
ஊர்வலம்_போன_பெரியமனுஷி,"அதாவது, மத்தியானம் ஒன்று மணிக்கு பஸ் ஏறினால் ஒன்று நாற்பத்தைந்து க்கு டவுணில் இருக்கலாம்.",11
ஊர்வலம்_போன_பெரியமனுஷி,அதே பஸ்ஸில் பட்டணப் பிரவேசம் மாதிரிச் சுற்றி வருவதனால் இரண்டே முக்கால் மணிக்குள் ஊருக்கு வந்து சேர்ந்து விடலாம்.,14
ஊர்வலம்_போன_பெரியமனுஷி,இந்த வாய்ப்பாட்டை வைத்துக் கொண்டு வள்ளி அம்மையின் பிஞ்சு மனம் ஏதேதோ கணக்குகளைப் போட்டது.,11
ஊர்வலம்_போன_பெரியமனுஷி,"சரியான விடை காண்பதற்காக, பல தடவைகள் அழித்துக் கழித்துத் திருத்திக் கஷ்டப் பட்டது.",10
ஊர்வலம்_போன_பெரியமனுஷி,வழி வகைகளைக் கண்டுபிடிப்பதற்காகத் தீவிரமாய் ஆராய்ச்சி பண்ணியது.,6
ஊர்வலம்_போன_பெரியமனுஷி,முடிவில் ஒரு விடை அதற்குக் கிடைத்து விட்டது.,6
ஊர்வலம்_போன_பெரியமனுஷி,"ஒருநாள்..... இரண்டு மணி பஸ் ஊர் எல்லையைத் தாண்டி, பெரிய ரஸ்தாவில் திரும்பியபோது பஸ் நிக்கட்டும் !",12
ஊர்வலம்_போன_பெரியமனுஷி,என்று மெல்லிய குரல் ஒன்று எழுந்தது.,5
ஊர்வலம்_போன_பெரியமனுஷி,சிறு கை ஒன்று முன் நீண்டு சைகையும் காட்டியது.,7
ஊர்வலம்_போன_பெரியமனுஷி,பஸ்ஸின் வேகம் குறைந்தது.,3
ஊர்வலம்_போன_பெரியமனுஷி,"கண்டக்டர் எட்டிப் பார்த்து, யாரு வரப்போறாங்க?",5
ஊர்வலம்_போன_பெரியமனுஷி,சீக்கிரம் ஓடி வரச் சொல்லு ! என்று கத்தினான்.,6
ஊர்வலம்_போன_பெரியமனுஷி,﻿ எது எப்படியோ எனக்குத் தெரியாது.,5
ஊர்வலம்_போன_பெரியமனுஷி,நான்தான் ஏறி வாறேனே.,3
ஊர்வலம்_போன_பெரியமனுஷி,அதுக்குள்ளே நீ ஏன் அவசரப்படுறே?,4
ஊர்வலம்_போன_பெரியமனுஷி,என்று வள்ளி அம்மை மூஞ்சியைச் சுளித்தாள்.,5
ஊர்வலம்_போன_பெரியமனுஷி,கண்டக்டர் கொஞ்சம் தமாஷ் பேர்வழி.,4
ஊர்வலம்_போன_பெரியமனுஷி,"ஸீட்லே உட்காருங்க.... எல்லாரும் வழிவிடுங்க ஸார், பெரிய மனுஷி வாறாங்க என்றான்.",9
ஊர்வலம்_போன_பெரியமனுஷி,"பொதுவாக அந்நேரத்துப் பஸ்ஸில் கூட்டம் இராது, அங்கொருவர் இங்கொருவராக ஆறேழு பேர்கள் இருந்தனர்.",10
ஊர்வலம்_போன_பெரியமனுஷி,எல்லோரும் வள்ளி அம்மை யையே பார்த்துக் கொண்டிருந்தார்கள்.,6
