work_title,sentence,sentence_length
"எது_வியாபாரம்,_எவர்_வியாபாரி","எது வியாபாரம், எவர் வியாபாரி கி.",5
"எது_வியாபாரம்,_எவர்_வியாபாரி",﻿ எது வியாபாரம்?,3
"எது_வியாபாரம்,_எவர்_வியாபாரி","சித்த மருத்துவ சிகாமணி முத்தமிழ்க் காவலர், கலைமாமணி டாக்டர் கி.",8
"எது_வியாபாரம்,_எவர்_வியாபாரி","லிட்., பாரி நிலையம் பிராட்வே சென்னை ﻿முதற் பதிப்பு டிசம்பர்.விலை ரூ. அச்சிட்டோர் சிறீ.",12
"எது_வியாபாரம்,_எவர்_வியாபாரி",என்ற அரிய நூல் சிறந்த படைப்பாகும்.,5
"எது_வியாபாரம்,_எவர்_வியாபாரி",அவர்கள் ஒரு தலைசிறந்த வணிகராகத் திகழ்ந்தார்.,5
"எது_வியாபாரம்,_எவர்_வியாபாரி","வணிகத்துக்கும், வணிகனுக்கும் இலக்கணமாக விளங்கினார்.",4
"எது_வியாபாரம்,_எவர்_வியாபாரி",மீண்டும் மீண்டும் படிக்க ஆவலைத் தூண்டுகின்றன.,5
"எது_வியாபாரம்,_எவர்_வியாபாரி","﻿ வணிகரான அவர், தம் சொந்த முயற்சினால் உழைப்பினால், வணிகத்தில் மட்டும் தலைசிறந்தவராக விளங்கவில்லை.",11
"எது_வியாபாரம்,_எவர்_வியாபாரி","அத்துடன் தமிழ் இலக்கியத்திலும் மாபெரும் அறிஞராய் உயர்ந்து, சித்த மருத்துவத்திலும் சிறந்த விற்பன்னராக விளங்குகிறார்.",11
"எது_வியாபாரம்,_எவர்_வியாபாரி","அவருடைய அரிய, பெரிய சாதனை வணிக சமுதாயத்தினர் அனைவருக்கும் பெருமையளிப்பதாகும்.",8
"எது_வியாபாரம்,_எவர்_வியாபாரி",﻿ ﻿எது வியாபாரம்?,3
"எது_வியாபாரம்,_எவர்_வியாபாரி",﻿ யார் வியாபாரி?,3
"எது_வியாபாரம்,_எவர்_வியாபாரி",﻿ திருக்குரானில் வணிகம்...,3
"எது_வியாபாரம்,_எவர்_வியாபாரி",﻿ திருக்குறளில் வணிகம்...,3
"எது_வியாபாரம்,_எவர்_வியாபாரி",﻿ கோலாலம்பூரில் வணிகம்...,3
"எது_வியாபாரம்,_எவர்_வியாபாரி",﻿ சிங்கப்பூரில் வணிகம்...,3
"எது_வியாபாரம்,_எவர்_வியாபாரி",வணிகம் வணிகன் என்பன நல்ல தமிழ்ச் சொற்கள்.,6
"எது_வியாபாரம்,_எவர்_வியாபாரி","இவை அடியோடு மறைந்து, வியாபாரம் வியாபாரி, வர்த்தகம் வர்த்தகன் என்பன போன்ற பிறசொற்களே வழக்கத்தில் இருந்து வருகின்றன.",13
"எது_வியாபாரம்,_எவர்_வியாபாரி","அதிலும் சிறு தொழிலை வியாபாரம் என்றும், பெருந்தொழிலை வர்த்தகம் என்றும் கூறி வருகின்றனர்.",10
"எது_வியாபாரம்,_எவர்_வியாபாரி",வர்த்தகர்களின் சின்னம் தராசு.,3
"எது_வியாபாரம்,_எவர்_வியாபாரி","நிறுப்பவன் எவனாக இருந்தாலும், நிறுப்பது எதுவாக இருந்தாலும், தராசின் முள் சிறிது முனைக்கும்படி நிறுக்க வேண்டும்.",12
"எது_வியாபாரம்,_எவர்_வியாபாரி",முள் பின்னுக்குப்போனால் வியாபாரம் பின்னுக்குப் போய் அடியோடு அழிந்து ஒழிந்து விடும்.,9
