work_title,sentence,sentence_length
ஏலக்காய்,மணிவாசகர் பதிப்பகம் ﻿ ஏலக்காய் மணிவாசகர் பதிப்பகத்தின் வெள்ளிவிழா வெளியீடு பூவை எஸ்.,10
ஏலக்காய்,ஆறுமுகம் மணிவாசகர் பதிப்பகம் சிதம்பரம்.,4
ஏலக்காய்,"வடக்கு ஆவணி மூல வீதி, மதுரை ராஜ வீதி கோயமுத்தூர்.",8
ஏலக்காய்,"நந்திக்கோயில் தெரு, திருச்சி. சென்னை போன்.",5
ஏலக்காய்,"சிதம்பரம் போன் அச்சிட்டோர் கற்பகம்.அச்சகம், நல்லதம்பி தெரு, சென்னை",8
ஏலக்காய்,﻿மணப்பொருள் மாண்பு ச. மெய்யப்பன் எம்.,5
ஏலக்காய்,"அண்ணாமலைப் பல்கலைக்கழகம் ஏலக்காய் மணப் பொருளும், மருந்துப் பொருளும் ஆகும்.",8
ஏலக்காய்,உடலுக்கு நலம் ஊட்டும்.,3
ஏலக்காய்,"அறுசுவை உணவில் சுவையை அதிகரிப்பதற்கும், நறுமணம் பெறச் செய்வதற்கும் ஏலக்காய் பயன்படுகிறது.",9
ஏலக்காய்,இந்திய நாடு மணப்பொருளுக்கு பெயர் பெற்ற நாடு.,6
ஏலக்காய்,இந்தியர்கள் மணப்பொருளைப் பயன்படுத்திய திறத்தினை வேதகால இலக்கியங்கள் பேசுகின்றன.,7
ஏலக்காய்,இந்திய மணப் பொருளின் மாண்பினை வெளிநாட்டு யாத்ரிகர்களும் வியந்து போற்றியுள்ளனர்.,8
ஏலக்காய்,"ஏலக்காயும், கிராம்பும் நெடுங் காலமாகப் பயன்படுத்தப்பட்டு வந்ததைத் தமிழ் இலக்கி யங்கள் விரிவாகப் பேசுகின்றன.",11
ஏலக்காய்,மலையில் தோன்றும் பொருள்களைப் பற்றி மலைவளம் பேசும் போது இலக்கிய ஆசிரியர்கள் எழில்படக் கூறியுள்ளனர்.,11
ஏலக்காய்,ஏலக்காய் பற்றி தமிழில் வெளிவரும் முதல் நூல் இது.,7
ஏலக்காய்,"ஏலக்காய் வாரியத்தில் நீண்டநாட்கள் பணி செய்த திரு பூவை, எஸ்.",8
ஏலக்காய்,ஆறுமுகம் இந்நூலை சிறப்பாக எழுதியுள்ளார்.,4
ஏலக்காய்,"ஏலக்காயின் விலை பற்றியும் விளைச்சல் அளவு, ஏற்றுமதி விவரம் எல்லாம் இந்நூலில் பகுத்தும் தொகுத்தும் கூறப்பெற்றுள்ளன.",12
ஏலக்காய்,"ஆறுமுகம் சிறுகதை, நாவல் முதலிய படைப்பிலக்கியங்களில் அரசின் பரிசையும் பலரின் பாராட்டையும் பெற்றவர்.",10
ஏலக்காய்,எதனையும் எளிமையாகக் கூறும் திறத்தினர்.,4
ஏலக்காய்,நீண்ட காலமக எழுதிவரும் எழுத்தாளர்.,4
ஏலக்காய்,தம்முடைய எழுத்துலக அனுபவங்களையெல்லாம் அழகு ஓவியமாக ஆக்கி வருபவர்.,7
ஏலக்காய்,புகழ் பெற்ற ஆசிரியர் பூவை.,4
ஏலக்காய்,ஆறுமுகம் புதுவகை நூல்களைப் படைப்பதிலும் சிறந்தவர் என்பதற்கு இந்நூல் ஒர் எடுத்துக்காட்டு.,9
ஏலக்காய்,ஏலக்காயின் எல்லா வகைப் பயன்களையும் ஆசிரியர் மணக்க மணக்க எழுதியுள்ளார்.,8
ஏலக்காய்,துறைதோறும் தமிழுக்கு வளம் சேர்க்கும் பதிப்பகத்திற்கு மேலும் புகழ் மணம் கூட்டுகிறது.,9
ஏலக்காய்,நறுமணப் பொருட்களின் ராணி ஏலக்காய்.,4
ஏலக்காய்,"ஐயாயிரம் ஆண்டுகளுக்கும் மேலான வரலாற்றுச் சிறப்பைக் கொண்டு, இன்று உலக நாடுகளிடையே வரலாறு படைத்து வருவதும் குறிப்பிடத் தக்கது.",14
ஏலக்காய்,"மேலும், பாரதத் திருநாட்டுக்கு ஆண்டுதோறும் ரூ. கோடிக்கும் கூடுதலாகவே அந்நியச் செலாவணியையும் ஈட்டித் தருகிறது.",11
ஏலக்காய்,இந்தப் புதிய ஏற்பாட்டினைச் செய்த பெருமைக்கு வாரியத்தின் புதிய தலைவர் திரு கே. எம்.,11
ஏலக்காய்,சந்திரசேகர் உரியவர் ஆகிறார்.,3
ஏலக்காய்,"பிறகு, பேராசிரியர் கே. எம்.",4
ஏலக்காய்,"சாண்டி, பின்னர், தமிழகம் சார்ந்த திரு எஸ்.",6
ஏலக்காய்,தொட்ட இடம் பூ மணக்கும் என்று பாடினார் கவியரசு.,7
ஏலக்காய்,இந்த உண்மை ஏலக்காய்க்குச் சாலவும் பொருந்தும்.,5
ஏலக்காய்,வாரியத்தின் கிளை அலுவலகம் ஒன்றைத் தமிழ் நாட்டிலும் திறக்க வேண்டுமென்று விரும்பியது வாரியம் !,10
ஏலக்காய்,நான் இணைப்புத்துறை அதிகாரியாகப் பதவி உயர்வு பெற்றேன்.,6
ஏலக்காய்,தமிழ் மண்ணை மிதித்தேன் வாசமிகு ஏலக்காய் மணத்தில் தேமதுரத் தமிழ் மணமும் கலந்தது.,10
ஏலக்காய்,வானொலி மற்றும் தொலைக்காட்சியிலும் ஏலமணம் பரப்பியதும் உண்டு தமிழ் ஏடுகளில் பெரும்பாலானவை ஏலச்செய்தி விரும்பி வெளியிட்டன.,12
ஏலக்காய்,செய்தித் திரைப்படங்களும் தயாரிக்கப்பட்டன உண்மை தான் ! —இந்திய ஏலக்காயின் செல்வாக்கும் புகழும் உலக அரங்கிலே கொடிகட்டிப் பறந்தன பறக்கின்றன.,14
ஏலக்காய்,"பண்டைத்தமிழ் இலக்கியங்களான குறுந்தொகை, சீவக சிந்தாமணி, சிலப்பதிகாரம் போன்றவற்றில் ஏலக்காய் மணக்கும்.",9
ஏலக்காய்,"தவிர, ஏலக்காய்க்குப் பக்தி மணமும் உண்டு.",5
