work_title,sentence,sentence_length
கடவுள்_கைவிடமாட்டார்,கடவுள் கைவிடமாட்டார் டாக்டர்.,3
கடவுள்_கைவிடமாட்டார்,﻿கடவுள் கைவிடமாட்டார் தேசிய விருது பெற்ற பேராசிரியர் அமரர் பல்கலைப் பேரறிஞர் டாக்டர்.,10
கடவுள்_கைவிடமாட்டார்,தொலைப்பேசி எட்டு மில்லியன் இருநூற்று ஐம்பத்திரண்டு ஆயிரத்து இருநூற்று எழுபத்தொன்று ﻿ ﻿பதிப்புரை உண்மையான இன்பம் உழைப்பில்தான் இருக்கிறது.,14
கடவுள்_கைவிடமாட்டார்,"உற்சாகமான உழைப்பினால் கிடைக்கின்ற பலனில்தான், நல்ல நிம்மதியும் கிடைக்கிறது.",7
கடவுள்_கைவிடமாட்டார்,அந்த இன்பமும் மகிழ்ச்சியுமே நீடித்து நிலைத்து நிற்கும்.,6
கடவுள்_கைவிடமாட்டார்,அதுவே வாழ்வின் பயனுமாகும்.,3
கடவுள்_கைவிடமாட்டார்,"எந்த வழியிலேனும் பணம் சேர்த்து விடலாம், இஷ்டம் போல் வாழலாம் என்று ஒருசிலர் முயற்சி செய்கிறார்கள்.",12
கடவுள்_கைவிடமாட்டார்,"அது முறையான வாழ்க்கையல்ல, குறுக்கு வழி எப்பொழுதும் துன்பத்தையே தரும்.",8
கடவுள்_கைவிடமாட்டார்,"துன்பம் தரும் வழியை தெரிந்தே தேர்ந்தெடுத்துப் பயணம் செய்வது, அறிவுடையோர்க்கு அழகல்ல.",9
கடவுள்_கைவிடமாட்டார்,நல்ல வாழ்க்கை வாழ்பவரையே உலகம் மதிக்கிறது.,5
கடவுள்_கைவிடமாட்டார்,அதனால்தான் வள்ளுவரும் தோன்றிற் புகழொடு தோன்றுக ! என்றார்.,6
கடவுள்_கைவிடமாட்டார்,"நாம் புகழுடனும் நிம்மதியுடனும், இன்பத்துடனும் வாழ்ந்திட விரும்பினால், நல்ல பாதையையே தேர்ந்தெடுக்க வேண்டும்.",10
கடவுள்_கைவிடமாட்டார்,"வேறுபாதை வேண்டாம் அவ்வாறு சென்றால் என்ன ஆகும் என்ற ஓர் கேள்விக்குப் பதிலாக, இந்த குறுநாவல் அமைந்திருக்கிறது.",13
