work_title,sentence,sentence_length
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கலீலியோவின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,5
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,﻿கலீலியோவின்﻿ ﻿நம்மை மேம்படுத்தும் எண்ணங்கள் புலவர் என்.,6
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"கலைமணி எம்.ஏ., சாந்தி நிலையம் புதிய எண்.",7
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"முப்பத்தாறு, உஸ்மான் சாலை, தியாகராய தகர், சென்னை அறுநூறு  பதினேழு .",8
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,◯ உள்ளடக்கம் பதிப்புரை ஒன்று.,4
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,உலக வரை படத்தை முதன் முதல் வரைந்தவர் !,6
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கடற் பயணிகளின் கண்டுபிடிப்புகள் மூன்று கலீலியோ காலத்து மக்கள் மனநிலைகள் நான்கு.,9
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"மூக்குக் கண்ணாடியால், தொலை நோக்கி வந்த விதம் !",6
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கலீலியோவால் இத்தாலிக்குப் பெருமை !,3
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கை நாடித் துடிப்பால் பெண்டுல நேரத்தை கணக்கிட்டார் ஆறு.,7
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கை நாடித் துடிப்பால் பெண்டுல நேரத்தை கணக்கிட்டார் ஏழு.,7
