work_title,sentence,sentence_length
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,காலனைக் கட்டி யடக்கிய கடோரசித்தன் கதை தணிகைமணி வ.,7
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,இக் கதையை நாடக ரூபமாக அமைத்தால் பெரிதுஞ் சுவைதரும் என்பதற்கு ஐயமில்லை.,9
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,"இக் கதையால் அறிவின் பயன் இன்னதென்பதும், சாவு என்பது இல்லாவிட்டால் மனிதர்களின் நிலை இவ்வாறிருக்கும் என்பதும் விளங்கும்.",13
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,"இந் நூலால், காலன் வேறு, யம தருமாஜர் வேறு என்னும் விடயமும் அறியவரும்.",10
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,சென்னை பதினாறு  இரண்டு ஓர் ஆயிரத்து தொள்ளாயிரத்து இருபத்தெட்டு வ.சு.,9
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,அப்போது எம்பெருமான் திருச்செவியில் பூலோகத்தி னின்றும் ஹரி கேசவா !,7
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,ஹரி நாராயணா ! சங்கு சக்ர கதாபாணி !,5
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,நீ காக்கைக் கடவுளன்றோ !,3
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,இந்தக் கள்ளர் தலைவன் கடோர சித்தனைத் தொலைத்து எங்களைக் காத்தருள வேண்டும் என ஒருபெரிய முறையீடு கேட்டது.,13
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,இம்முறையீட்டைக் கேட்ட முராரி வாளா இருந்தனர்.,5
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,அங்கனம் இருக்க முடியவில்லை எங்கள் மாதா லக்ஷ்மி தேவிக்கு.,7
