work_title,sentence,sentence_length
குதிரைச்_சவாரி,குதிரைச் சவாரி குழந்தைக் கவிஞர் அழ.,5
குதிரைச்_சவாரி,﻿குதிரைச் சவாரி மாலை நேரம்.,4
குதிரைச்_சவாரி,கடல் காற்று ஜில் என்று வீசிக் கொண்டிருந்தது.,6
குதிரைச்_சவாரி,பட்டினத்தில் காசு கொடுக்காமல் வாங்கக்கூடியது அந்தக் காற்று ஒன்றுதானே !,7
குதிரைச்_சவாரி,அதற்குள் தூரத்தில் வந்துகொண்டிருந்த இரண்டு குதிரைகளை அவன் பார்த்து விட்டான்.,8
குதிரைச்_சவாரி,குதிரைகள் இரண்டும் சும்மா வரவில்லை.,4
குதிரைச்_சவாரி,"ஒன்று, ஒரு பையனை முதுகில் ஏற்றிக்கொண்டு வந்தது.",6
குதிரைச்_சவாரி,மற்றொன்று ஒரு பெண்ணை ஏற்றிக்கொண்டு வந்தது.,5
குதிரைச்_சவாரி,"﻿ உடனே, குதிரைகள் வரும் திசையை நோக்கி ஓடினான்.",7
குதிரைச்_சவாரி,சமீபத்தில் வந்ததும் குதிரைமேல் இருப்பவர்கள் யாரென்று நிமிர்ந்து பார்த்தான்.,7
குதிரைச்_சவாரி,அவனுக்கு மிகவும் ஆச்சரியமாகப் போய்விட்டது !,4
குதிரைச்_சவாரி,அவர்கள் வேறு யாருமில்லை.,3
குதிரைச்_சவாரி,மோஹனுடைய வகுப்பில் படிக்கும் கண்ணப்பனும் அவன் தங்கை கமலாவும்தாம் !,7
குதிரைச்_சவாரி,அவர்கள் குதிரைகளின் மேல் ஒய்யாரமாக உட்கார்ந்திருந்தார்கள்.,5
குதிரைச்_சவாரி,"டேய், கண்ணா ! என்று கூப்பிட்டான் மோஹன்.",5
குதிரைச்_சவாரி,கண்ணப்பன் திரும்பிக்கூடப் பார்க்கவில்லை.,3
குதிரைச்_சவாரி,கண்ணா ! என்று மறுபடியும் கூப்பிட்டான்.,4
குதிரைச்_சவாரி,"குதிரைமேல் செல்லும் கண்ணப்பனுக்கு, தரைமேல் நிற்கும் மோஹனைப்பற்றி என்ன கவலை !",8
குதிரைச்_சவாரி,முன்பின் தெரியாதவனைப் போலவே போய்க்கொண்டிருந்தான்.,4
குதிரைச்_சவாரி,"ஆனாலும், அதற்காக மோஹன் கவலைப்படவில்லை, அவர்கள் எங்கே போகிறார்கள் என்று தெரிந்துகொள்ள ஆசைப்பட்டான்.",10
குதிரைச்_சவாரி,குதிரைகளின் பின்னலேயே சென்றான்.,3
குதிரைச்_சவாரி,அந்தக் குதிரைகள் மெதுவாக நடக்கவும் இல்லை மிக வேகமாக ஓடவும் இல்லை.,9
குதிரைச்_சவாரி,நடுத்தர வேகத்திலே சென்றன.,3
குதிரைச்_சவாரி,மோஹன் அவற்றை விடாமல் பின் தொடர்ந்தான்.,5
குதிரைச்_சவாரி,குதிரைகள் கடற்கரையில் சிறிது தூரம் சென்றன.,5
குதிரைச்_சவாரி,"பிறகு, முன்பு புறப்பட்ட திசையை நோக்கி ஓடி வரலாயின.",7
குதிரைச்_சவாரி,"அப்போதும், நமது மோஹன் சளைத்தானா?",4
