work_title,sentence,sentence_length
கொல்லிமலைக்_குள்ளன்,"அதே போல், குழந்தை எழுத்தாளர் திரு.",5
கொல்லிமலைக்_குள்ளன்,தூரன் அவர்களின் நாவலின் சிறப்பைப்பற்றிச் சொன்னால் அது ஒன்றும் புதிய செய்தி அல்லவே !,10
கொல்லிமலைக்_குள்ளன்,"வழக்கம் போல் எங்கள் வெளியீடுகளை வாங்கி ஆதரவு நல்கும் தமிழ்ப்பெருமக்கள், இந்நூலையும் தங்கள் குழந்தைகட்கு வாங்கிக் கொடுத்து.",13
கொல்லிமலைக்_குள்ளன்,"அவர்கள் வல்லவர்களாக, நல்லவர்களாக வளர உதவ வேண்டுகிறோம்.",6
கொல்லிமலைக்_குள்ளன்,பழனியப்பா பிரதர்ஸ் கொல்லிமலைக் குள்ளன் அந்தப் பஞ்சாப்காரர் எத்தனை வேகமாக நீந்தினார் பார்த்தாயா?,10
கொல்லிமலைக்_குள்ளன்,நீச்சல் போட்டிக்குச் சரியான ஆள் என்றான் தங்கமணி.,6
கொல்லிமலைக்_குள்ளன்,பனை மரத்திலே பாதி இருந்தால் நீகூட அப்படி நீந்தலாம் என்றான் சுந்தரம்.,9
கொல்லிமலைக்_குள்ளன்,"போடா, உனக்கு எப்பொழுதும் கேலிதான்.",4
கொல்லிமலைக்_குள்ளன்,அந்த சிங் ரொம்ப உயரந்தான்.,4
கொல்லிமலைக்_குள்ளன்,மரீனா நீச்சல் குளத்தையே ஒரு கலக்குக் கலக்கி விட்டார் என்று மேலும் என்னவோ சொல்லச் சுந்தரம் ﻿வாயெடுத்தான்.,13
கொல்லிமலைக்_குள்ளன்,அதற்குள்ளே கண்ணகி தொடங்கிவிட்டாள்.,3
கொல்லிமலைக்_குள்ளன்,எனக்குத்தான் யாருமே நீந்தக் கற்றுக் கொடுப்பதில்லை போன கோடை விடுமுறையிலிருந்து கேட்டுக் கேட்டு அலுத்துவிட்டது.,11
கொல்லிமலைக்_குள்ளன்,அம்மாவிடம் முதலிலே நீ அனுமதி வாங்கு பிறகு நான் கற்றுக் கொடுக்கிறேன் என்றான் தங்கமணி.,11
கொல்லிமலைக்_குள்ளன்,"கண்ணகி, உனக்குத்தான் தண்ணீரைக் கண்டாலே சளிப் பிடிக்குமே !",6
கொல்லிமலைக்_குள்ளன்,அத்தை நிச்சயம் அனுமதி கொடுக்கமாட்டார்கள்.,4
கொல்லிமலைக்_குள்ளன்,முதலில் நீ நீந்தப் பழகிக்கொள் அப்புறம் தண்ணீரில் இறங்கலாம் என்று நகைத்தான் சுந்தரம்.,10
கொல்லிமலைக்_குள்ளன்,இந்த விடுமுறையிலே எங்காவது ஆற்றுப்பக்கம் போனால் நன்றாக இருக்கும்.,7
கொல்லிமலைக்_குள்ளன்,மற்ற இருவரும் உற்சாகமாக அதை ஆமோதித்தார்கள் எனக்குக்கூட ஒவ்வொரு விடுமுறையிலும் சென்னைக்கே வந்து அலுத்துப்போய்விட்டது.,11
கொல்லிமலைக்_குள்ளன்,மதுரையை விட்டால் சென்னை சென்னையை விட்டால் மதுரை.,6
கொல்லிமலைக்_குள்ளன்,எங்காவது ஆற்றுப் பக்கத்திலே ஒரு கிராமத்திற்குப் போய்க் கொஞ்ச நாள் தங்கி வந்தால் நன்றாக இருக்கும்.,12
கொல்லிமலைக்_குள்ளன்,உன்னுடைய ஜின்காவிற்கும் மரங்களில் ஏறி விளையாடுவதற்கு ஒரு நல்ல சமயம் கிடைக்கும்.,9
கொல்லிமலைக்_குள்ளன்,அதுதான் எனக்கும் ஆசையா இருக்கிறது.,4
கொல்லிமலைக்_குள்ளன்,"ஆனால், அப்பா என்ன சொல்லுவாரோ?",4
கொல்லிமலைக்_குள்ளன்,"கண்ணகி, கிராமத்துப் புளியந்தோப்பிலே இரட்டைவால் பேயிருக்கும்.",5
கொல்லிமலைக்_குள்ளன்,இப்படிச் சுந்தரம் பேயை பற்றிப் பேசத் தொடங்கினான்.,6
கொல்லிமலைக்_குள்ளன்,"ஐயோ, நான் வரமாட்டேன்.",3
கொல்லிமலைக்_குள்ளன்,"இல்லை கண்ணகி, இவன் தான் இரட்டைவால் பேய் வேறே பேயெல்லாம் கிடையாது.",9
கொல்லிமலைக்_குள்ளன்,அதெல்லாம் கட்டுக்கதை பயப்படாதே என்று தங்கமணி தன் தங்கைக்குத் தைரியம் கூறினான்.,9
கொல்லிமலைக்_குள்ளன்,﻿ மாமா வந்தவுடன் கேட்டுப் பார்க்கலாம்.,5
கொல்லிமலைக்_குள்ளன்,சுந்தரம் இப்பொழுது தனது கேலியை மறந்துவிட்டான்.,5
கொல்லிமலைக்_குள்ளன்,அப்பாவுக்கு எப்பவும் வேலை தான்.,4
கொல்லிமலைக்_குள்ளன்,வேலையை விட்டால் நாவல் படிப்பு என்றான் தங்கமணி.,6
கொல்லிமலைக்_குள்ளன்,அதிலும் துப்பறியும் கதை என்றால் மாமாவுக்குச் சோறுகூட வேண்டாம்.,7
கொல்லிமலைக்_குள்ளன்,சுந்தரம் இவ்வாறு கூறிக்கொண்டிருக்கும் போது.,4
கொல்லிமலைக்_குள்ளன்,"அதோ, அப்பா வருகிறார் என்று கண்ணகி மகிழ்ச்சியோடு கூவினாள்.",7
கொல்லிமலைக்_குள்ளன்,வடிவேல் ஆழ்ந்து எதையோ சிந்தித்துக்கொண்டு வீட்டிற்குள்ளே நுழைந்தார்.,6
கொல்லிமலைக்_குள்ளன்,திண்ணையிலே அமர்ந்து பேசிக் கொண்டிருந்த மூவரையும் அவர் கவனிக்கவே இல்லை.,8
கொல்லிமலைக்_குள்ளன்,வடிவேல் வழக்கம் போல இவர்கள் மூவரையும் உற்சாகமாகக் கூப்பிட்டுக்கொண்டே வீட்டிற்குள் நுழையவில்லை.,9
கொல்லிமலைக்_குள்ளன்,ஏதோ ஆழ்ந்த எண்ணத்தில் மூழ்கியவராக அவர் காணப்பட்டார்.,6
கொல்லிமலைக்_குள்ளன்,அதனால் இவர்கள் மூவரும் அவரைப் பின் தொடர்ந்து உள்ளே நுழையாமல் திண்ணையிலேயே தங்கி விட்டார்கள்.,11
கொல்லிமலைக்_குள்ளன்,அந்தச் சமயத்தில் சுந்தரத்திற்குத் திடீரென்று ஏதோ ஒன்று நினைவுக்கு வந்தது.,8
கொல்லிமலைக்_குள்ளன்,"டேய் தங்கமணி, அந்த பஞ்சாப் காரர் நம்மிடம் சொன்னதை மறந்துவிட்டாயா?",8
கொல்லிமலைக்_குள்ளன்,நம்மையெல்லாம் இன்றைக்குப் பொம்மைக்கூத்திற்கு அழைத்துக் கொண்டு போவதாகச் சொன்னாரே !,7
கொல்லிமலைக்_குள்ளன்,என்று சுந்தரம் நினைவு கூட்டினான்.,4
கொல்லிமலைக்_குள்ளன்,"போடா, அவர் எங்கே வரப்போகிறார்?",4
