work_title,sentence,sentence_length
சதுரங்கம்_விளையாடுவது_எப்படி,சதுரங்கம் விளையாடுவது எப்படி — சதுரங்கம் விளையாடுவது எப்படி டாக்டர்.,8
சதுரங்கம்_விளையாடுவது_எப்படி,﻿சதுரங்கம் விளையாடுவது எப்படி?,3
சதுரங்கம்_விளையாடுவது_எப்படி,பல்கலைப் பேரறிஞர் டாக்டர் எஸ்.,4
சதுரங்கம்_விளையாடுவது_எப்படி,"பப்ளிகேஷன் எட்டு, போலீஸ் குவார்ட்டர்ஸ் ரோடு, தி.",6
சதுரங்கம்_விளையாடுவது_எப்படி,"ஆகவே, ஒவ்வொரு காயும் எவ்வாறு நகர்த்தப்பட வேண்டும் என்கிற வழிமுறைகள் படம் மூலமாக நன்கு விளக்கப்பட்டிருக்கின்றன.",12
சதுரங்கம்_விளையாடுவது_எப்படி,"அதன்பின், அடிப்படை விதிமுறைகள் என்னும் பகுதியில், முக்கியமான விளையாட்டுக் குறிப்புகள் இடம் பெற்றிருக்கின்றன.",10
சதுரங்கம்_விளையாடுவது_எப்படி,முயற்சியின் தொடக்கம்தான் இந்நூல் என்பதைத் தவிர வேறெதுவுமே என்னால் கூற இயலவில்லை.,9
சதுரங்கம்_விளையாடுவது_எப்படி,ஆர்வம் உள்ளவர் பயன்படுத்திக்கொள்வார்கள் என்று நம்புகிறேன்.,5
சதுரங்கம்_விளையாடுவது_எப்படி,"எனது நூல்களையெல்லாம் ஆதரித்து வந்த அன்பர்கள் அனைவரும், இந்நூலையும் ஏற்று மகிழ்வார்கள் என்று நம்புகிறேன்.",11
சதுரங்கம்_விளையாடுவது_எப்படி,"பி.எஸ், சி, அவர்களுக்கும் என் இதய நன்றி ஞான மலர் இல்லம் தி.நகர், சென்னை எஸ்.",14
சதுரங்கம்_விளையாடுவது_எப்படி,நவராஜ் செல்லையா அவர்களின் பேரவா.,4
சதுரங்கம்_விளையாடுவது_எப்படி,இத்தகைய முயற்சிக்குப் பெரிதும் துணைபுரிந்த டாக்டர் எஸ்.,6
சதுரங்கம்_விளையாடுவது_எப்படி,"டாக்டர் நவராஜ் செல்லையா அவர்கள் சிறந்த கவிஞர், நல்ல நாடக ஆசிரியர் இயக்குநர்.",10
சதுரங்கம்_விளையாடுவது_எப்படி,உடற்கல்விக்கான டிப்ளமோ தேர்வில்,3
சதுரங்கம்_விளையாடுவது_எப்படி,"தனிச் சிறப்புக்குரிய மதிப்பெண்கள் பெற்று முதல் நிலையில் தேறி, மாநிலத்திலேயே முதலாவதாகவும் வெற்றி பெற்றவர்.",11
சதுரங்கம்_விளையாடுவது_எப்படி,சாந்தி சாக்ரட்டீஸ் பதிப்பாளர் உள்ளே.,4
