work_title,sentence,sentence_length
சிக்கிமுக்கிக்_கற்கள்,சிக்கிமுக்கிக் கற்கள் சு.,3
சிக்கிமுக்கிக்_கற்கள்,"சமுத்திரம் ஏகலைவன் பதிப்பகம் ஒன்பது, இரண்டாவது குறுக்குத் தெரு, டாக்டர்.",8
சிக்கிமுக்கிக்_கற்கள்,"இராதாகிருஷ்ணன் நகர், சென்னை அறுநூறு  நாற்பத்தொன்று.",5
சிக்கிமுக்கிக்_கற்கள்,"பூஜ்ஜியம் வெளியீடு ஏகலைவன் பதிப்பகம் ஒன்பது, இரண்டாவது குறுக்குத் தெரு, டாக்டர்.",9
சிக்கிமுக்கிக்_கற்கள்,சாமந்தி சம்பங்கி ஓணான் இலை.,4
சிக்கிமுக்கிக்_கற்கள்,"வெள்ளித் திரையும், வீதித் திரையும்.",4
சிக்கிமுக்கிக்_கற்கள்,செல்லாத்தாவின் வலது கையில் அகத்திக்கீரைக் கட்டு இருந்தது.,6
சிக்கிமுக்கிக்_கற்கள்,மகள் ராஜகுமாரியின் தலையில் ஒன்றிற்கு மேல் ஒன்றாக இரண்டு புல்கட்டுக்கள்.,8
சிக்கிமுக்கிக்_கற்கள்,தலைச்சுமை பெரிதில்லை என்று சொல்லாமல் காட்டுவதுபோல் அனாயசமான லாகவத்துடன் ராசகுமாரி நடந்து கொண்டிருந்தாள்.,10
சிக்கிமுக்கிக்_கற்கள்,"பெயருக்கேற்ற கம்பீரம், நனைத்து வைத்த மக்காச்சோளம் போன்ற நிறம்.",7
சிக்கிமுக்கிக்_கற்கள்,வயல்கிணற்றில் குளித்து விட்டு முடித்துவிடப்பட்ட கூந்தலின் பின்புறம் செருகப்பட்ட ஒற்றை ரோஜா.,9
சிக்கிமுக்கிக்_கற்கள்,"கருப்புக் கூந்தலுக்கும், பச்சைப் புல்லுக்கும் இடையே தோன்றிய பின்னணியில் மழைமேகத்திற்கும் மலைக்கும் இடையிடையே தோன்றிய சூரியத் தோற்றம் காட்டியது.",14
சிக்கிமுக்கிக்_கற்கள்,"அல்லாடி வந்த செல்லாத்தாவும், அடிபிசகாது நடந்த ராசகுமாரியும் மந்தைப் பக்கம் வந்து சுற்றுமுற்றும் பார்த்தார்கள்.",11
சிக்கிமுக்கிக்_கற்கள்,மலையில் இருந்து விறகுக் கட்டுக்களைக் கொண்டு வந்திருந்தவர்கள் கவுண் கம்புகளில் அவற்றை வைத்துக் கொண்டு கண்விரிய நின்றார்கள்.,13
சிக்கிமுக்கிக்_கற்கள்,அருகே ஒருசில காய்கறி வியாபாரிகள்.,4
சிக்கிமுக்கிக்_கற்கள்,"இன்னொரு பக்கம், எள் அடிக்கப் பட்டது.",5
சிக்கிமுக்கிக்_கற்கள்,மற்றொரு பக்கம் சீட்டு விளையாட்டுக் கும்பல்.,5
சிக்கிமுக்கிக்_கற்கள்,"ஆங்காங்கே சிறுவர் சிறுமியரின் தெல்லாங்குச்சி விளையாட்டும், கிளித்தட்டு விளையாட்டும் நடந்தபடி இருந்தன.",9
சிக்கிமுக்கிக்_கற்கள்,"வாடிக்கையான இடத்தில் புல் கட்டுக்களைப் போட்டு விட்டுத் தாயும், மகளும் ஒருவரை ஒருவர் பார்த்துக் கொண்டார்கள்.",12
சிக்கிமுக்கிக்_கற்கள்,இரண்டு கட்டுக்களும் நான்கு ரூபாய்க்குப் போகும்.,5
சிக்கிமுக்கிக்_கற்கள்,அன்றைய அடுப்பு எரியும்.,3
