work_title,sentence,sentence_length
சின்னஞ்சிறு_பாடல்கள்,சின்னஞ்சிறு பாடல்கள் குழந்தைக் கவிஞர் அழ.,5
சின்னஞ்சிறு_பாடல்கள்,வந்தே ஒருவரம் தா தா தா.,5
சின்னஞ்சிறு_பாடல்கள்,"கந்தனின் அண்ணா, வா வா வா.",5
சின்னஞ்சிறு_பாடல்கள்,கனிவுடன் ஒருவரம் தா தா தா.,5
சின்னஞ்சிறு_பாடல்கள்,ஆனை முகத்துடன் வா வா வா.,5
சின்னஞ்சிறு_பாடல்கள்,அவசியம் ஒருவரம் தா தா தா.,5
சின்னஞ்சிறு_பாடல்கள்,பானை வயிற்றுடன் வா வா வா.,5
சின்னஞ்சிறு_பாடல்கள்,"பணிந்தேன் ஒருவரம் தா தா தா எல்லாம் அறிந்த கணபதியே, எவ்வரம் கேட்பேன், தெரியாதா?",11
சின்னஞ்சிறு_பாடல்கள்,நல்லவன் என்னும் ஒருபெயரை நான்பெற நீ வரம் தா தா தா.,9
சின்னஞ்சிறு_பாடல்கள்,தங்க நிற மாம்பழம்.,3
சின்னஞ்சிறு_பாடல்கள்,இங்கே ஒடி வாருங்கள் பங்கு போட்டுத் தின்னலாம்.,6
சின்னஞ்சிறு_பாடல்கள்,"புளியமரத்தில் ஏறலாம், புளியங்காயைப் பறிக்கலாம்.",4
சின்னஞ்சிறு_பாடல்கள்,நெல்லிக் காயைப் பறிக்கலாம்.,3
சின்னஞ்சிறு_பாடல்கள்,"வாழைமரத்தில் ஏறினால், வழுக்கி வழுக்கி விழுகலாம் !",5
சின்னஞ்சிறு_பாடல்கள்,"﻿பசுவே, பசுவே, உன்னைநான் பார்த்துக் கொண்டே இருக்கின்றேன்.",6
சின்னஞ்சிறு_பாடல்கள்,வாயால் புல்லைத் தின்கின்றாய்.,3
சின்னஞ்சிறு_பாடல்கள்,மடியில் பாலைச் சேர்க்கின்றாய்.,3
சின்னஞ்சிறு_பாடல்கள்,சேர்த்து வைக்கும் பாலெல்லாம் தினமும் நாங்கள் கறந்திடுவோம்.,6
சின்னஞ்சிறு_பாடல்கள்,கறந்து கறந்து காப்பியிலே கலந்து கலந்து குடித்திடுவோம்.,6
சின்னஞ்சிறு_பாடல்கள்,﻿கடகடா கடகடா வண்டி வருகுது காளை மாடு இரண்டு பூட்டி வண்டி வருகுது.,10
சின்னஞ்சிறு_பாடல்கள்,டக்டக் டக்டக் வண்டி வருகுது.,4
சின்னஞ்சிறு_பாடல்கள்,தாவித் தாவி ஓடும் குதிரை வண்டி வருகுது.,6
சின்னஞ்சிறு_பாடல்கள்,"ட்ரிங்ட்ரிங் ட்ரிங்ட்ரிங் வண்டி வருகுது, சீனு ஏறி ஒட்டும் சைக்கிள் வண்டி வருகுது.",10
சின்னஞ்சிறு_பாடல்கள்,பாம்பாம் பாம்பாம் வண்டி வருகுது.,4
சின்னஞ்சிறு_பாடல்கள்,பாய்ந்து வேக மாக மோட்டார் வண்டி வருகுது.,6
சின்னஞ்சிறு_பாடல்கள்,குப்குப் குப்குப் வண்டி வருகுது.,4
சின்னஞ்சிறு_பாடல்கள்,கும்ப கோண மிருந்து ரயில் வண்டி வருகுது !,6
சின்னஞ்சிறு_பாடல்கள்,﻿குதித்துக் குதித்தே ஓடும் குதிரை அதோ பாராய்.,6
சின்னஞ்சிறு_பாடல்கள்,அசைந்து அசைந்து செல்லும் ஆனை இதோ பாராய்.,6
சின்னஞ்சிறு_பாடல்கள்,பறந்து பறந்து போகும் பருந்து அதோ பாராய்.,6
சின்னஞ்சிறு_பாடல்கள்,நகர்ந்து நகர்ந்து செல்லும் நத்தை இதோ பாராய்.,6
சின்னஞ்சிறு_பாடல்கள்,தத்தித் தத்திப் போகும் தவளை அதோ பாராய்.,6
சின்னஞ்சிறு_பாடல்கள்,"துள்ளித் துள்ளி நாமும் பள்ளி செல்வோம், வாராய்.",6
சின்னஞ்சிறு_பாடல்கள்,"﻿ வெங்கு, வெங்கு, வெங்கு வெங்கு ஊதினான் சங்கு நுங்கு நுங்கு நுங்கு நுங்கில் எனக்குப் பங்கு.",13
சின்னஞ்சிறு_பாடல்கள்,"வள்ளி, வள்ளி, வள்ளி வள்ளி கொலுசு வெள்ளி.",6
சின்னஞ்சிறு_பாடல்கள்,"பள்ளி, பள்ளி, பள்ளி பள்ளி செல்வோம் துள்ளி.",6
சின்னஞ்சிறு_பாடல்கள்,"பட்டு, பட்டு, பட்டு பட்டு வாயில் பிட்டு.",6
சின்னஞ்சிறு_பாடல்கள்,"துட்டு, துட்டு, துட்டு துட்டுத் தந்தால் லட்டு !",6
சின்னஞ்சிறு_பாடல்கள்,"நத்தை யம்மா நத்தை யம்மா, நத்தை யம்மா, எங்கே போகிறாய்?",8
சின்னஞ்சிறு_பாடல்கள்,அத்தை குளிக்கத் தண்ணீர்க் குடம் கொண்டு போகிறேன்.,6
சின்னஞ்சிறு_பாடல்கள்,எத்த னைநாள் ஆகும் அத்தை வீடு செல்லவே?,6
சின்னஞ்சிறு_பாடல்கள்,பத்தே நாள் தான் வேணு மானால் பார்த்துக் கொண்டிரு.,7
சின்னஞ்சிறு_பாடல்கள்,﻿எங்களுடைய ﻿அப்பா ﻿ எங்களுடைய அப்பா—அவர் என்றும் அணிவார் ஜிப்பா.,8
சின்னஞ்சிறு_பாடல்கள்,எங்களுடைய அம்மா—அவள் எதுவும் தருவாள் சும்மா.,5
சின்னஞ்சிறு_பாடல்கள்,எங்களுடைய தங்கை—அவள் இனிய பெயரோ மங்கை.,5
சின்னஞ்சிறு_பாடல்கள்,எங்களுடைய தம்பி—அவன் என்றும் தங்கக் கம்பி.,5
சின்னஞ்சிறு_பாடல்கள்,எங்களுடைய பாட்டி—அவள் எவர்க்கும் தருவாள் பேட்டி !,5
சின்னஞ்சிறு_பாடல்கள்,யானை வருது ﻿யானை வருது.,4
சின்னஞ்சிறு_பாடல்கள்,யானை வருது பார்க்க வாருங்கோ.,4
சின்னஞ்சிறு_பாடல்கள்,"அசைந்து, அசைந்து நடந்து வருது பார்க்க வாருங்கோ.",6
சின்னஞ்சிறு_பாடல்கள்,கழுத்து மணியை ஆட்டி வருது பார்க்க வாருங்கோ.,6
சின்னஞ்சிறு_பாடல்கள்,காதைக் காதை அசைத்து வருது பார்க்க வாருங்கோ.,6
சின்னஞ்சிறு_பாடல்கள்,நெற்றிப் பட்டம் கட்டி வருது பார்க்க வாருங்கோ.,6
சின்னஞ்சிறு_பாடல்கள்,நீண்ட தங்தத் தோடே வருது பார்க்க வாருங்கோ.,6
சின்னஞ்சிறு_பாடல்கள்,தும்பிக் கையை வீசி வருது பார்க்க வாருங்கோ.,6
சின்னஞ்சிறு_பாடல்கள்,தூக்கி சலாம் போட்டு வருது பார்க்க வாருங்கோ.,6
சின்னஞ்சிறு_பாடல்கள்,மியாவ் மியாவ் பூனையார் ﻿ மியாவ் மியாவ் பூனையார்.,7
சின்னஞ்சிறு_பாடல்கள்,மீசைக் காரப் பூனையார்.,3
சின்னஞ்சிறு_பாடல்கள்,ஆளில் லாத வேளையில் அடுக்க அளக்குள் செல்லுவார்.,6
சின்னஞ்சிறு_பாடல்கள்,பால் இருக்கும் சட்டியைப் பார்த்துக் காலி பண்ணுவார்.,6
சின்னஞ்சிறு_பாடல்கள்,மியாவ் மியாவ் பூனையார்.,3
சின்னஞ்சிறு_பாடல்கள்,இரவில் எல்லாம் சுற்றுவார்.,3
சின்னஞ்சிறு_பாடல்கள்,எலிகள் வேட்டை ஆடுவார்.,3
சின்னஞ்சிறு_பாடல்கள்,பரணில் ஏறிக் கொள்ளுவார்.,3
சின்னஞ்சிறு_பாடல்கள்,பகலில் அங்கே துங்குவார்.,3
சின்னஞ்சிறு_பாடல்கள்,மெல்ல மெல்லச் செல்லுவார்.,3
சின்னஞ்சிறு_பாடல்கள்,மேலும் கீழும் தாவுவார்.,3
சின்னஞ்சிறு_பாடல்கள்,ளொள்ளொள் சத்தம் கேட்டதும் கொடியில் ஓடிப் பதுங்குவார்.,6
சின்னஞ்சிறு_பாடல்கள்,அந்த மிருகம் ﻿ டக்டக் சத்தம் போடுமாம்.,6
சின்னஞ்சிறு_பாடல்கள்,தாவித் தாவி ஓடுமாம்.,3
சின்னஞ்சிறு_பாடல்கள்,கொள்ளும் புல்லும் தின்னுமாம்.,3
சின்னஞ்சிறு_பாடல்கள்,குதித்துக் குதித்துச் செல்லுமாம்.,3
