work_title,sentence,sentence_length
சோனாவின்_பயணம்,﻿நேரு பால புத்தகாலயம் இருபத்தைந்து சோனாவின் பயணம் தாரா திவாரி தமிழாக்கம் அழ.,10
சோனாவின்_பயணம்,அன்று வெய்யில் மிகவும் கடுமையாக இருந்தது.,5
சோனாவின்_பயணம்,"பிரகாசமான சூரிய வெளிச்சத்தில், சுட்டுப் பொசுக்கும் மஞ்சள் நிற மணல் பளபளத்தது.",9
சோனாவின்_பயணம்,"திடீரென்று சோனா நின்றது மணலில் பாதங்களைப் புதைத்துக் கொண்டு, என்னால் இனி கொஞ்சம் கூட நடக்க முடியாது.",13
சோனாவின்_பயணம்,ஒரே தாகமாக இருக்கிறது.,3
சோனாவின்_பயணம்,எனக்குத் தண்ணீர் வேண்டும் என்று முணுமுணுத்தது.,5
சோனாவின்_பயணம்,"உடனே அம்மா ஒட்டகம் கீழே குனிந்து அதைப் பார்த்து, கண்ணே, நீ தாகமாயிருப்பாய் என்பது எனக்குத் தெரியும்.",13
சோனாவின்_பயணம்,"அதோ பார், தண்ணிர் !",3
சோனாவின்_பயணம்,வெகு அருகில் உள்ளது என்று கூறியது.,5
சோனாவின்_பயணம்,﻿ சிறிது தூரத்தில் வரிசையாக இருந்த மரங்களை நோக்கி அது தன் கழுத்தை நீட்டிப் பார்த்தது.,12
சோனாவின்_பயணம்,"பிறகு, அதோ, அந்த மரங்கள் உனக்குத் தெரிகிறதா?",6
சோனாவின்_பயணம்,"பாலைவனத்தில் எங்கேனும் மரங்கள் இருந்தால், அங்கே நீர் இருக்கும்.",7
சோனாவின்_பயணம்,அங்கே ஒரு கிராமம்கூட இருக்கலாம்.,4
சோனாவின்_பயணம்,"எப்படி இருந்தாலும், அங்கே மற்ற மிருகங்கள் இருக்கும்.",6
சோனாவின்_பயணம்,நீ அவற்றுடன் விளையாடலாம்.,3
சோனாவின்_பயணம்,"வா, போகலாம் என்றது.",3
சோனாவின்_பயணம்,﻿ என்ன அழகு ! என்று கூறி சோனா வேகமாக நடக்கத் தொடங்கியது.,9
சோனாவின்_பயணம்,விரைவில் அவை அந்த மரங்கள் இருந்த இடத்தை அடைந்தன.,7
சோனாவின்_பயணம்,அம்மா தன்னுடைய தலையைத் தூக்கி மோப்பம் பிடித்தது.,6
சோனாவின்_பயணம்,"பிறகு, இடது புறம் திரும்பி, இந்த வழியாக வா.",7
சோனாவின்_பயணம்,தண்ணிர் வெகு அருகில் இருப்பதை மோப்பத்தால் கண்டுபிடித்து விட்டேன் என்றது.,8
சோனாவின்_பயணம்,"உயரமான மரங்களுக்கும், அடர்ந்த புதர்களுக்கும் நடுவே, தெளிந்த குளிர்ச்சியான நீர் நிரம்பிய ஒரு குளத்தை அவை கண்டன.",13
சோனாவின்_பயணம்,"குனிந்து, அந்நீரை வேகமாகக் குடித்தன.",4
சோனாவின்_பயணம்,"அருகிலே ஒரு மரத்தில் உட்கார்ந்திருந்த காகம், அவைகளைக் கவனித்துக்கொண்டிருந்தது.",7
