work_title,sentence,sentence_length
தமிழ்ப்_பழமொழிகள்_1,தமிழ்ப் பழமொழிகள் ஒன்று கி.,4
தமிழ்ப்_பழமொழிகள்_1,தமிழ்ப் பழமொழிகள் தொகுதி ஒன்று தொகுத்தவர் கி.,6
தமிழ்ப்_பழமொழிகள்_1,இவை கடந்த நாற்பது ஆண்டுகளாக நான் சேகரித்தவை.,6
தமிழ்ப்_பழமொழிகள்_1,சொற்பொழிவு செய்யும் பொருட்டு வெளியூர்களுக்குச் சென்ற காலங்களில் அங்கே உள்ள ஆடவர்களிடமும் பெண்மணிகளிடமும் கேட்டுப் பழமொழிகளை எழுதி வந்தேன்.,14
தமிழ்ப்_பழமொழிகள்_1,பெரும்பாலும் முதிய பெண்மணிகளே பல பழமொழிகளைச் சொன்னார்கள்.,6
தமிழ்ப்_பழமொழிகள்_1,பழமொழியை முதுமொழி என்றும் வசனம் என்றும் கூறுவர்.,6
தமிழ்ப்_பழமொழிகள்_1,இந்தப் பழமொழிகளில் பல்வேறு சாதியினரைக் குறை கூறி உள்ளவை பல உண்டு.,9
தமிழ்ப்_பழமொழிகள்_1,அவற்றைக் கண்டு அந்தச் சாதியைச் சேர்ந்த அன்பர்கள் சினம் கொள்ள மாட்டார்கள் என்று நம்புகிறேன்.,11
தமிழ்ப்_பழமொழிகள்_1,இழித்துக் கூறுவதில் எந்தச் சாதியினரையும் விட்டு வைக்கவில்லை.,6
தமிழ்ப்_பழமொழிகள்_1,பார்ப்பனர்களை இழித்துக் கூறும் பழமொழிகள் பல.,5
தமிழ்ப்_பழமொழிகள்_1,அத்தகையவற்றை அப்படி அப்படியே காட்டியுள்ளேன்.,4
தமிழ்ப்_பழமொழிகள்_1,தமிழ் மக்களுடைய எண்ணம் எவ்வாறு படர்ந்தது என்பதை இவை காட்டுகின்றன.,8
தமிழ்ப்_பழமொழிகள்_1,நாடோடி இலக்கியத்தைச் சார்ந்தவை பழமொழிகள்.,4
தமிழ்ப்_பழமொழிகள்_1,அறிவு தெரிந்த சிறுவர் முதல் முதுமை உடையவர்கள் வரை யாவரும் தாம் பேசும் பொழுது பழமொழிகளை ஆளுவார்கள்.,13
தமிழ்ப்_பழமொழிகள்_1,அவரவர்களுடைய அனுபவத்துக்கு ஏற்ற வகையில் அவை இருக்கும்.,6
தமிழ்ப்_பழமொழிகள்_1,"உபநிடதம், இலக்கிய இலக்கணங்கள் ஆகியவற்றைப் பற்றிய பழமொழிகளும் உண்டு.",7
தமிழ்ப்_பழமொழிகள்_1,"விலங்கினங்கள், பறவைகள், நீர்வாழ் பிராணிகள், ஊர்வன, புழுபூச்சிகள் முதலியவற்றைப் பற்றிய பழமொழிகள் பல.",10
தமிழ்ப்_பழமொழிகள்_1,இவற்றை ஆராய்ந்து கட்டுரைகளை எழுதலாம்.,4
