work_title,sentence,sentence_length
தாவிப்_பாயும்_தங்கக்_குதிரை,தாவிப் பாயும் தங்கக் குதிரை பாவலர் நாரா.,6
தாவிப்_பாயும்_தங்கக்_குதிரை,தாவிப் பாயும் தங்கக் குதிரை என்ற இக் கதை அத்தகைய சிறந்த கதைகளிலே ஒன்று.,11
தாவிப்_பாயும்_தங்கக்_குதிரை,ஆங்கிலத்தில் உள்ள ஒரு கதையைத் தழுவி இதை எழுதியிருக்கிறார் திரு நாரா நாச்சியப்பன்.,10
தாவிப்_பாயும்_தங்கக்_குதிரை,அவர் சிறுவர்களுக்காகத் தமிழில் சிறந்த பல நூல்கள் எழுதியிருக்கிறார்.,7
தாவிப்_பாயும்_தங்கக்_குதிரை,தமிழ்நாட்டில் சிறுவர் இலக்கிய வளர்ச்சிக்கு வழி வகுத்துக் கொண்டுவரும் பலருள் திரு நாரா.,10
தாவிப்_பாயும்_தங்கக்_குதிரை,அந்த இன்பவள நாட்டை அரசு புரிந்த மன்னன் ஒரு பெரிய வீரன்.,9
தாவிப்_பாயும்_தங்கக்_குதிரை,அவன் மனைவியோ சிறந்த அழகி.,4
தாவிப்_பாயும்_தங்கக்_குதிரை,அந்த அழகரசியின் பெயர் முகிலி.,4
தாவிப்_பாயும்_தங்கக்_குதிரை,"அழகிய கருங் கூந்தலும், செக்கச் சிவந்த உடலும் சேர்ந்தாற்போல் பார்க்கும்போது, மாலையில் கதிரவன் ஒளிபட்டுப் பளபளக்கும் மேகத்தைப் போலிருக்கும்.",14
தாவிப்_பாயும்_தங்கக்_குதிரை,முகிலி என்றால் மேகத்துக்கு உரியவள் என்று பொருள்படும்.,6
தாவிப்_பாயும்_தங்கக்_குதிரை,அரசி முகிலிக்கும் கார்மேகங்களுக்கும் எப்படியோ ஒரு தொடர்பு இருந்தது.,7
தாவிப்_பாயும்_தங்கக்_குதிரை,"கார் மேகங்கள் அடர்ந்து, மழை பொழியும் கார்காலத்தில் அரசி முகிலியைப் பார்த்தால் தளதளவென்று பூரித்து அழகாயிருப்பாள்.",12
தாவிப்_பாயும்_தங்கக்_குதிரை,அப்போது அரசி முகிலியைப் பார்த்தால் துயரமே வடிவெடுத்து வந்ததுபோல் இருக்கும்.,8
தாவிப்_பாயும்_தங்கக்_குதிரை,"துயரத்தை இனித் தாங்க முடியாது என்ற நிலைவரும்போது, அவள் தன் நாட்டை விட்டுப் போய் விடுவாள்.",12
தாவிப்_பாயும்_தங்கக்_குதிரை,மேகங்கள் கூடிக் கருத்து மழை கொட்டும் வேறு நாடுகள் நோக்கிப் போய் விடுவாள் என்று மக்கள் பேசிக் கொள்வார்கள்.,14
தாவிப்_பாயும்_தங்கக்_குதிரை,கார் காலத்தில் தான் அவள் திரும்பவும் தன் நாட்டுக்கு வருவாள்.,8
தாவிப்_பாயும்_தங்கக்_குதிரை,அவளுக்கு ஆணும் பெண்ணுமாக இரண்டு குழந்தைகள் இருந்தார்கள்.,6
தாவிப்_பாயும்_தங்கக்_குதிரை,அரசி முகிலியின் மகன் பெயர் வில்லழகன்.,5
தாவிப்_பாயும்_தங்கக்_குதிரை,இளவரசியின் பெயர் பொன்னழகி.,3
தாவிப்_பாயும்_தங்கக்_குதிரை,அவர்கள் இருவரும் தங்கள் தாய் அருகில் இருக்கும் போது இன்பமாக ஓடியாடி விளையாடுவார்கள்.,10
