work_title,sentence,sentence_length
தென்னைமரத்_தீவினிலே,தென்னைமரத் தீவினிலே கே. பி.,4
தென்னைமரத்_தீவினிலே,"நீலமணி அக்டோபர், அன்று விக்கிமூலத்தில் இருந்து பதிவிறக்கப்பட்டது தென்னை மரத் தீவினிலே கே. பி.",11
தென்னைமரத்_தீவினிலே,"நீலமணி சாரதி பதிப்பகம் முப்பத்தேழு, மந்தவெளி தெரு, சென்னை அறுநூறு  இருபத்தெட்டு.",9
தென்னைமரத்_தீவினிலே,"﻿நூல் அட்டவணை நூல் பெயர் தென்னைமரத் தீவினிலே பதிப்பு ஆண்டு முதல் பதிப்பு, டிசம்பர் ஆசிரியர் கே. பி.",14
தென்னைமரத்_தீவினிலே,"அவர்களின் மனோநிலை, வார்த்தைகள், கபடறியா சிந்தனை என்பனவற்றை உள்வாங்கி அவர்களின் அபிமானத்தைப் பெறுவதென்பது இலகுவில் ஆகக்கூடிய காரியமல்ல.",13
தென்னைமரத்_தீவினிலே,தமிழில் சிறுவர் இலக்கியம் வறுமை கொண்டது.,5
தென்னைமரத்_தீவினிலே,"குழந்தை இலக்கியம் நிறையவே உருவாக வேண்டும், பிறமொழிகளில் பேர்பெற்ற எழுத்தாளர்களெல்லாம் குழந்தைகளுக்கு எழுதுவதில் ஆர்வம் காட்டியவர்கள்.",12
தென்னைமரத்_தீவினிலே,இவ்வழியில் திரு கே.பி.,4
தென்னைமரத்_தீவினிலே,புல்லின் இதழ்கள் போன்ற பெரியவருக்கான நூலை எழுதிய இவர் சிந்தனையூட்டும் நல்ல நூல்களின் ஆசிரியர்.,11
தென்னைமரத்_தீவினிலே,குழந்தைகளுக்கும் நிறைய எழுதியிருப்பவர் இவர்.,4
தென்னைமரத்_தீவினிலே,"இவரது குழந்தை நூல்களுக்காக, தங்கம், வெள்ளி பதக்கங்களையும், தமிழக அரசின் பரிசு, இலக்கியச் சிந்தனை பரிசு ஆகியவற்றையும் பெற்றவர்.",14
தென்னைமரத்_தீவினிலே,"இவரது இந்த நாவல், தினமலர் சிறுவர் மலரில் வெளியாகி எண்ணற்ற குழந்தைகளை மகிழ்வித்துள்ளது.",10
தென்னைமரத்_தீவினிலே,"விறுவிறுப்பான இந்த சிறுவர் நாவல், இவர்க்கெல்லாம் நல்ல விருந்து.",7
தென்னைமரத்_தீவினிலே,சிறுவர்கள் குதூகலத்தோடு இதைப்படித்து மகிழ்வார்கள்.,4
தென்னைமரத்_தீவினிலே,ஆசிரியரை இதயபூர்வமாக வாழ்த்துகிறேன்.,3
தென்னைமரத்_தீவினிலே,யோகநாதன் ﻿பொருளடக்கம் ஒன்று.,3
தென்னைமரத்_தீவினிலே,தங்கமணியின் தங்க மனசு முப்பத்தைந்து ஆறு.,5
தென்னைமரத்_தீவினிலே,ஆகாசக் கடையா அதிசயக் கடையா ஐம்பது எட்டு.,6
தென்னைமரத்_தீவினிலே,சிவப்பு ஆற்றில் வள்ளி மலர் ஐம்பத்தொன்பது ஒன்பது.,6
தென்னைமரத்_தீவினிலே,ஒரு மலர் உறங்குகிறது எழுபத்து மூன்று பதினொன்று .,6
தென்னைமரத்_தீவினிலே,தாமரைக் குளத்தில் தங்கமணி எண்பத்தெட்டு பதிமூன்று .,5
தென்னைமரத்_தீவினிலே,ஒரு புதிய லட்சாதிபதி உருவாகிறான் தொன்னூற்றேழு பதினான்கு .,6
தென்னைமரத்_தீவினிலே,உயிர் காத்த உத்தமன் நூற்றி ஐந்து பதினைந்து .,6
தென்னைமரத்_தீவினிலே,"வள்ளியம்மை வந்தடைந்தாள் தென்னைமரத் தீவினிலே... உல்லாசப் பயணம் பாபுவுக்கும், ராதாவுக்கும் ஏகக் குஷி.",10
தென்னைமரத்_தீவினிலே,இலங்கைக்கு தங்களையும் அழைத்துச்செல்ல தந்தை சம்மதித்ததே அந்த மகிழ்ச்சிக்குக் காரணம்.,8
தென்னைமரத்_தீவினிலே,பாபுவின் தந்தை பரமகுரு சென்னையில் ஒரு தொழிலதிபர்.,6
தென்னைமரத்_தீவினிலே,இலங்கையில் நடைபெறும சர்வதேச வர்த்தக மாநாட்டில் கலந்துகொள்ள கம்பெனி விஷயமாக அவர் மட்டுமே முதலில் செல்வதாக இருந்தது.,13
தென்னைமரத்_தீவினிலே,"ஜூலை மாத மத்தியில் பயண டிக்கெட் வாங்கும் நேரத்தில் பரமகுருவின் தாயார் லட்சுமி, தானும் இலங்கை வருவதாகக் கூறினாள்.",14
தென்னைமரத்_தீவினிலே,தன் தாயாரை அழைத்துச் செல்வதென்றால் அம்மாவுக்கு உதவியாக தன் மனைவியும் வர வேண்டும்.,10
தென்னைமரத்_தீவினிலே,"எனவே, குழந்தைகளையும் கூட்டிக் கொண்டு, குடும்பத்தோடு போய் வரலாமே என எண்ணினார்.",9
