work_title,sentence,sentence_length
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,﻿நடிகவேள் எம்.ஆர்.,3
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,இராதாவைப் பேட்டி கண்டு அமரர்.,4
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,"விந்தனால் தொடராக எழுதப்பட்ட இந்நூல், தற்போது உங்கள் கைகளில் தவழ்கிறது.",8
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,"இந்நூலின் சிறப்பம்சம் கலையுலக விற்பன்னரும், இலக்கிய விற்பன்னரும் இணைந்து தமிழ் மக்களுக்கு இதை வழங்கியிருப்பது.",11
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,இச்சுயசரிதத்தை அமைத்திருக்கும் விதம் வாசகர்களைச் சட்டெனக் கவரும் என நம்புகிறோம்.,8
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,இந்நூலைப் படிப்பவருக்கு நடிகவேள்.,3
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,"இராதா, தன் சுயசரிதத்தைத் தானே சொல்லக் கேட்பது போன்ற அனுபவம் ஏற்படும்.",9
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,படித்து முடித்த பின்னரும் அவரது குரல் வெகுநேரம் நம் காதுகளில் ஒலிப்பது போன்ற பிரமை ஏற்படும்.,12
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,பதிப்பகத்தார் உள்ளடக்கம் எம்.ஆர்.,4
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,ஒவ்வோர் கலைஞர்கள் இரண்டு.,3
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,கடவுள் கொடுத்த காசு மூன்று.,4
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,வந்தது பிளைமவுத் கார் நான்கு.,4
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,என்.எஸ்.கிருஷ்ணனின் சபதம்,4
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,காந்தியார் மேல் வந்த கோபம் ஆறு.,5
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,நாடக மேடையில் ஜேம்ஸ்பாண்ட் எட்டு.,4
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,மாரீசன் குரல் பத்து.,3
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,வஸ்தாதுக்குப் பெண் பார்த்த வஸ்தாது பதினொன்று .,5
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,ஐ வாண்ட் அநதர் ஒன் ! பதிமூன்று .,5
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,பொள்ளாச்சி ஞானம் பதினான்கு .,3
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,இழந்த காத லில் சிவாஜி பதினைந்து .,5
