work_title,sentence,sentence_length
நமக்கு_நாமே_உதவி,நமக்கு நாமே உதவி டாக்டர்.,4
நமக்கு_நாமே_உதவி,﻿நமக்கு நாமே உதவி தேசிய விருது பெற்ற பேராசிரியர் பல்கலைப் பேரறிஞர் டாக்டர்.,10
நமக்கு_நாமே_உதவி,"நகர், சென்னை அறுநூறு  பதினேழு .",4
நமக்கு_நாமே_உதவி,"தொலைப்பேசி எட்டு மில்லியன் இருநூற்று ஐம்பத்திரண்டு ஆயிரத்து இருநூற்று எழுபத்தொன்று ﻿பதிப்புரை பல்கலைப் பேரறிஞர், டாக்டர்.",12
நமக்கு_நாமே_உதவி,நவராஜ் செல்லையா அவர்கள் கடந்த நாற்பது ஆண்டுகாலமாக விளையாட்டுத்துறை தமிழ் இலக்கியத்திற்காக வாழ்ந்தவர்.,10
நமக்கு_நாமே_உதவி,"சென்னைப் பல்கலைக் கழகம், அண்ணாமலைப் பல்கலைக்கழகம் போன்றவை நடத்திய ஓடுகளப் போட்டிகளில் வெற்றி வீரராகத் திகழ்ந்திருக்கிறார்.",12
நமக்கு_நாமே_உதவி,"இதற்காக, தான் வகித்து வந்த எல்லாப் பதவிகளையும் விட்டு விட்டு, முழுநேர எழுத்தாளராக வாழ்ந்தார்.",11
நமக்கு_நாமே_உதவி,"முதன் முதலாக சென்னைத் தொலைக்காட்சி நிகழ்ச்சிகளில் உடல் நலத்தின் மேன்மையை, கடந்த முப்பது ஆண்டுகளாக உலகுக்கு உணர்த்தி வந்தார்.",14
நமக்கு_நாமே_உதவி,முதன் முதலாக அகில இந்திய வானொலி நிகழ்ச்சிகளிலும் கடந்த முப்பது ஆண்டுகளாக தேகநலத்தின் தேவைகளை தெளிவுபடுத்தி வந்தார்.,13
நமக்கு_நாமே_உதவி,"விளையாட்டுத் துறைபற்றிய கருத்துக்களை கடந்த முப்பது ஆண்டுகளாக, நாளிதழ், வாரஇதழ், மாத இதழ்களில், கட்டுரை, கவிதைகளாக வெளியிட்டுள்ளார்.",13
நமக்கு_நாமே_உதவி,வரலாற்றுச் சிறப்புமிக்க வாழ்க்கை வாழ்ந்த ஒரு சாதனையாளரின் நமக்கு நாமே உதவி என்ற நூலினை நாங்கள் வெளியிடுவதில் மகிழ்கிறோம்.,14
நமக்கு_நாமே_உதவி,பதிப்பகத்தார் ﻿முன்னுரை நமக்கு நாமே துணை இந்த நினைவுதான் நமது வாழ்க்கைப் பயணத்திற்கு நிம்மதி தரும் பெருந்துணை.,13
நமக்கு_நாமே_உதவி,மற்றவர்கள் உதவுவார்கள் என்று நம்பலாம்.,4
நமக்கு_நாமே_உதவி,அந்த நம்பிக்கையுடனேயே நின்று விடுவது தான் பெருங் கொடுமையாகப் போய் விடுகிறது.,9
நமக்கு_நாமே_உதவி,நமது உயர்வுக்கு நாம் உழைப்பதன் மூலம்தான் உதவிக் கொள்ள வேண்டும்.,8
நமக்கு_நாமே_உதவி,நம் வயிற்றுப் பசிக்கு நாம் சாப்பிடுவதுபோல.,5
நமக்கு_நாமே_உதவி,பிறர் சாப்பிட்டால் நம் பசி தீராது.,5
நமக்கு_நாமே_உதவி,"அதுபோலத்தான், பிறர் உழைப்பும் நமது வாழ்வுக்கும், வளர்ச்சிக்கும் பயன் கொடுக்காது.",8
நமக்கு_நாமே_உதவி,பிறரை நம்பி எந்தக் காரியத்தையும் ஆரம்பிக்கும் சிலர்.,6
நமக்கு_நாமே_உதவி,ஆரம்பத்திலேயே அழிந்துபோன கதை ஆயிரம் உண்டு.,5
நமக்கு_நாமே_உதவி,"பாதிதூரம் சென்று, பொருளையும் புகழையும் பறி கொடுத்துவிட்டு, பரிதவித்து நின்றவர்கள் அநேகம் பேர்கள்.",10
நமக்கு_நாமே_உதவி,"எனவே, எந்தக்காரியத்தைத் தொடங்குவதற்கு முன்னும் பலமுறை சொந்த சிந்தனைக்கு இடம் கொடுத்து, ஆராய்ந்திட வேண்டும்.",11
நமக்கு_நாமே_உதவி,அனுபவப் பட்டவர்களிடம் அறிவுரை கேட்கலாம்.,4
நமக்கு_நாமே_உதவி,அவற்றைப் பின்பற்றித்தான் ஆகவேண்டும் என்ற அவசியமில்லை.,5
நமக்கு_நாமே_உதவி,"எப்பொருள் யார் யார் வாய் கேட்பினும் அப்பொருள் சிறப்பினைத் தெரிந்து கொண்டு, சீர்துக்கிப் பார்த்து செயல்படுபவர் தான் செம்மையானவர்களாகிறார்கள்.",14
நமக்கு_நாமே_உதவி,"பிறரைப் பார்த்து, பிறர் அனுபவங்களை அறிந்து, உங்கள் திறமைகளை மதிப்பிட்டு, அதன்பின் நெறிமுறைகளை உருவாக்கி செயல்படுங்கள்.",12
நமக்கு_நாமே_உதவி,அந்த முறைதான் உங்களுக்கு உதவும்.,4
நமக்கு_நாமே_உதவி,"நான் என் வாழ்க்கையில் பட்ட பாடுகள், அடைந்த அனுபவங்கள்.",7
நமக்கு_நாமே_உதவி,"ஆட்பட்ட அல்லல்கள், பிறர் உதவியை நம்பி ஏமாந்த பேரிடர்கள்.",7
நமக்கு_நாமே_உதவி,அவற்றால் தெரிந்து கொண்ட உண்மைகள்தான் இதில் அதிகமாக இடம் பெற்றிருக்கின்றன.,8
நமக்கு_நாமே_உதவி,வாழ்க்கையில் தனித்தன்மையுடன் உயர்ந்திட வேண்டும் என்று விரும்புகிறவர்களுக்கு வழிகாட்டவே இந்த நூல் எழுதப் பெற்றிருக்கிறது.,11
நமக்கு_நாமே_உதவி,நீங்கள் படித்துப் பயன்பெற விரும்புகிறேன்.,4
நமக்கு_நாமே_உதவி,அழகுற அச்சிட உதவிய ஆர்.,4
நமக்கு_நாமே_உதவி,"ஆடம் சாக்ரட்டீஸ் அவர்களுக்கும், அச்சிட்டு உதவிய அச்சகத்தாருக்கும் எனது இனிய வாழ்த்துக்கள்.",9
