work_title,sentence,sentence_length
நல்ல_மனைவியை_அடைவது_எப்படி,நல்ல மனைவியை ⁠அடைவது எப்படி﻿ வல்லிக்கண்ணன் எழுதியது விலை மூன்று அணா.,9
நல்ல_மனைவியை_அடைவது_எப்படி,"சூரி, பதினான்கு  ஐந்து, குப்பையர் தெரு, சென்னை ஒன்று.",7
நல்ல_மனைவியை_அடைவது_எப்படி,﻿நல்ல மனைவியை அடைவது எப்படி?,4
நல்ல_மனைவியை_அடைவது_எப்படி,மனைவி தாமரை போல.,3
நல்ல_மனைவியை_அடைவது_எப்படி,"கண்ணிர் கூடினால், தாமரையும் கூடவே ஓங்கி மேல்பரப்பில் வந்து திகழ்கிறது.",8
நல்ல_மனைவியை_அடைவது_எப்படி,உவமை அழகாகக் தான் இருக்கிறது.,4
நல்ல_மனைவியை_அடைவது_எப்படி,வாழ்வின் உண்மை எல்லோருக்கும் இதேமாதிரித்தான் விளங்குகிறதா?,5
நல்ல_மனைவியை_அடைவது_எப்படி,கல்யாணம் செய்து கொண்டவர்களில் பலர் ஏன் நாம் இந்தக் கல்யாணத்தைச் செய்து கொண்டோம் என்று வருந்துவது பலருமறிந்ததே.,13
நல்ல_மனைவியை_அடைவது_எப்படி,"அவர்களின் மனக்கசப்பு மனைவி, குழந்தைகள் மீது வெறுப்பாக மாறுகிறது.",7
நல்ல_மனைவியை_அடைவது_எப்படி,அதனால் ஒழிஞ்சு போ நாசமாகு தொலை என்று ஏச்சுமாரிகளும் உதைகளும் குடும்ப வாழ்விலே சர்வசாதாரண நிகழ்ச்சிகளாகின்றன.,12
நல்ல_மனைவியை_அடைவது_எப்படி,ஒத்த குணமுடைய ஆணும்பெண்ணும் இணக்கப்படுவதில்லை கல்யாணத்தின் மூலம்.,6
நல்ல_மனைவியை_அடைவது_எப்படி,இன்றையக் கல்யாணம் கோளாறான சடங்காகவே விளிர்கிறது.,5
நல்ல_மனைவியை_அடைவது_எப்படி,நம் நாட்டில் கல்யாணம் எப்படி முடிவு செய்பப்படுகிறது என்பது எல்லோரும் அறிந்ததே.,9
நல்ல_மனைவியை_அடைவது_எப்படி,இன்று கல்யாணமும் பிஸினஸ் ரீதியில் தான் நடத்தப்படுகிறது.,6
நல்ல_மனைவியை_அடைவது_எப்படி,"இந்த வியாபாரத்திலே, பெண் மட்டமான சந்தைச்சரக்கு மாப்பிள்ளே கொஞ்சம் முறுக்கான சரக்கு.",9
