work_title,sentence,sentence_length
நாலடியார்_-_செய்யுளும்_செய்திகளும்,நாலடியார் செய்யுளும் செய்திகளும் பேரா.,4
நாலடியார்_-_செய்யுளும்_செய்திகளும்,"சீனிவாசன் பொருள் ⁠ இலக்கியம் பதிப்பகம் ⁠ அணியகம் ஐந்து, செல்லம்மாள் தெரு, செனாய் நகர், சென்னை முப்பது.",14
நாலடியார்_-_செய்யுளும்_செய்திகளும்,அதற்கு எடுத்துக்காட்டாக விளங்குகிறது இந் நாலடியார்.,5
நாலடியார்_-_செய்யுளும்_செய்திகளும்,நான்கு அடிகள் கொண்ட பாவால் அமைந்தது என்பதால் இப்பெயர் பெற்றது இந்நூல்.,9
நாலடியார்_-_செய்யுளும்_செய்திகளும்,ஈதல் இசைபட வாழ்தல் இதுவே வாழ்க்கையின் குறிக்கோள் என்று கண்டவர் தமிழர்கள்.,9
நாலடியார்_-_செய்யுளும்_செய்திகளும்,அருள் உள்ளம் பெறுவதற்குத் துறவு மனநிலை அடிப்படை என்று வற்புறுத்துகிறது.,8
நாலடியார்_-_செய்யுளும்_செய்திகளும்,பந்த பாசங்களினின்று விடுபட்டுப் பற்றற்ற நிலை அமைந்தால்தான் மனம் மாசு நீங்கி வாழமுடியும் என்பதையும் அறிவுறுத்துகிறது.,12
நாலடியார்_-_செய்யுளும்_செய்திகளும்,பசிதீர்த்தல் இதுவே செய்யத்தக்கது என்று அறிவுறுத்துகிறது.,5
நாலடியார்_-_செய்யுளும்_செய்திகளும்,தனி உடைமை இதை ஒட்டித்தான் சமுதாயம் இயங்குகிறது.,6
நாலடியார்_-_செய்யுளும்_செய்திகளும்,﻿அதனைத் தகர்த்து எறிகிறது இந்நூல்.,4
நாலடியார்_-_செய்யுளும்_செய்திகளும்,சம உடைமைக் கோட்பாட்டிற்கு இழுத்துச் செல்கிறது.,5
நாலடியார்_-_செய்யுளும்_செய்திகளும்,அறம் என்பதே வறியவருக்கு வாழ்வு அளிப்பது என்பதை வற்புறுத்துகிறது.,7
நாலடியார்_-_செய்யுளும்_செய்திகளும்,தனிமனிதன் வாழ்க்கை செம்மை பெறவேண்டும் அவன் செல்வம் சமுதாயத்துக்குப் பயன்பட வேண்டும் என்று அறிவுறுத்துகிறது.,11
நாலடியார்_-_செய்யுளும்_செய்திகளும்,எந்தச் சமயப் பின்னணியும் இல்லாமல் மானிட நல்வாழ்வுக்கு வழி கூறும் நூல் இது.,10
