work_title,sentence,sentence_length
பாட்டுப்_பாடுவோம்,பாட்டுப் பாடுவோம் குழந்தைக் கவிஞர் அழ.,5
பாட்டுப்_பாடுவோம்,பாம்பாம் பாம்பாம் வண்டி வருகுது பாய்ந்துவேக மாகமோட்டார் வண்டி வருகுது.,8
பாட்டுப்_பாடுவோம்,குப்குப் குப்குப் வண்டி வருகுது கும்பகோண மிருந்துரயில் வண்டி வருகுது ﻿நாய்க்குட்டி தோ.,10
பாட்டுப்_பாடுவோம்,துள்ளி வாவா நாய்க்குட்டி.,3
பாட்டுப்_பாடுவோம்,உன்னைத் தானே நாய்க்குட்டி.,3
பாட்டுப்_பாடுவோம்,ஒடி வாவா நாய்க்குட்டி.,3
பாட்டுப்_பாடுவோம்,கோபம் ஏனோ நாய்க்குட்டி?,3
பாட்டுப்_பாடுவோம்,குதித்து வாவா நாய்க்குட்டி கழுத்தில் மணியைக் கட்டுவேன் கறியும் சோறும் போடுவேன்.,9
பாட்டுப்_பாடுவோம்,இரவில் இங்கே தங்கிடு.,3
பாட்டுப்_பாடுவோம்,எங்கள் வீட்டைக் காத்திடு !,3
பாட்டுப்_பாடுவோம்,"துட்டுத் தந்தால் லட்டு ﻿வெங்கு, வெங்கு, வெங்கு வெங்கு ஊதினான் சங்கு.",9
பாட்டுப்_பாடுவோம்,"நுங்கு, நுங்கு, நுங்கு நுங்கில் எனக்குப் பங்கு.",6
பாட்டுப்_பாடுவோம்,"வள்ளி, வள்ளி, வள்ளி வள்ளி கொலுசு வெள்ளி.",6
பாட்டுப்_பாடுவோம்,"பள்ளி, பள்ளி, பள்ளி பள்ளி செல்வோம் துள்ளி.",6
பாட்டுப்_பாடுவோம்,"பட்டு, பட்டு, பட்டு பட்டு வாயில் பிட்டு.",6
பாட்டுப்_பாடுவோம்,"துட்டு, துட்டு, துட்டு துட்டுத் தந்தால் லட்டு.",6
பாட்டுப்_பாடுவோம்,﻿எங்களுடைய அப்பா எங்களுடைய அப்பா அவர் என்றும் அணிவார் ஜிப்பா.,8
பாட்டுப்_பாடுவோம்,எங்க்ளுடைய அம்மா அவள் எதுவும் தருவாள் சும்மா.,6
பாட்டுப்_பாடுவோம்,எங்களுடைய தங்கை அவள் இனிய பெயரே மங்கை எங்களுடைய தம்பி அவன் என்றும் தங்கக் கம்பி.,12
பாட்டுப்_பாடுவோம்,எங்களுடைய பாட்டி அவள் எவர்க்கும் தருவாள் பேட்டி !,6
பாட்டுப்_பாடுவோம்,"﻿ நத்தையம்மா நத்தை யம்மா, நத்தை யம்மா, ⁠எங்கே போகிறாய்?",8
