work_title,sentence,sentence_length
பூவும்_கனியும்,பூவும் கனியும் டாக்டர் நெ.,4
பூவும்_கனியும்,பதிப்புரை ﻿கல்வித் துறையின் எல்லா நிலை களையும் தரங்களையும்பற்றி எண்ணிப் பார்த்துப் பேசிய பேச்சுக்கள் இங்கே வரிவடிவம் பெற்றுள்ளன.,14
பூவும்_கனியும்,"பூத்து, காய்த்து, கனியாக வாய்ப்புக் கொடுத்தால் நம் நாட்டுச் செல்வம் செழிக்கும் சிறக்கும்.",10
பூவும்_கனியும்,இந்தத் துறையில் நாங்களும் ஒரு பணிசெய்ய உதவிய மாநிலக் கல்வி நெறியாளர் அவர்களுக்கு நன்றி செலுத்துகிறேன்.,12
பூவும்_கனியும்,தாமோதரன் முன்னுரை மேடைப் பேச்சு என் அலுவலின் ஒரு பகுதியாகிவிட்டது.,8
பூவும்_கனியும்,அங்கும் இங்கும் சில அன்பர்கள் அப் பேச்சுக்களில் சிலவற்றை ஒலிப்பதிவு செய்து காப்பாற்றி வைத்துள்ளனர்.,11
பூவும்_கனியும்,அவர்களுக்கு என் நன்றி.,3
பூவும்_கனியும்,"அவற்றை நேரில் கேட்க முடியாதவர்கள், படிப்பது பயனுடைய தாகும் என்று நண்பர்கள் கருதினார்கள்.",10
பூவும்_கனியும்,என்னை நானே எப்படி எடைபோட முடியும்?,5
பூவும்_கனியும்,"ஆகவே, நண்பர்களின் தீர்ப்புக்குக் கட்டுப் பட்டு, அவற்றில் சிலவற்றைப் பூவும் கனியும் என்ற நூலாக வெளியிட இசைந்தேன்.",13
பூவும்_கனியும்,"என்ற நூலை ஆதரித்து ஊக்கியதைப்போல் இதையும் ஏற்று, மேலும் ஊக்குவிக்க வேண்டிக்கொள்ளுகிறேன்.",9
பூவும்_கனியும்,இந் நூலை வெளியிட அனுமதித்த சென்னை அரசியலாருக்கு என் நன்றி உரியதாகும்.,9
பூவும்_கனியும்,"ஒல்லும் வகையெல்லாம் தமிழ்த் தொண்டாற்றும் கலைக்கதிர் ஆசிரியர், நல்லார் நண்பர், திரு.",9
பூவும்_கனியும்,தாமோதரன் அவர்கள் இந்நூலை வெளியிட முன் வந்தமைக்கு நன்றியுடையேன்.,7
பூவும்_கனியும்,﻿ இந் நூலில் வரும் கருத்துக்களும் கொள்கைகளும் என் சொந்தக் கருத்துக்களும் கொள்கைகளுமே.,10
பூவும்_கனியும்,"ஆகவே, அவற்றிலுள்ள குற்றங்களுக்கு நானே பொறுப்பு.",5
பூவும்_கனியும்,"அரசியலாரை அவை எவ்விதத்திலும் சம்பந்தப்படுத்தா குற்றத்தை நீக்கி, குணமிருப்பின் அதை மட்டும் கொள்ளும்படி கோருகிறேன்.",11
பூவும்_கனியும்,இவ்விரண்டாம் பதிப்பை வெளியிடும் கலைக்கதிருக்கும் என் நன்றி.,6
பூவும்_கனியும்,"இப் பதிப்பையும் விரைந்து பெற்று, பூக்கள் பல கனியாகுமாறு துணைபுரியும்படி தமிழ்ப் பெருமக்களைக் கோருகிறேன்.",11
பூவும்_கனியும்,இன்று நீங்கள் எல்லோரும் வெற்றி கண்டு விட்டீர்கள்.,6
பூவும்_கனியும்,நீங்கள் எல்லோரும் உற்சாகமான வரவேற்புக் கொடுத்ததீர்கள்.,5
பூவும்_கனியும்,அது வெறும் சொல் வரவேற்பன்று.,4
பூவும்_கனியும்,அத்தனை மாலைகளை யும் ஒரே சமயத்திலே நான் தூக்கியிருந்தால் தூக்க முடியாமல் மயங்கியிருப்பேன்.,10
பூவும்_கனியும்,ஆனல் நல்ல வேளையாகப் பல தோழர்கள் உடன் இருந்து கைகொடுத்தார்கள்.,8
பூவும்_கனியும்,ஒரு இலட்சம் இரண்டு இலட்சம் குழந்தைகளையல்ல.,5
பூவும்_கனியும்,சென்னை இராச்சியத்தில் உள்ள அறுபத்து மூன்று இலட்சம் குழந்தைகளையும் பள்ளிக்கூடத்திற்குக் கொண்டுவர வேண்டும்.,10
பூவும்_கனியும்,நல்ல படிப்புச் சொல்லிக் கொடுக்க வேண்டும்.,5
பூவும்_கனியும்,அதுதான் என் வேலை.,3
பூவும்_கனியும்,பெரிய வேலை தானே !,3
பூவும்_கனியும்,இதனை ஒருவனால் செய்ய முடியுமா?,4
பூவும்_கனியும்,முடியாது இன்றைக்குப் பல தோழர்கள் என் மலர்ச் சுமையைப பங்கிட்டுக் கொண்டார்கள்.,9
பூவும்_கனியும்,"இதைப்போல நீங்கள் எல்லோரும் ஒன்றுபட்டு, ஒத்துழைத்து, என் வேலையின் பளுவையும் பங்கிட்டு வாங்கிக்கொண்டால்தான் என் வேலை செம்மையாக முடியும்.",14
பூவும்_கனியும்,இன்று குழந்தைகள் நாளை ஆளப் பிறந்தவர்கள் ஏன் இந்த வேலை செம்மையாக முடிய வேண்டும்?,11
பூவும்_கனியும்,"அதனை ஒழுங்கானபடி கொடுத்தால், உற்சாகத்தோடு கொடுத்தால், துணிவு குறையாதபடி கொடுத்தால் அவர்கள் நல்லவர்கள் ஆவார்கள்.",11
பூவும்_கனியும்,பல்லுயிர் ஒம்புதல் நீங்கள் இன்று அளவு கடந்த வரவேற்புக் கொடுத்தீர்கள்.,8
பூவும்_கனியும்,இவ்வளவு பணம் செலவு செய்து இத்தனை மாலை வாங்கி யிருக்கிறீர்களே என்று நினைத்தேன்.,10
பூவும்_கனியும்,செலவு செய்வது என்றால் எனக்கு விருப்பமிருப்பதில்லை.,5
பூவும்_கனியும்,நான் கருமி அல்லன்.,3
பூவும்_கனியும்,ஆனால் தனி மனிதனுக்கு அதிகம் செலவு செய்யக்கூடாது என்பது என் கொள்கை.,9
பூவும்_கனியும்,ஆகவே எனக்காகச் செலவு பண்ணினதில் எனக்கு வருத்தம் இருந்தது.,7
