work_title,sentence,sentence_length
மழலை_அமுதம்,﻿ குருகுலம் வெளியீட்டு எண் பதினெட்டு  நூலின் பெயர் மழலை அமுதம் ஆசிரியர் திரு.,11
மழலை_அமுதம்,"தூரன் பொருள் குழந்தைகளுக்கான பாடல்கள் வெளியிட்டோர் கஸ்தூர்பா காந்தி கன்யா குருகுலம் வெளியீட்டுப்பகுதி அச்சிட்டோர் குருகுலம் பிரிண்டர்ஸ், வேதாரண்யம்.",14
மழலை_அமுதம்,பதிப்பு முதற்பதிப்பு ஓர் ஆயிரத்து தொள்ளாயிரத்து எண்பத்தொன்று டிசம்பர் பிரதிகள் ஓர் ஆயிரம் விலை ரு.,12
மழலை_அமுதம்,தினம் இரவு உணவுக்குப் பின் வரும் நேரத்தை ஆவலுடன் சகமாணவர்களுடன் எதிர்பார்த் திருப்போம்.,10
மழலை_அமுதம்,சிறுவர் களாகிய எங்கள் உள்ளத்தில் அது நன்கு பதிந்து மெய் மறக்கச் செய்யும்.,10
மழலை_அமுதம்,பெரியசாமித் தூரன் அவரைத் தமிழகம் நன்கு அறியும்.,6
மழலை_அமுதம்,"தமிழில் கலைக்களஞ்சியம் உருவாவதற்கு முக்கிய பொறுப்பாளரில் ஒருவர், அதன் தலைமை ஆசிரியர் திரு.",10
மழலை_அமுதம்,மழலைச் செல்வர்கள் பெரும்பயன் அடைவார்கள் என நம்புகிறேன்.,6
மழலை_அமுதம்,"அப்பாக்குட்டி, பதினெட்டு  பனிரண்டு  எண்பத்தொன்று நிர்வாக அறங்காவலர்.",6
மழலை_அமுதம்,குள்ளக் குள்ளக் கணபதியாம் குண்டு வயிற்றுக் கணபதியாம் வெள்ளிக் கொம்புக் கணபதியாம் விநாயகர் பாதம் போற்றிடுவோம்.,12
மழலை_அமுதம்,குள்ளக் குள்ளனை குண்டு வயிறனை அஞ்சு கரத்தனை ஆனை முகத்தனை நெஞ்சில் நினைக்க நலமுண்டாகுமே.,11
மழலை_அமுதம்,﻿ குழந்தை — நிலக் கடல் ஒரத்திலே நிமிர்ந்து பார்த்த்து யாரோ?,9
மழலை_அமுதம்,தங்கம் போல நல்லவர் சத்தியம் கடவுள் என்பவர் எங்கள் காந்தி தாத்தா இந்தியாவின் தந்தையாம்.,11
மழலை_அமுதம்,எங்கள் நாட்டின் விடுதலை எமக்கு வாங்கித் தந்தவர் அன்பு வழியில் சென்றவர் அஹிம்சை போற்றி நின்றவர்.,12
மழலை_அமுதம்,இந்திய நாட்டின் தந்தையாய் என்றும் போற்றும் காந்தியாம் எங்கள் காந்தி தாத்தா எல்லோருக்கும் நல்லவர்.,11
மழலை_அமுதம்,கண்ணன் எங்கள் கண்ணனாம் கடல் நீல வண்ணனாம் வெண்ணெய் உண்ணும் கண்ணனாம் வேணு கானக் கண்ணனாம் இரண்டு.,13
மழலை_அமுதம்,கன்றை மேய்த்து வந்தவன் காளிய நடனம் புரிந்தவன் குன்றை ஏந்திக் காத்தவன் கோகுல மைந்தன் கண்ணனாம்.,12
மழலை_அமுதம்,நல்லவன் அருள் சுரந்தே காப்பவன் துன்பம் போக்க வல்லவன் தொழுது போற்றி வணங்குவோம்.,10
மழலை_அமுதம்,சத்தமில்லாமல் ஒருநாள் தோன்றும் சத்தமிலாமல் அது மறைந்திடுமே எத்தனை வருந்தி அழைத்தாலும் இதுநாள் மீண்டும் வருமோ சொல்?,13
மழலை_அமுதம்,அணிற்பிள்ளை ﻿கொறித்துக் கொறித்துத் தின்னுமாம் குதித்துக் குதித்து ஆடுமாம் பறித்துப் பறித்துப் பழங்களை பாங்காய் உண்ணும் அழகைப் பார் !,14
மழலை_அமுதம்,சின்ன மோட்டாரும் பெரிய மோட்டாரும் தாய் பெரிய மோட்டார் சந்தைக்குப் போகுது பெரிய மோட்டார் வேணுமா?,12
மழலை_அமுதம்,சின்ன மோட்டார் சந்தைக்குப் போகுது சின்ன மோட்டார் வேணுமா?,7
