work_title,sentence,sentence_length
மாய_வினோதப்_பரதேசி-1,"ராமகிருஷ்ண மடம் சாலை, மயிலாப்பூர், சென்னை அறுநூறு  நான்கு.",7
மாய_வினோதப்_பரதேசி-1,உள்ளடக்கம் பதிப்புரை வடுவூர் கே.,4
மாய_வினோதப்_பரதேசி-1,இவருடைய எழுத்துக்களில் சிரிப்புக்குப் பஞ்சமிருக்காது.,4
மாய_வினோதப்_பரதேசி-1,"கதைகளில் நிலவும் கடின மான சூழ்நிலையையும், படு சாதாரணமாகக் கையாண்டிருப்பார்.",8
மாய_வினோதப்_பரதேசி-1,"சிக்கலையும் உருவாக்கி, அந்த சிக்கலிலிருந்து விடுபடும் வழியையும் சொல்வார்.",7
மாய_வினோதப்_பரதேசி-1,"வடுவூர் துரைசாமி ஐயங்கார் எழுதிய நாவல்களைப் படித்தால், பொழுது போவது மட்டுமன்றி, பல விஷயங்களைத் தெரிந்து கொள்ளலாம்.",13
மாய_வினோதப்_பரதேசி-1,தமிழில் நெடுங்கதை அல்லது நாவல் தோன்றிய ஆரம்ப கால கட்டத்தில் வடுவூர் துரைசாமி ஐயங்கார் இந்த நாவல்களை எழுதியுள்ளார்.,14
மாய_வினோதப்_பரதேசி-1,அந்த காலகட்டத்தில் இவருடைய நாவல்களைப் படிக்காதவர் எவரும் இருந்திருக்க முடியாது.,8
மாய_வினோதப்_பரதேசி-1,மிகவும் பிரபலமாகப் பேசப்பட்ட திகம்பர சாமியார் இவருடைய பாத்திரப் படைப்பு.,8
மாய_வினோதப்_பரதேசி-1,திகம்பர சாமியாரின் அறிவு அளவிட முடியாதது.,5
மாய_வினோதப்_பரதேசி-1,"தன்னுடைய ஒவ்வொரு பேச்சு வார்த்தையிலும், செயலிலும் பல்லாயிரக்கணக்கான அர்த்தங்களை யூகிக்க வைப்பார்.",9
மாய_வினோதப்_பரதேசி-1,"இவருடைய ஒவ்வொரு நாவலும், ஒன்றை ஒன்று மிஞ்சி நிற்கிறது.",7
மாய_வினோதப்_பரதேசி-1,இவ்வளவு வருடங்கள் ஆகிவிட்டதே !,3
மாய_வினோதப்_பரதேசி-1,என்று வாசகர்கள் துளிகூட எண்ண வேண்டாம்.,5
மாய_வினோதப்_பரதேசி-1,இதை நாங்கள் வியாபார நோக்கில் சொல்லவில்லை.,5
மாய_வினோதப்_பரதேசி-1,உண்மையில் இந்த நாவல்களை எல்லாம் நாங்கள் படித்துப் பார்த்த பிறகுதான் வெளியிடுகிறோம்.,9
மாய_வினோதப்_பரதேசி-1,"நேரம் போவதே தெரியாமல் சரளமான தமிழ் நடையில், கதை போகும் போக்கே மிக மிக நன் றாக உள்ளது.",14
