work_title,sentence,sentence_length
bbc tamil,இலங்கையில் எதிர்பாராத அளவுக்கு உயர்ந்த காற்று மாசு,8
bbc tamil,"ராஜராஜசோழனின் முக்கியக் கட்டுமானங்களில் ஒன்றான தஞ்சைப் பெருவுடையார் ஆலயம்,",11
bbc tamil,அடுத்தகட்ட மனப்பயணத்தில்‌ அவர்‌ தம்மை அளவிடுவது தெரியும்‌.,6
bbc tamil,"கணிப்பொறிகளைக் கையாள்வது பற்றிய அறிவு பரவப் பரவ, அது பற்றிய உறுதிப்படுத்தப்படாத தகவல்கள் பலவும் பரவத் தொடங்கின. ",
bbc tamil,இப்போது மனிதர்களுடன் உரையாடும் அளவுக்கு திறன் உள்ள ரோபோக்கள் செயற்கை நுண்ணறிவுத் தொழில்நுட்பம் மூலம் உருவாக்கப்பட்டுள்ளன. ,
bbc tamil,நெற்களஞ்சியத்தை இரையாயிரம் கொண்டான் எனவும் அழைப்பர்.,
bbc tamil,"ஜெர்மனி, பிரான்ஸ் உள்ளிட்ட நாடுகளில் மீண்டும் தேசிய அளவிலான முடக்க நிலையை அமல்படுத்துவதாக அறிவிக்கப்பட்டுள்ளது.",
bbc tamil,"பிரான்ஸில் ஏப்ரலுக்குப் பிந்தைய காலத்தில் இதுவரை இல்லாத அளவில் அதிக அளவில் தொற்றுகளும், மரணங்களும் நிகழ்ந்துள்ளன.",
மோகவாசல்,குண்டுச் சத்தங்கள் அடிக்கடி கேட்கின்றன. குண்டுச் சத்தங்களைக் கேட்டவுடன் அம்மா நடுங்குவாள். கண்கள் பீதியால் விரியும். அடிவயிறு குலுங்கும். ,
பனிமழை,"மொழிபெயர்ப்பு வாசகனுக்குப் புரியக் கூடியதாக - அவனைச் சிரமப்படுத்தாது, எளிதிற் சென்றடையக் கூடியதாக இருக்க வேண்டும்.",
பனிமழை,வடமொழியிற் காளிதாச மகாகவி பாடிய இரகுவம்சத்தைத் தமிழிற் பெயர்த்துப் பாடியவர் அரசகேசரி என்ற யாழ்ப்பாணத்தவர்.,
பனிமழை,இலக்கியம் வாழ்க்கையின் சகல பரிமாணங்களின் தரிசனமாக அமைய வேண்டும். ,
