work_title,total_sentences_before_processing,total_sentences_after_processing
கேள்வி_நேரம்,1746,1211
நித்திலவல்லி,6198,3769
சடுகுடு_ஆட்டம்,1464,779
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,904,623
பாற்கடல்,6286,4583
பல்லவப்_பேரரசர்,1272,999
சிந்தனை_துளிகள்,3103,2512
வஞ்சிமாநகரம்,1488,979
அப்பம்_தின்ற_முயல்,967,834
பேராசிரியர்_அ._ச._ஞாவின்_பதில்கள்,3157,1581
ஆர்க்டிக்_பெருங்கடல்,633,484
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,1192,924
பழைய_கணக்கு,3035,2294
கிருஸ்தவத்_தமிழ்த்_தொண்டர்,1125,695
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,4088,2553
வெற்றி_முழக்கம்,6426,4620
ரோஜா_இதழ்கள்,6661,5373
உமார்_கயாம்,6841,5378
தொந்தியைக்_குறைக்க_சுலபமான_வழிகள்,1207,826
நபிகள்_நாயகம்-சரித்திர_நிகழ்ச்சிகள்,4320,3331
ஆறுமுகமான_பொருள்,1500,1123
இளைஞர்களுக்கு_தந்தை_பெரியார்_வரலாறு,791,710
எனது_நாடக_வாழ்க்கை,11913,8997
இதய_உணர்ச்சி,641,448
கிரேக்க_நாட்டுப்_பழமைப்_பண்புகள்,1339,1086
கம்பராமாயணம்_(உரைநடை),2930,1979
கிரேக்க_ஒலிம்பிக்_பந்தயங்கள்,1889,1277
நடிகவேள்_எம்._ஆர்._இராதாவின்_சிறைச்சாலைச்_சிந்தனைகள்,1983,1273
உலகத்தமிழ்,1781,1396
இன்பம்,750,551
சொன்னார்கள்,2044,1478
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,976,709
விடுதலைப்போரில்_சேதுபதி_மன்னர்,3416,1501
அண்டார்க்டிக்_பெருங்கடல்,596,431
அறிவுக்கு_உணவு,703,540
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,708,487
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,1570,1204
பல்லவர்_வரலாறு,5641,3644
அந்தமான்_கைதி,2616,1861
நல்ல_மனைவியை_அடைவது_எப்படி,142,95
இறைவர்_திருமகன்,1123,951
நாலடியார்_-_செய்யுளும்_செய்திகளும்,3197,2276
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,1053,658
சோனாவின்_பயணம்,167,151
கல்வி_எனும்_கண்,1807,1159
தமிழ்ப்_பழமொழிகள்_3,6303,5192
இங்கிலாந்தில்_சில_மாதங்கள்,1855,1436
தாவோ_-_ஆண்_பெண்_அன்புறவு,929,557
சின்னஞ்சிறு_பாடல்கள்,247,209
கடவுள்_வழிபாட்டு_வரலாறு,1627,1063
ஔவையார்_கதை,299,193
பாதுகாப்புக்_கல்வி,880,498
அனிச்ச_மலர்,3020,2229
மூவரை_வென்றான்,2107,1563
குதிரைச்_சவாரி,398,349
இலக்கியத்தில்_வேங்கட_வேலவன்,644,423
அம்புலிப்_பயணம்,2137,1393
நெஞ்சக்கனல்,2710,1861
