work_title,sentence,sentence_length
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,சுப்பிரமணியம் குன்றக்குடி பெரியபெருமாள் க.,4
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,"முப்பத்தொன்று, சிங்கர் தெரு, பாரிமுனை, சென்னை அறுநூறு  நூற்றி எட்டு.",8
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,"நூற்றி பத்து, வடக்கு ஆவணி மூல வீதி, மதுரை அறுநூற்று இருபத்தைந்து ஒன்று.",10
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,"இருபத்தெட்டு, நந்தி கோயில் தெரு, திருச்சி அறுநூற்று இருபது இரண்டு.",8
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,ஓர் ஆயிரத்து தொள்ளாயிரத்து முப்பத்தொன்று • சிதம்பரம் அண்ணாமலை நகரில் வாசம்.,9
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• சொல்லின் செல்வர் ரா.பி.,5
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,"சேதுப்பிள்ளை, நாவலர் நாட்டார், சுவாமி விபுலானந்தர் ஆகியோர் தொடர்பு.",7
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• பள்ளியிறுதித் தேர்வு எழுதுதல்.,4
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பத்திரண்டு விடுதலைப் போராட்டத்தில் ஈடுபாடு.,8
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• வினோபா பாவே படிப்பகம் தொடங்கி நடத்துதல்.,6
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• தருமபுரம் தமிழ்க் கல்லூரியில் பயிலுதல்.,5
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பத்தொன்பது • குன்றக்குடித் திருவண்ணாமலை ஆதீனத்தின் இளவரசு பட்டம் ஏற்பு.,11
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,திருநாமம் ஶ்ரீலஶ்ரீ தெய்வசிகாமணி அருணாசல தேசிக பரமாசாரிய சுவாமிகள்.,7
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• அருள்நெறித் திருக்கூட்டம் தோற்றம்.,4
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• மணிமொழி என்னும் பெயரில் இயக்கப் பத்திரிகை வெளியிடல்.,7
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,• பல்லக்கில் பட்டணப் பிரவேசம் வருதலைத் தவிர்த்தல்.,6
