work_title,sentence,sentence_length
வேங்கடம்_முதல்_குமரி_வரை_4,﻿ வேங்கடம் முதல் குமரி வரை பொருநைத் துறையிலே கலைமாமணி தொ.,9
வேங்கடம்_முதல்_குமரி_வரை_4,முன்னுரை வேங்கடம் முதல் குமரி வரை என்ற தொடரில் நான்காவது புத்தகம் இது.,10
வேங்கடம்_முதல்_குமரி_வரை_4,அதனாலேயே இந்த நான்காவது புத்தகத்தைப் பொருநைத் துறையிலே என்ற தலைப்போடு வெளியிட முனைகிறேன்.,10
வேங்கடம்_முதல்_குமரி_வரை_4,இத்துடன் தமிழ் நாட்டுத் தலயாத்திரையும் ஒருவாறாக முடிவுறுகிறது.,6
வேங்கடம்_முதல்_குமரி_வரை_4,இனி வடநாட்டுத் தலயாத்திரையைத் துவங்கவேண்டியதுதான்.,4
வேங்கடம்_முதல்_குமரி_வரை_4,அந்தத் தல வரலாற்றுக் கட்டுரைகளும் வேங்கடத்ததுக்கு அப்பால் என்ற தலைப்பில் இரண்டு புத்தகங்களாக வெளியிட எண்ணம்.,12
வேங்கடம்_முதல்_குமரி_வரை_4,இறை அருள் கூட்ட வேணும்.,4
வேங்கடம்_முதல்_குமரி_வரை_4,கட்டுரைகள் தொடர்ந்து கல்கியில் வெளிவந்தன.,4
வேங்கடம்_முதல்_குமரி_வரை_4,அப்போது அவைகளைப் பாராட்டி எழுதிய அன்பர் பலர்.,6
வேங்கடம்_முதல்_குமரி_வரை_4,அவர்கள் தந்த ஊக்கமே இக்கட்டுரைகள் நூல் வடிவில் வருவதற்கு காரணமாயிருந்தது.,8
வேங்கடம்_முதல்_குமரி_வரை_4,அந்த அன்பர்களுக்கு எல்லாம் என் நன்றி.,5
வேங்கடம்_முதல்_குமரி_வரை_4,இந்த நான்காம் தொகுதியில் ஒரு நல்ல முகவுரையைச் சகோதரர் திரு சா.,9
வேங்கடம்_முதல்_குமரி_வரை_4,கணேசன் அவர்கள் வழங்கியிருக்கிறார்கள்.,3
வேங்கடம்_முதல்_குமரி_வரை_4,அது ஓர் அரிய ஆராய்ச்சியாகவே அமைந்திருக்கிறது.,5
வேங்கடம்_முதல்_குமரி_வரை_4,அவர்களோடு நான் இருபது வருஷங்களுக்கு மேலாகத் தொடர்பு கொண்டவன்.,7
வேங்கடம்_முதல்_குமரி_வரை_4,அவர்கள் நடத்தும் கம்பன் பணியில் எல்லாம் பங்கு கொண்டவன்.,7
வேங்கடம்_முதல்_குமரி_வரை_4,அவர்கள் ஆசியுடன் இப்புத்தகம் வெளிவருவது ஒரு பாக்கியம் என்றே கருதுகின்றேன்.,8
வேங்கடம்_முதல்_குமரி_வரை_4,அவர்கள் அன்பிற்கு என் உளம் கனிந்த நன்றி.,6
வேங்கடம்_முதல்_குமரி_வரை_4,என் இலக்கிய வாழ்வை செப்பம் செய்தவர்கள் ரஸிகமணி டி.கே.சி.,9
வேங்கடம்_முதல்_குமரி_வரை_4,"அவர்கள், அவர்களுக்கும் முன்னால் என்னிடம் அன்பு கொண்டிருந்தவர்கள் வெள்ளகால் சுப்பிரமணிய முதலியார் அவர்கள்.",10
வேங்கடம்_முதல்_குமரி_வரை_4,அவர்கள் நினைவு என் உள்ளத்தில் என்றும் பசுமையாகவே இருக்கிறது.,7
வேங்கடம்_முதல்_குமரி_வரை_4,பொருநைத் துறையிலே என்ற நூலை சமர்ப்பிப்பதில் மிக்க மகிழ்ச்சி அடைகிறேன்.,8
வேங்கடம்_முதல்_குமரி_வரை_4,தமிழ் நாட்டை நல் உலகம் என்றது ஏன்?,6
வேங்கடம்_முதல்_குமரி_வரை_4,"நன்மை பயப்பதும், மேலவர் வாழ்வதுமான நாட்டையே நல் உலகம் என்னலாம் இல்லையா?",9
வேங்கடம்_முதல்_குமரி_வரை_4,இந்நாட்டு இலக்கியங்கள் முழுவதுமே மக்களை நெறிப்படுத்தி நல்வாழ்வு வாழ வழி காட்டுவனவாகும்.,9
