work_title,sentence,sentence_length
கெடிலக்_கரை_நாகரிகம்,கெடிலக் கரை நாகரிகம் பேரா.,4
கெடிலக்_கரை_நாகரிகம்,தமிழகப் புலவர்குழுவின் துணைத் தலைவர்.,4
கெடிலக்_கரை_நாகரிகம்,பல்கலைக்கழகங்களின் பதிப்புக்குழு உறுப்பினர்.,3
கெடிலக்_கரை_நாகரிகம்,பல பல்கலைக்கழகங்களில் அறக்கட்டளைகள் நிறுவியுள்ளார்.,4
கெடிலக்_கரை_நாகரிகம்,தமிழக அரசின் தமிழ்ச்சங்கப் பலகை குறள் பீடத்தின் பொதுக்குழு உறுப்பினர்.,8
கெடிலக்_கரை_நாகரிகம்,வள்ளுவம் இதழின் சிறப்பாசிரியர்.,3
கெடிலக்_கரை_நாகரிகம்,பத்து நூல்களின் ஆசிரியர்.,3
கெடிலக்_கரை_நாகரிகம்,இவர் எழுதிய தாகூர் நூல் தமிழக அரசின் முதல் பரிசு பெற்றது.,9
கெடிலக்_கரை_நாகரிகம்,குன்றக்குடி அடிகளார் தமிழவேள் என்னும் விருது வழங்கிச் சிறப்பித்துள்ளார்.,7
கெடிலக்_கரை_நாகரிகம்,பதிப்புச்செம்மல் என அறிஞர்கள் இவரைப் பாராட்டுவர்.,5
கெடிலக்_கரை_நாகரிகம்,"முப்பத்தொன்று, சிங்கர் தெரு, பாரிமுனை, சென்னை அறுநூறு  நூற்றி எட்டு.",8
கெடிலக்_கரை_நாகரிகம்,"சிவப்பிரகாசம் தெரு, தி.நகர், சென்னை",5
கெடிலக்_கரை_நாகரிகம்,"நூற்றி பத்து, வடக்கு ஆவணி மூல வீதி, மதுரை அறுநூற்று இருபத்தைந்து ஒன்று.",10
கெடிலக்_கரை_நாகரிகம்,"இருபத்தெட்டு, நந்தி கோயில் தெரு, திருச்சி அறுநூற்று இருபது இரண்டு.",8
கெடிலக்_கரை_நாகரிகம்,தொலைபேசி சிதம்பரம் முப்பது ஆயிரத்து அறுபத்தொன்பது சென்னை ஐந்து மில்லியன் முன்னூற்று அறுபத்தொன்று ஆயிரத்து முப்பத்தொன்பது தி.,13
கெடிலக்_கரை_நாகரிகம்,ஆற்றின் வெள்ளப்பெருக்கு நிலத்தை வளப்படுத்துவதோடு மனிதகுல நாகரிகத்தையும் வளப்படுத்தியுள்ளது.,7
கெடிலக்_கரை_நாகரிகம்,ஆற்றோரம் வயலும் வயல் சார்ந்த நிலப்பகுதியும் மருதநிலமாகும்.,6
கெடிலக்_கரை_நாகரிகம்,"மருத நிலத்து மக்கள் நிலம் திருத்தி, பயிர் வளர்ப்பதோடு பண்பாட்டையும் வளர்த்துள்ளனர் என்பது வரலாறு கூறும் உண்மை.",13
