work_title,sentence,sentence_length
ஏழாவது_வாசல்,இச் சிறு கதைகளைத் தனியாகத் தொகுத்துப் பல மொழிகளிலே வெளியிட்டிருக்கிறார்கள்.,8
ஏழாவது_வாசல்,அன்னை நாகம்மை பதிப்பகத்தார் ﻿பொருளடக்கம் பக்கம் ஒன்று.,6
ஏழாவது_வாசல்,﻿கணக்கப் பிள்ளையின் ஆணவம் பதினொன்று  நான்கு.,5
ஏழாவது_வாசல்,﻿அருள் நிறைந்த அன்னை முப்பது ஒன்பது.,5
ஏழாவது_வாசல்,﻿கடவுள் பெயர் உயர்வுதரும் நாற்பது பனிரண்டு .,5
ஏழாவது_வாசல்,﻿நாய் வளர்த்த மனிதன் நாற்பத்திரண்டு பதிமூன்று .,5
ஏழாவது_வாசல்,﻿பணம் கொண்ட பிராமணன் நாற்பத்தைந்து பதினான்கு .,5
ஏழாவது_வாசல்,﻿வாந்தி பேதிப் பிசாசின் கதை ஐம்பத்து மூன்று பதினாறு .,7
ஏழாவது_வாசல்,﻿காக்கும் தெய்வமே கொன்றால் அறுபது பதினேழு .,5
ஏழாவது_வாசல்,﻿பரமனை அழைத்த பக்தன் அறுபத்து மூன்று பதினெட்டு .,6
ஏழாவது_வாசல்,﻿திருடன் போட்ட வேடம் அறுபத்தைந்து பத்தொன்பது .,5
ஏழாவது_வாசல்,﻿பறையன் இடித்த சங்கராச்சாரியார் எழுபத்தொன்று இருபது.,5
ஏழாவது_வாசல்,﻿ஏழாவது வாசல் எழுபத்து நான்கு ﻿பச்சோந்தி இரண்டு மனிதர்கள் ஒரு பனந்தோப்பு வழியாகப் போய்க் கொண்டிருந்தார்கள்.,12
ஏழாவது_வாசல்,"அதோ, அந்தப் பனை மரத்தில் ஓர் ஓந்தியிருக்கிறது.",6
ஏழாவது_வாசல்,பார் நல்ல சிவப்பு நிறம். என்றான்.,5
ஏழாவது_வாசல்,அதில் இருந்த ஓந்தியையும் பார்த்தான்.,4
ஏழாவது_வாசல்,அதில் ஓந்தியும் இருக்கிறது.,3
ஏழாவது_வாசல்,ஆனால் அதன் நிறம் சிவப்பல்ல நீலநிறம் என்று சொன்னான் இரண்டாவது மனிதன்.,9
ஏழாவது_வாசல்,சிவப்புக்கும் நீலத்துக்கும் வேற்றுமை தெரியாமல் உளறுகிறானே இவன் என்று நினைத்துக் கொண்டான் முதல் மனிதன்.,11
ஏழாவது_வாசல்,"அடே அது சிவப்பு நிறமடா, சிவப்பு நிறம் ! என்றான்.",7
ஏழாவது_வாசல்,"இல்லை யில்லை அது நீலநிறம்தான் என்றான் இரண்டாவது ஆள், சிவப்பு சிவப்புத் தான் என்று கத்தினான் முதல் மனிதன்.",14
ஏழாவது_வாசல்,"இல்லை நீலம், நீலமேதான் ! என்று கூச்சலிட்டான் இரண்டாவது ஆள்.",7
ஏழாவது_வாசல்,இப்படி இவர்கள் சண்டையிட்டுக் கொண்டிருக்கும் போது அந்த வழியாக வேறொரு மனிதன் வந்தான்.,10
ஏழாவது_வாசல்,இரண்டு மனிதர்களும் அഖனை அருகில் அழைத்தார்கள்.,5
ஏழாவது_வாசல்,"ஐயா, ஓந்தி சிவப்பு நிறம் தானே ! என்று கேட்டான் முதல் ஆள்.",9
ஏழாவது_வாசல்,ஆமாம் என்றான் புது ஆள்.,4
ஏழாவது_வாசல்,என்னையா இப்படிச் சொல்கிறீர்?,3
ஏழாவது_வாசல்,நன்றாகப் பார்த்துச் சொல்லும் ஓந்தி நீல நிறம் தானே? என்று கேட்டான் இரண்டாமவன்.,10
ஏழாவது_வாசல்,ஆமாம் நீலநிறம் தான் என்றான் புது ஆள்.,6
ஏழாவது_வாசல்,"என்னையா, நான் கேட்டாலும் ஆமாம் போடுகிறீர்?",5
ஏழாவது_வாசல்,அவன் கேட்டாலும் ஆமாம் என்கிறீர்?,4
ஏழாவது_வாசல்,உமக்கெனன பைத்தியமா? என்று கேட்டான் முதல்வன்.,5
ஏழாவது_வாசல்,பைத்தியம் எனக்கல்ல உங்களுக்குத் தான்.,4
ஏழாவது_வாசல்,ஓந்தி நேரத்துக்கு நேரம் நிறம் மாற்றிக் கொள்ளும்.,6
ஏழாவது_வாசல்,நீர் பார்த்த போது சிவப்பா யிருந்தது.,5
ஏழாவது_வாசல்,அவர் பார்த்த போது நீலமாகி விட்டது.,5
ஏழாவது_வாசல்,இன்னொரு முறை பார்த்தால் பச்சையாகவும் காட்சியளிக்கும் என்றான் அந்தப்புதுமனிதன்.,7
ஏழாவது_வாசல்,இருவரும் தெளிவு பெற்றார்கள்.,3
ஏழாவது_வாசல்,பிள்ளையாராக இருப்பவரும் கடவுள்தான் பெருமாளாக இருப்பவரும் கடவுள்தான்.,6
ஏழாவது_வாசல்,இந்த உண்மையை அறியாமல் மதச்சண்டை போடுபவர்கள் பைத்தியக்காரர்கள்.,6
ஏழாவது_வாசல்,நடிப்புப் பைத்தியம் ஒரு மனிதன் பணம் தேவைப்பட்ட போதெல்லாம் கடன் வாங்கிக் கொண்டிருந்தான்.,10
ஏழாவது_வாசல்,கடனை அடைக்கும் வகையில் அவன் தொழிலை வளர்க்கவில்லை.,6
ஏழாவது_வாசல்,தேவைப்படும் போதெல்னாம் மீண்டும் மீண்டும் கடன் வாங்கிக் கொண்டேயிருந்தான்.,7
ஏழாவது_வாசல்,இதனால் கடன் அதிகமாகிவிட்டது.,3
ஏழாவது_வாசல்,கடன் கொடுத்தவர்கள் பலர்.,3
ஏழாவது_வாசல்,அவர்கள் அடிக்கடி அவனைத் தொந்தரவு செய்து கொண்டிருந்தார்கள்.,6
ஏழாவது_வாசல்,கடனையோ அவனால் திருப்பிக் கொடுக்க முடியாது.,5
