work_title,sentence,sentence_length
நான்_கண்ட_நாடகக்_கலைஞர்கள்,"தீட்சிதர் கதைகள், ஹாஸ்யக் கதைகள், குறமகள், நல்லதங்காள், சிறுகதைகள், நடிப்புக் கலையில் தேர்ச்சி பெறுவதெப்படி?",11
நான்_கண்ட_நாடகக்_கலைஞர்கள்,முதற் பதிப்பு காபிரைட் விலை.,4
நான்_கண்ட_நாடகக்_கலைஞர்கள்,ரூ. குறிப்பு இந்நால் சென்னை சங்கீத நாடக சங்கத்தாரின் பொருள் உதவியால் அச்சிடப்பட்டது.,10
நான்_கண்ட_நாடகக்_கலைஞர்கள்,அவர்களுக்கு என் மனமார்ந்த வந்தனம் உரித்தாகுக.,5
நான்_கண்ட_நாடகக்_கலைஞர்கள்,சுந்தராம்பாள் திரு எம்.,3
நான்_கண்ட_நாடகக்_கலைஞர்கள்,கே. ஷண்முகம் திரு டி.,4
நான்_கண்ட_நாடகக்_கலைஞர்கள்,கே. பகவதி திரு சகஸ்ரநாமம் அவர்கள் திரு நவாப் ராஜமாணிக்கம் திரு கே. ஆர்.,11
நான்_கண்ட_நாடகக்_கலைஞர்கள்,ராமச்சந்திரன் திரு சிவாஜி கணேசன் திரு புத்தனேரி ரா.,7
நான்_கண்ட_நாடகக்_கலைஞர்கள்,பாலாமணி அம்மாள் ஸ்ரீமான் வி.,4
நான்_கண்ட_நாடகக்_கலைஞர்கள்,ஸ்ரீனிவாச ராகவாச்சாரி வி.,3
நான்_கண்ட_நாடகக்_கலைஞர்கள்,தாமோதர முதலியார் ஸ்ரீ.,3
நான்_கண்ட_நாடகக்_கலைஞர்கள்,கிருஷ்ணய்யர் அவர்கள் ஸ்ரீ.,3
நான்_கண்ட_நாடகக்_கலைஞர்கள்,"பிறகு, தமிழ் நாடகத்தை உத்தாரணம் செய்தவர்களுள் காலஞ்சென்ற கோவிந்தசாமி என்பவரை ஒரு முக்கியமானவராகக் கூறலாம்.",11
நான்_கண்ட_நாடகக்_கலைஞர்கள்,அவர் ஒரு மஹாராஷ்டிரர்.,3
நான்_கண்ட_நாடகக்_கலைஞர்கள்,இவரது முன்னோர் சிவாஜி மன்னரது தம்பி தஞ்சாவூரை ஆள ஆரம்பித்த காலத்தில் அவருடன் வந்த பரிவாரங்களில் ஒருவராம்.,13
நான்_கண்ட_நாடகக்_கலைஞர்கள்,அவர் மஹாராஷ்டிர பிரிவுகளில் பான்ஸ்லே பிரிவினர்.,5
நான்_கண்ட_நாடகக்_கலைஞர்கள்,நல்ல பணமும் வசூலாயிற்று.,3
நான்_கண்ட_நாடகக்_கலைஞர்கள்,இவர் சென்னையில் ஆடியது செங்காங்கடையில் தற்காலம் இருக்கும் சினிமா கட்டிடத்தில் அச்சமயம் இருந்த ஒரு ஓட்டுக் கொட்டகையிலாம்.,13
நான்_கண்ட_நாடகக்_கலைஞர்கள்,ஜனங்களும் ஏராளமாக இவரது நாடகங்களைப் பார்க்கலாயினர்.,5
