work_title,sentence,sentence_length
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,கப்பலோட்டிய தமிழன் வ.,3
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,﻿கப்பலோட்டிய தமிழன் வ.உ.சிதம்பரம் என்.,6
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,"கலைமணி சாந்தி நிலையம் நூற்றி இருபத்தாறு நூற்றி எட்டு, உஸ்மான் சாலை, தியாகராய நகர், சென்னை அறுநூறு  பதினேழு .",14
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,இவர் தான் வ.உ.சி.,5
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,அவர் எண்ணங்கள் சில ஐந்து இரண்டு.,5
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,வாழையடி வாழையென வ.உ.சி.,5
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,வ.உ.சி.,3
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,புலமை வல்லமை இராஜாஜி குறள் கற்க ஆசை !,6
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,வந்தால் கப்பலுடன் வருவேன் இல்லையானால் கடலிலே சாவேன்.,6
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,சுதந்திரப் புரட்சியில் சிதம்பரனார் சிவா முழக்கம்.,5
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,சிதம்பரம் ஆணையிட்டால் அனலை விழுங்குவர் மக்கள் !,5
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,"மூன்று குற்றங்கள் மீது சிதம்பரனார், சிவா கைது !",6
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,பேச்சு பாரதி பாட்டு பிணத்தை உயிரூட்டிப் பேச விடும்.,7
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,ஐம்பத்து மூன்று பக்க எண் ஒன்பது.,5
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,கட்டைத் தாலி கழுத்துடன் செக்கிழுத்தார் சிதம்பரம்.,5
