work_title,sentence,sentence_length
அதிகமான்_நெடுமான்_அஞ்சி,அதிகமான் நெடுமான் அஞ்சி கி.,4
அதிகமான்_நெடுமான்_அஞ்சி,ஓர் ஆயிரத்து தொள்ளாயிரத்து அறுபத்து நான்கு விலை ரூ.,7
அதிகமான்_நெடுமான்_அஞ்சி,முன்னுரை தமிழ் இலக்கியங்களில் வீரமும் காதலும் இணைந்து ஒளிர்கின்றன.,7
அதிகமான்_நெடுமான்_அஞ்சி,சங்க காலத்து நூல்களில் காதற் பாட்டுக்கள் ஐந்துபங்கும் வீரப்பாடல்கள் ஒருபங்குமாக இருக்கின்றன.,9
அதிகமான்_நெடுமான்_அஞ்சி,காதற் பாட்டுக்கள் எல்லாம் புனைந்துரைகள் கற்பனைக் காட்சிகளை உடையன.,7
அதிகமான்_நெடுமான்_அஞ்சி,ஆனால் வீரப் பாடல்கள் பெரும்பாலும் வரலாற்று உண்மைகளைக் கருவாகக் கொண்டவை.,8
அதிகமான்_நெடுமான்_அஞ்சி,சங்கநூற் பாடல்களைக் கொண்டு அவன் பெருமையை வடித்து வடிவம் கொடுத்து எழுதியதே இந்தப் புத்தகம்.,11
அதிகமான்_நெடுமான்_அஞ்சி,அதையும் பயன்படுத்திக் கொண்டேன்.,3
அதிகமான்_நெடுமான்_அஞ்சி,ஆராய்ச்சி முறையில் எழுதியதன்று இது.,4
அதிகமான்_நெடுமான்_அஞ்சி,படிப்பவர்கள் நெஞ்சில் அதிகமான் உருவமும் செயல்களும் ஒவியமாக நிற்கவேண்டும் என்ற கருத்தோடு உரையாடல்களையும் வருணனைகளையும் இணைத்து எழுதினேன்.,13
அதிகமான்_நெடுமான்_அஞ்சி,ஆயினும் தலைமையான நிகழ்ச்சிகளுக்கெல்லாம்.ஆதாரங்கள் உண்டு அவற்றை அடிக் குறிப்பிலே தந்திருக்கிறேன்.,9
அதிகமான்_நெடுமான்_அஞ்சி,முன்னோர்கள்... ஒன்று இரண்டு.,3
அதிகமான்_நெடுமான்_அஞ்சி,அதிகமானும் ஔவையாரும்... ஆறு மூன்று.,4
அதிகமான்_நெடுமான்_அஞ்சி,வீரமும் ஈகையும்... பதிமூன்று  நான்கு.,4
அதிகமான்_நெடுமான்_அஞ்சி,அமுதக் கனி... இருபது ஐந்து.,4
அதிகமான்_நெடுமான்_அஞ்சி,படர்ந்த புகழ்... இருபத்தெட்டு ஆறு.,4
அதிகமான்_நெடுமான்_அஞ்சி,ஔவையார் தூது... முப்பத்தாறு ஏழு.,4
அதிகமான்_நெடுமான்_அஞ்சி,கோவலூர்ப் போரும் குமரன் பிறப்பும்... நாற்பத்து நான்கு எட்டு.,7
அதிகமான்_நெடுமான்_அஞ்சி,இயலும் இசையும்... ஐம்பத்து நான்கு ஒன்பது.,5
அதிகமான்_நெடுமான்_அஞ்சி,சேரமான் செய்த முடிவு... ஐம்பத்தொன்பது பத்து.,5
அதிகமான்_நெடுமான்_அஞ்சி,போரின் தொடக்கம்... அறுபத்தேழு பதினொன்று .,4
அதிகமான்_நெடுமான்_அஞ்சி,முற்றுகை... எழுபத்தேழு பனிரண்டு .,3
அதிகமான்_நெடுமான்_அஞ்சி,அந்தப்புர நிகழ்ச்சி... எண்பத்தைந்து பதிமூன்று .,4
அதிகமான்_நெடுமான்_அஞ்சி,வஞ்சமகள் செயல்... தொன்னூற்றைந்து பதினான்கு .,4
அதிகமான்_நெடுமான்_அஞ்சி,போர் மூளுதல்... நூற்றி ஏழு பதினைந்து .,5
அதிகமான்_நெடுமான்_அஞ்சி,ஆயினும் அவர்களுக்குள்ளே மிகப் பழங்காலந் தொட்டு இடைவிடாமல் ஆண்டு வந்தவர்கள் சேர சோழ பாண்டியர்கள்.,11
அதிகமான்_நெடுமான்_அஞ்சி,"இந்த மூவேந்தர்களின் பழமையை, படைப்புக் காலந் தொட்டே இருந்து வருபவர்கள் என்று சொல்லிப் புலவர்கள் பாராட்டுவார்கள்.",12
அதிகமான்_நெடுமான்_அஞ்சி,தமிழ்நாடு மூன்று மண்டலங்களாகப் பிரிந்திருந்தது.,4
அதிகமான்_நெடுமான்_அஞ்சி,"சோழ மண்டலம், பாண்டிய மண்டலம், சேர மண்டலம் என்பவை அவை.",8
அதிகமான்_நெடுமான்_அஞ்சி,அவற்றை ஆண்டுவந்த மன்னர்கள் மூவரையும் முடியுடை மூவேந்தர் என்று இலக்கியம் கூறும்.,9
அதிகமான்_நெடுமான்_அஞ்சி,பழங்கால முதல் தமிழ் நாட்டை ஆண்டு வந்த சேர சோழ பாண்டியர்களுக்கே அந்த உரிமை இருந்தது.,12
அதிகமான்_நெடுமான்_அஞ்சி,இந்த மூன்று மன்னர்களுக்கும் தனித்தனியே அடையாளப் பொருள்கள் இருந்தன.,7
அதிகமான்_நெடுமான்_அஞ்சி,அவற்றில் சிறப்பானவை மாலையும் கொடியும்.,4
அதிகமான்_நெடுமான்_அஞ்சி,சேரன் பனை மாலையையும் விற்கொடியையும் உடையவன்.,5
அதிகமான்_நெடுமான்_அஞ்சி,சோழன் ﻿ஆத்தி மாலையையும் புலிக் கொடியையும் உடையவன்.,6
அதிகமான்_நெடுமான்_அஞ்சி,பாண்டியன் வேப்ப மாலையையும் மீன் கொடியையும் உடையவன்.,6
அதிகமான்_நெடுமான்_அஞ்சி,எல்லோரும் அணிகிற மாலைகளை அணிந்து கொண்டால் தனியாக அடையாளம் தெரியாது.,8
