work_title,sentence,sentence_length
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,பாஸ்கரன் செயல் தலைவர் ⁠ அமைப்புச் செயலர் ⁠ மண்டலச் செயலர் ⁠ முன்னீடு ஆறு ஒன்று.,13
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,சாதி இந்துவின் நன்றி !,3
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,இடஒதுக்கீட்டின் தொடக்கம் பதினொன்று  மூன்று.,4
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,தொடங்கியகதிப்போக்கில்… இருபத்து மூன்று நான்கு.,4
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,முன் முயற்சிகளும் முதற்கட்ட முன்வைப்புகளும் இருபத்தெட்டு ஐந்து.,6
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,இந்து முஸ்லீம் ஒற்றுமை எனும்… முப்பத்தைந்து ஆறு.,6
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,இடஒதுக்கீடு எனும் சமூகநீதிக்கொள்கை முகிழ்ந்தது நாற்பத்தொன்று ஏழு.,6
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,இடைவெளி அறுபத்து நான்கு எட்டு.,4
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,அனைத்து சமூக நீதியின் முகங்கள் அறுபத்தெட்டு ஒன்பது.,6
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,ஆனால் அப்படி ஒரு வரலாற்றுக் கட்டமே நடக்கவில்லை என்பதுபோல இந்திய இடஒதுக்கீடு வரலாறு கட்டமைக்கப்பட்டுள்ளது.,11
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,அப்படிப்பட்ட கருத்தை ஏற்றுக் கொள்பவர்களுக்கு ஒரு மாற்று மருந்தாக பண்டிதரின் கொடை இருக்கும்.,10
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,பண்டிதரின் சமூகநீதி தலித்துக்கோ அல்லது தலித்தல்லாதாருக்குமான சமூக நீதியல்ல.,7
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,அது சகல இன மக்களுக்குமான சமூக நீதி.,6
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,அதனால்தான் அவர் தென்னிந்திய சமூக சீர்திருத்தத்தின் தந்தையாக உயர்ந்து நிற்கிறார்.,8
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"அதனால், பண்டிதரின் சிந்தகைள் அவருக்கு தானே உதித்த சுய சிந்தனைகள் என்று சொல்லவில்லை.",10
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,தனியறையில் அடைபட்டு வாழ்பவனுக்கு நான்கு சுவர்களைப் பற்றின சுயசிந்தனை மட்டும் தான் இருக்கும்.,10
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,என்று சரியாகவே சொன்னார்.,3
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"இந்நூலை மறுக்க எத்தனிப்பவர்களுக்கு டேன் அவர்களின் வாசகங்களையும், இந்நூலின் ஆதாரங்களையும் நினைவுறுத்த விரும்புகிறேன்.",10
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,﻿எனவே இதை குறித்து உழைப்பவர் ஆயுதம் மாத இதழில் பண்டிதர் பற்றின சிறப்பிதழுக்கு அதன் ஆசிரியர் தா.ம.,14
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,தத்துவஞானிகள் அரசர்களாகும் வரையிலும் அல்லது இவ்வுலக அரசர்களும் அரசிளங்குமரர்களும் தத்துவ ஞானத்தின் சக்தியையும் மனப்பான்மையையும் கொள்ளும் வரையிலும்.,13
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,ஒதுங்கி இருக்கக் கட்டாயப்படுத்தும் வரையிலும் நகரங்கள் அவற்றின் கேடுகளிலிருந்து ஒய்வு பெறாது.,9
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,மனித இனமே ஒய்வு பெறாது என நம்புகிறேன் பிறகே இந்த நமது நாடு உயிர்பெறக் கூடும் வெளிச்சத்தைக் காணக்கூடும்.,14
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"எனினும் பிளேட்டோவின் யோசனை நடைமுறை படுத்தப்படாமலில்லை, பல்வேறு காலகட்டங்களில் அவரின் தீர்க்க தரிசனம் நிறைவேறியுள்ளது.",11
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"லெனின், மாவோ இதற்கு தகுந்த உதாரணங்கள்.",5
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"நம் நாட்டில் அரசியல் மேதமையும், ஞானமும் வாய்ந்தவர்களில் அம்பேத்கர் முதன்மையானவர்.",8
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,இவரும் அரசு பரிபாலனத்தில் பங்கேற்று நாட்டை வழி நடத்தியுள்ளார்.,7
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,ஆனால் பிளேட்டோ சொன்னதைப் போல ஒரு அரசனாகும் வாய்ப்பில்லாதவராகவே போய்விட்டார் என்றால் யார் ﻿குற்றம்?,11
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,ஒருவேளை வெறும் தத்துவ ஞானியாகவே தன்னை அவர் வெளிப்படுத்தியிருந்தால் பிளேட்டோவின் கனவை நிறைவேற்றியிருக் கலாம்.,11
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,யாரும் அவரை முழு பலத்தோடு எதிர்க்க வந்திருக்க மாட்டார் கள்.,8
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,ஆனால் தீண்டத்தகாதவனாக பிறந்து பிளேட்டோ வரையறுத்த தகுதியோடு இருந்ததால் கிளாக்கனின் கருத்துபடியே எல்லாம் நடந்து விட்டது.,12
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,சாதி இந்துக்கள் அவரை தத்துவ ஞானியாக அரசியல் மேதையாகப் பார்க்காமல் தீண்டத்தகாதவராகவேப் பார்த்தார்கள்.,10
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,⁠இதைப் போன்ற பின்னணியில்தான் பண்டிதரைப் பொருத்திப் பார்க்க வேண்டியுள்ளது.,7
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"தத்துவ ஞானியாகவும், அரசியல் மேதையாகவும் வாழ்ந்த அயோத்திதாச பண்டிதர் சமூக அரசியல் களத்தில் தீவிரமாகப் பங்காற்றியவர்.",12
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"அதனால் இந்த சமூகம் அவருக்கு ஒரு அரசனுக்குரிய இருக்கையைத் தர வேண்டுமென்பதில்லை, குறைந்த பட்சம் நன்றியுடனாவது நடந்து கொண்டிருந்திருக்கலாம்.",14
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,இந்த நன்றிகெட்ட சாதி இந்து சமூகம் செய்தது என்ன என்பது இப்போதும் வெட்ட வெளிச்சமானதுதான்.,11
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,"ஆனால் ஒரு மூர்க்கத் தனத்தோடும், கள்ள மெளனத்தோடும் அவரை எதிர்த்தே வந்துள்ளது என்பதை யாரும் மறுக்க முடியாது.",13
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,Ꮻ இரண்டு இடஒதுக்கீட்டின் தொடக்கம் எப்போதும் விவாதத்திற்குரிய ஒன்றாகத்தான் விகிதாச்சார அரசியல் இருந்து வருகிறது.,11
