work_title,sentence,sentence_length
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,﻿ புதுமைப்பித்தன் உதிர்த்த முத்துக்கள் தொகுத்தவர் முல்லை பிஎல்.,7
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,பாரதீய பரம்பரை என்று காவியத்துறையில் இருப்பதை ஒப்புக் கொள்வது.,7
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,"அவசியமாயின், அதன் ஏகப்பிரதிநிதி பாரதிதாசனே என்பதற்கு முல்லைப் பதிப்பக வெளியீடான அழகின் சிரிப்பு ஓர் அத்தாட்சி.",12
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,"ஆற்றொழுக்குப் போன்ற நடை, சிற்றோடையின் ஆழமும், வேகமும், தெளிவும் பெற்ற கற்பனை.",9
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,"யாரையும் சட்டை செய்யா, எவருக்கும் பணியாத கருத்தமைதி இவைதான் பாரதிதாசன்.",8
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,"பொதுவாக இதுவரை பாடல்களில், பெண்கள் அல்லது அரசர்கள் ஆகியோருக்கே உலகின் அழகுச் சுமைகளையெல்லாம் காணிக்கையாக வைத்து வழுத்துவது மரபு.",14
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,இங்கு இவர் தம் கற்றுச் சொல்லியிடம் உலகின் அழகுகளை எடுத்துக்காட்டி வருவது போலவே பாடல்கள் அமைக்கப்பட்டுள்ளன.,12
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,இதுவரை இல்லாத புது சம்பிரதாயம் இது.,5
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,தினசரி இதழ் ﻿வேடிக்கை மனிதர் கலைமகள் அதிபர் திரு.,7
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,நாராயணசாமி ஐயர் அவர்கள் தமிழ்த் தாத்தா உ.,6
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,சாமிநாதையர் அவர்களுக்கு அடுத்தபடியாக புதுமைப்பித்தனை மதித்தார் !,5
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,அலுவலகத்தில் புதுமைப்பித்தனிடம் சிலருக்கு வெறுப்பு இருந்தபோதிலும் அதை அவர் பொருட்படுத்தவில்லை.,8
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,புதுமைப்பித்தன் எழுதிய கடவுளும் கந்தசாமி பிள்ளையும் என்ற கதை கலைமகளில் வெளிவந்த சமயம் தி.,11
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,"ர அவர்கள் படித்து ரசித்துவிட்டு, அடுத்த பகுதி எப்போது வரும் என்று எதிர்பார்த்துக் கொண்டிருந்தார்.",11
புதுமைப்பித்தன்_உதிர்த்த_முத்துக்கள்,சக்தி ஆசிரியராக இருந்தார்.,3
