work_title,sentence,sentence_length
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,அயல்நாட்டு அறிஞர்கள் உதிர்த்த முத்துக்கள் சுவைமிகுந்த நூற்றி நான்கு நிகழ்ச்சிகளின் குவியல் முல்லை பிஎல்.,11
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,முத்தையா மொழி தமிழ் வெளியீட்டு நாள் செப்டம்பர் பதிப்புரிமை ஆசிரியருக்கு தாள் கி.கி.,11
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,வெள்ளைத்தாள் நூலின் அளவு செ.மீ.,5
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,ஓ செ.மீ.,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,விஞ்ஞானியின் பேச்சு இரண்டு.,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,தொடக்கமும் முடிவும் மூன்று.,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,நானும் உங்களைப்போலவேதான் நான்கு.,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,படம் பார்த்ததற்குக் கூலியா?,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,எழுதிக்கொண்டே இருந்தவர் எட்டு.,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,பேசியது எந்த மொழி?,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,எனக்கும்கூட பயம்தான் பத்து.,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,ஒரு சொல்லுக்குப் பொருள் பதினொன்று .,4
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,ஆங்கிலம் தெரியாத மன்னர் பனிரண்டு .,4
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,அவர் ஒருவரே புத்திசாலி பதிமூன்று .,4
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,பொறுப்பற்றவர்களின் போக்கு பதினைந்து .,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,இராணுவமேதைகளின் தகுதி பதினாறு .,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,அதிசயமான விஞ்ஞானி பதினேழு .,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,விலை மதிப்பற்ற சிறப்புடையது பதினெட்டு .,4
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,புகழ் விளம்பரம் பத்தொன்பது .,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,கண்டு களிப்புறும் ஆசை இருபது.,4
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,விருந்தை மறந்தவர் இருபத்தொன்று.,3
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,நண்பர் அளித்த உதவி இருபத்திரண்டு.,4
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,பூச் செருகும் பழக்கம் இருபத்து மூன்று.,5
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,தந்தை செய்த உதவி இருபத்து நான்கு.,5
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,புரட்சியால் பெற்ற பதவி இருபத்தாறு.,4
அயல்நாட்டு_அறிஞர்கள்_உதிர்த்த_முத்துக்கள்,தேசிய கீதம் பாடிய நடிகர் இருபத்தேழு.,5
