work_title,sentence,sentence_length
பல்லவப்_பேரரசர்,பல்லவப் பேரரசர் டாக்டர்.,3
பல்லவப்_பேரரசர்,அதன் பயனாகப் பல்லவப் பேரரசர் என்னும் வரிசையின் முதல் நூலாக வெளிவரும் இச்சிறு நூல் எளிய நடையில் எழுதப்பட்டுள்ளது.,14
பல்லவப்_பேரரசர்,"இதனில், பல்லவப் பேரரசை ஏற்படுத்திய சிம்ம விஷ்ணுவின் மகனான மஹேந்திரவர்மன், பெயரனான நரசிம்மவர்மன் வரலாறுகள் குறிக்கப்பட்டுள்ளன.",12
பல்லவப்_பேரரசர்,இவர்கள் காலத்திற்றான் பல்லவர் சாளுக்கியர் போர்கள் வன்மையாகத் தொடங்கப் பெற்றன.,8
பல்லவப்_பேரரசர்,சமணம் ஒடுக்கப்பட்டுச் சைவமும் வைணவமும் பரவின காலமும் இதுவேயாகும்.,7
பல்லவப்_பேரரசர்,தமிழ் நாட்டிற்கே புதியவையான.,3
பல்லவப்_பேரரசர்,குடைவரைக் கோவில்களும் ஒற்றைக்கற் கோவில்களும் தோற்றம் எடுத்தமை இப்பேரரசர் காலத்திற்றான் என்பதை அனைவரும் அறிவர்.,11
பல்லவப்_பேரரசர்,நாகரிகக் கலைகளான இசை நடனம் நாடகம் சிற்பம் ஒவியம் என்பன பல்லவ மன்னரால் போற்றி வளர்க்கப்பட்ட காலமும் இதுவென்னலாம்.,14
பல்லவப்_பேரரசர்,"இங்ஙனம் எல்லாத் துறைகளிலும் பண்பட்டு விளங்கிய இப்பெரு வேந்தர் வரலாறுகளைப் படிப்பதால், கி.பி.",11
பல்லவப்_பேரரசர்,ஏழாம் நூற்றாண்டின் தமிழ் நாட்டு வரலாற்றை ஒருவாறு அறிந்தின்புறலாம்.,7
பல்லவப்_பேரரசர்,உள்ளுறை எண் பொருள் பக்கம் ஒன்று.,5
பல்லவப்_பேரரசர்,முதற்கால இடைக்காலப் பல்லவர் பனிரண்டு  மூன்று.,5
பல்லவப்_பேரரசர்,நரசிம்மவர்மன் போர்ச் செயல்கள் அறுபத்தாறு ஒன்பது.,5
பல்லவப்_பேரரசர்,"மஹேந்திரவர்மன், அவன் மனைவி சித்தன்ன வாசல் ஒவியங்கள்.",6
பல்லவப்_பேரரசர்,நடிக மாதர் ஒவியங்கள் நான்கு.,4
