work_title,sentence,sentence_length
மூவரை_வென்றான்,மூவரை வென்றான் நா.,3
மூவரை_வென்றான்,﻿முவரை வென்றான் நா.,3
மூவரை_வென்றான்,"பார்த்தசாரதி தமிழ்ப் புத்தகாலயம் பதினொன்று , சிவப்பிரகாசம் தெரு பாண்டி பஜார் தி.",9
மூவரை_வென்றான்,இதிலுள்ள கதைகள் ஏற்கனவே தமிழ் நாட்டின் சிறந்த இதழ்களில் வெளியானவை.,8
மூவரை_வென்றான்,இவற்றினை வெளியிட்டுக்கொள்ள இசைந்த ஆசிரியர்களுக்கு என் நன்றி.,6
மூவரை_வென்றான்,பெரிய மாயன் பொட்டல் இருபத்தொன்று மூன்று.,5
மூவரை_வென்றான்,சாலை தெற்கு வடக்காகச் செல்கிறது.,4
மூவரை_வென்றான்,நான் அடிக்கடி இந்தச் சாலை வழியே பஸ்ஸில் பிரயாணம் செய்கிறவன்.,8
மூவரை_வென்றான்,"பெயரைப் படித்தால் அந்தப் பெயர் அப்படிப்பட்ட ஒரு குக்கிராமத்திற்கு ஏற்பட்டிருப்பதில் ஏதாவதொரு காரணமோ, கதையோ அடங்கியிருக்க வேண்டுமென்று நம்பினேன்.",14
மூவரை_வென்றான்,"மூவரை வென்றான் என்ற அந்தப் பெயர் அமைந்திருக்கிற விதத்திலிருந்து, பூர்வ சரித்திர நிகழ்ச்சியால் ஏற்பட்டதாகவும் இருக்கலாம் என்றுகூடத் தோன்றியது.",14
மூவரை_வென்றான்,அதிர்ஷ்டம் எப்படி வந்து வாய்க்கிறது.,4
மூவரை_வென்றான்,பஸ் கிளம்பாது என்பது உறுதியாகிவிட்டது.,4
மூவரை_வென்றான்,அப்போது மாலை நான்கு மணி.,4
மூவரை_வென்றான்,"வாய்க்கால், வரப்புகளின் மேல் குறுக்கிட்டுச் சென்ற, மேடுபள்ளம் மிகுந்த வண்டிப் பாதையில் நடந்தோம்.",10
மூவரை_வென்றான்,அந்தச் சின்னஞ்சிறு கிராமத்தில் ஹோட்டல் என்ற பெயருக்குரிய போர்டு மாட்டாத கூரைக் குடிசையைக் கண்டுபிடிப்பதுதான் கஷ்டமாக இருந்தது.,13
மூவரை_வென்றான்,அங்கே காப்பி என்ற பெயரில் கிடைத்த திரவத்தைச் சாப்பிடுவதும் கஷ்டமாகத்தான் இருந்தது.,9
மூவரை_வென்றான்,காப்பி என்ற பெயரில் எதையோ குடித்துவிட்ட திருப்தியில் மற்றவர்கள் எல்லோரும் கார் நின்ற இடத்திற்குக் கிளம்பிவிட்டார்கள்.,12
மூவரை_வென்றான்,நான் கொஞ்சம் இருந்து வருகிறேன் என்று அவர்களிடம் கூறிப் பின்தங்கி விட்டேன் நான்.,10
மூவரை_வென்றான்,ஹோட்டல் வாசலில் இருந்த வெற்றிலைப் பாக்குக் கடையில் உட்கார்ந்து கொண்டிருந்த வயதான பெரியவர் ஒருவரை அணுகினேன்.,12
மூவரை_வென்றான்,மெல்லப் பேச்சைக் கிளப்பினேன்.,3
மூவரை_வென்றான்,என்னுடைய வெளுத்த உடைக்கும் கைக்கடியாரத்திற்கும் நகரத்துப் பாணியில் வெளிவந்த பேச்சுக்கும் மரியாதை கொடுக்க எண்ணினார் போலும் அந்தப் பெரியவர்.,14
மூவரை_வென்றான்,எனக்கு வேண்டிய விஷயமோ அவருடைய பதிலில் இருந்தது.,6
மூவரை_வென்றான்,"சாமி அது ஒரு பழைய கதைங்க... பொழுதிருந்தா இங்கனே குந்திக் கேளுங்க, சொல்றேன். சந்தோஷம் பெரியவரே.",12
மூவரை_வென்றான்,அதைத் தெரிந்துகொள்ள் வேண்டும் என்றுதானே நான் இங்கே வந்தேன்.,7
மூவரை_வென்றான்,சொல்லுங்கள் கேட்கிறேன். ஆவலோடு கடை வாசலில் போட்டிருந்த நீளமான பெஞ்சை மேல் துண்டால் தட்டிவிட்டு உட்கார்ந்தேன் நான்.,13
மூவரை_வென்றான்,எனக்கிருந்த ஆத்திரத்தில் எப்படியாவது கதை வந்தால் போதுமென்றிருந்தது.,6
மூவரை_வென்றான்,பெரியவரே ! என்று ஒரு முழு எட்டனாவை எடுத்து நீட்டினேன்.,7
மூவரை_வென்றான்,பெரியவர் என்னை ஒரு தினுசாக வியப்புத் தோன்றப் பார்த்தார்.,7
மூவரை_வென்றான்,"வெற்றின்ல், பாக்கு, புகையிலை, ஸோடா எல்லாம் பெஞ்சியில் எடுத்து வைத்தார்.",8
மூவரை_வென்றான்,நான் ஸோடாவை மட்டும் குடித்தேன்.,4
மூவரை_வென்றான்,கதை கேட்கத் தயாராகிற பாவனையாகப் பெஞ்சியில் சப்பணங்கூட்டி நிமிர்ந்து உட்கார்ந்துகொண்டேன்.,8
மூவரை_வென்றான்,அவருடைய தமிழ் மிகவும் கிராமியமாக இருப்பதால் இலக்கண சுத்தமான நடையில் மாற்றி உங்களுக்கு அதை நான் சொல்லிவிடுகிறேன்.,13
மூவரை_வென்றான்,"அந்தக் கிழவர் கூறியது எட்டனா விலைக்குத் தயார் செய்த கற்பனைச் சரக்கோ, அல்லது உண்மையேதானோ, எனக்குத் தெரியாது.",13
மூவரை_வென்றான்,அதற்கு நான் உத்திரவாதமும் அளிக்க முடியாது.,5
