work_title,sentence,sentence_length
தெய்வ_அரசு_கண்ட_இளவரசன்,தெய்வ அரசு கண்ட இளவரசன் பாவலர் நாரா.,6
தெய்வ_அரசு_கண்ட_இளவரசன்,"﻿தெய்வ அரசு கண்ட இளவரசன் நாரா நாச்சியப்பன் தமிழாலயம் இருநூற்று முப்பத்திரண்டு, பைகிராப்ட்ஸ் தெரு சென்னை பதினான்கு .",13
தெய்வ_அரசு_கண்ட_இளவரசன்,"முதற்பதிப்பு ஜூலை, விலை ரூ.",4
தெய்வ_அரசு_கண்ட_இளவரசன்,"அச்சிட்டோர் நாவல் ஆர்ட் பிரிண்டர்ஸ், சென்னை பதினான்கு .",6
தெய்வ_அரசு_கண்ட_இளவரசன்,உள்ளடக்கம் பதிப்புரை ஒன்று.,3
தெய்வ_அரசு_கண்ட_இளவரசன்,வீரர் குலம் விளங்கவந்த திருவிளக்கு இரண்டு.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,உண்மை தேடிப் புறப்பட்ட ஒளிமாணிக்கம் மூன்று.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,இன்பநிலை கண்டறிந்த புத்தபிரான் பதிப்புரை போதி மரத்தடியில் ஞான மடைந்த மாதவச் சுடர் மணிதான் புத்த பெருமான்.,13
தெய்வ_அரசு_கண்ட_இளவரசன்,பிறர் துயர் கண்டு பொறுக்காத அவருடைய நெஞ்சம்தான் தம் சுக போகங்களை யெல்லாம் துறந்து காட்டுக் கேகும்படி செய்தது.,14
தெய்வ_அரசு_கண்ட_இளவரசன்,﻿சிறுவர் சிறுமியார் விரும்பிப் படிக்கும் சிறந்த எழுத்தாளர்களிலே ஒருவர் திரு நாரா நாச்சியப்பன்.,10
தெய்வ_அரசு_கண்ட_இளவரசன்,வீரர் குலம் விளங்கவந்த திருவிளக்கு மாமன்னர் சுத்தோதனருடைய அரண்மனை விருந்துமண்டபம் கலகலப்பாக இருந்தது.,10
தெய்வ_அரசு_கண்ட_இளவரசன்,"சாக்கிய குலத்தின் வழிவந்த மாவீரர்களும், சுத்தோதன மாமன்னரின் நெருங்கிய உறவினர்களும்தான் அங்கு கூட்டியிருந்தனர்.",10
தெய்வ_அரசு_கண்ட_இளவரசன்,அன்று விருந்து வைக்க வேண்டும் என்று எவ்விதமான முன்னேற்பாடும் செய்யப்படவில்லை.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,எனவே உணவு வகைகள் சிறப்பாகத் தயாரிக்கப்படவில்லை.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,எதிர்பாராத விதமாக உறவினர்கள் அன்று கூடினர்கள்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,அப்போதைக்குச் செய்ய முடிந்த வரையில் உணவுகளைத் தயாரித்து அரண்மனைச் சமையல்காரர்கள் விருந்தை நடத்தி விட்டார்கள்.,11
தெய்வ_அரசு_கண்ட_இளவரசன்,விருந்து முடிந்து கூடத்தில் எல்லோரும் உட்கார்ந்திருந்தார்கள்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,எதிர்பாராது ஒன்று கடடிய தன் உறவினர்களுடன் அளவளாவிக் கொண்டு அமர்ந்திருந்தார் மாமன்னர்.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,"விருந்தினர்களிலே மாமன்னரின் தம்பிமார்கள் இருந்தார்கள், மைத்துனன்மார்கள் இருந்தார்கள்.",6
தெய்வ_அரசு_கண்ட_இளவரசன்,தூரத்து உறவினர்கள் இருந்தார்கள்.,3
தெய்வ_அரசு_கண்ட_இளவரசன்,"மாமன்னரின் படையிலும், அரண்மனை அலுவலிலும் அமர்ந்து பணியாற்றியவர்களும் இருந்தார்கள்.",7
தெய்வ_அரசு_கண்ட_இளவரசன்,எல்லோரும் வீரசாக்கிய குலத்திற் பிறந்த மறவர்கள்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,தோள்வலியிலும் வாள் வலியிலும் சிறந்த மாவீரர்கள்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,சாக்கிய குலத்தினரின் வெற்றிக்கொடி இறங்காது காத்து வரும் ஆண் சிங்கங்கள்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,கபிலவாஸ்துப் பேரரசைக் கட்டிக் காத்து நின்ற காளைகள்.,6
தெய்வ_அரசு_கண்ட_இளவரசன்,தன் உறவினர்கள் எல்லோரும் எதிர் பாராது ஒன்றுகட்டிய அந்த நிகழ்ச்சியை எண்ணி யெண்ணி இறும்பூதடைந்தார் சுத்தோதனர்.,12
தெய்வ_அரசு_கண்ட_இளவரசன்,இன்பமாகப் பேசிக்கொண்டிருந்த போது சுத்தோதனரின் கூடப்பிறந்த தம்பியொருவன் எதிர்பாராத விதமாக ஒரு பேச்சைக் கிளப்பினான்.,11
தெய்வ_அரசு_கண்ட_இளவரசன்,அவன் கேட்ட அந்தக் கேள்வி சுத்தோதனருடைய உள்ளத்திலே பெருஞ் சிந்தனையை உருவாக்கியது.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,மகிழ்ச்சியாகப் பேசிக் கொண்டிருந்த அவருடைய மனத்திலே ஒரு கலக்கம் ஏற்பட்டது.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,அந்தக் கலக்கத்தின் பிரதிபலிப்பு அவருடைய அகன்ற நெற்றியிலே சுருக்கங்களாக வெளிப்பட்டது.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,"அந்தக் கேள்வியை வேறு யாரும் கேட்டிருந்தால், அரசர் ஆணை பிறப்பதற்கு முன்னாலேயே அவர்கள் அப்புறப் படுத்தப்பட்டிருப்பார்கள்.",12
தெய்வ_அரசு_கண்ட_இளவரசன்,"ஆனால், கேட்டவர் மாமன்னருடைய கூடப் பிறந்த தம்பி என்பதால் யாரும் எவ்வித அசம்பாவிதமான செயலும் செய்யவில்லை.",12
தெய்வ_அரசு_கண்ட_இளவரசன்,அப்போது மாமன்னரின் தம்பியே கேட்டுவிட்டது கண்டு அவர்கள் மனத்திற்குள் திருப்தியடைந்தார்கள் என்றே சொல்லவேண்டும்.,10
தெய்வ_அரசு_கண்ட_இளவரசன்,பலபேருடைய மனத்தை உறுத்திநின்ற ஒரு கேள்வியை எந்தனை நாளைக்குத்தான் மூடி மறைத்து வைக்க முடியும்.,11
தெய்வ_அரசு_கண்ட_இளவரசன்,"அன்று மாமன்னரின் தம்பி கேட்காமல் விட்டு விட்டால், பிறகு, வேறொரு நாள் யாராவது ஒருவர் கேட்காமலா விட்டுவிடப் போகிறார்கள்.",14
தெய்வ_அரசு_கண்ட_இளவரசன்,அணைக்கடங்காத வெள்ளம் என்றாவது ஒரு நாள் உடைப்பெடுத்துக் கொள்ளத்தானே செய்யும்?,8
தெய்வ_அரசு_கண்ட_இளவரசன்,"அண்ணா, சித்தார்த்தன் பெரியவனாகி விட்டான்.",4
தெய்வ_அரசு_கண்ட_இளவரசன்,இன்னும் சின்னப் பிள்ளை போல் இருந்தால் என்னாவது?,6
தெய்வ_அரசு_கண்ட_இளவரசன்,"என்றும் அந்தப்புரமே கதியென்று கிடந்தால், சாக்கிய குலத்தின் வீரமெல்லாம் மங்கிப் போகாதா?",9
தெய்வ_அரசு_கண்ட_இளவரசன்,நான் துணிந்து சொல்வதற்காக மன்னிக்க வேண்டும்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,வீரனாக வளர வேண்டிய பிள்ளையை நீங்கள் அளவுக்கு மிஞ்சிச் செல்லம் கொடுத்து ஆகாவரியாக்கிக் கொண்டு வருகிறீர்கள் !,12
தெய்வ_அரசு_கண்ட_இளவரசன்,மூச்சு விடாமல் தம்பி கேட்ட கேள்வி சுத்தோதன மாமன்னரின் செவிவழியே புகுந்து சிந்தையைக் கலக்கியது.,11
தெய்வ_அரசு_கண்ட_இளவரசன்,அவர் பதில் ஏதும் பேசவில்லை சுத்தோதனரின் மனத்திரையில் பழைய நிகழ்ச்சிகள் எல்லாம் சித்திரப்படங்கள் போல் வரிசையாகக் காட்சியளிக்கத் தொடங்கின.,14
தெய்வ_அரசு_கண்ட_இளவரசன்,இரண்டு மனைவியர் இருந்தும் தனக்கு ஒரு பிள்ளை பிறக்கவில்லையே என்று சுத்தோதனர் கவலையோடிருந்த காலம் அது.,12
தெய்வ_அரசு_கண்ட_இளவரசன்,"ஒருநாள் மாயா தேவி அவரிடம் வந்து, தான் கண்ட கனவைப் பற்றிக் கூறியபோது அவர் எவ்வளவு உணர்ச்சி யடைந்தார்.",14
தெய்வ_அரசு_கண்ட_இளவரசன்,மாயாதேவியைச் சுற்றிலும் மக்கள் கூடி நின்றார்களாம்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,அவளைப் பார்த்து எல்லோரும் பயபக்தியோடு கையெடுத்துக் கும்பிட்டார்களாம்.,6
தெய்வ_அரசு_கண்ட_இளவரசன்,கடவுளைக் கண்டு விட்டதுபோல் அந்த மக்கள் முகங்களிலே ஆனந்தக்களை கூத்தாடியதாம்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,இப்படி ஒரு கனவு மாயாதேவி கண்டிருக்கிறாள்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,இந்தக் கனவுக்கு ஏதோ பொருள் இருக்க வேண்டும் என்று தோன்றியது சுத்தோதனருக்கு.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,மாயாதேவியை மக்கள் பலர் கூடி பய பக்தியோடு வணங்குவதென்றால் அதன் பொருள் என்ன?,10
தெய்வ_அரசு_கண்ட_இளவரசன்,மாயாதேவி மிக உயர்ந்த நிலையை அடையப் போகிறாள் என்று எடுத்துக் கொள்ளலாம்.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,"ஆனால், மாயாதேவி இப்போது தான் பேரரசியாக இருக்கிறாளே !",6
தெய்வ_அரசு_கண்ட_இளவரசன்,இதற்குமேல் ஒருநிலை அவளுக்கு எங்கே வரப்போகிறது?,5
தெய்வ_அரசு_கண்ட_இளவரசன்,சுத்தோதனர் நினைத்து நினைத்துப் பார்த்தார்.,4
தெய்வ_அரசு_கண்ட_இளவரசன்,அவர் அறிவுக்கு எதுவும் எட்டவில்லை.,4
தெய்வ_அரசு_கண்ட_இளவரசன்,"இந்தக் கனவின் பொருள் தெரியவேண்டும் என்றால், கற்ற பேரறிஞர்களையும் அனுபவத்தால் முதிர்ந்த பெரியார்களையும் அறிஞர்களையும் கேட்டுப் பார்த்தால்தான் ஆகும்.",14
தெய்வ_அரசு_கண்ட_இளவரசன்,நாட்டில் உள்ள சான்றோர்களையும் அறிஞர்களையும் பெரியவர்களையும் அவையிலே கூட்டினார் சுத்தோதனர்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,யாருக்கும் இந்தக் கனவின் பொருள் புரியவில்லை.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,ஒரு சிலர் சொன்ன பொருள் சரியென்று படவில்லை.,6
தெய்வ_அரசு_கண்ட_இளவரசன்,அர்த்தமில்லாத கனவாகவே அது போய்விடும் போலிருந்தது.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,கூட்டத்தின் இடையிலிருந்து ஒரு கிழவர் எழுந்து அரசர் முன்னே வந்து நின்றார்.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,அரசியை நோக்கி அவர் பேசினார்.,4
தெய்வ_அரசு_கண்ட_இளவரசன்,அருள் நிறைந்த அரசியே !,3
தெய்வ_அரசு_கண்ட_இளவரசன்,உன் கனவு மகிழ்ச்சிக்குரியதே !,3
தெய்வ_அரசு_கண்ட_இளவரசன்,உனக்கொரு பிள்ளை பிறக்கப் போகிறான்.,4
தெய்வ_அரசு_கண்ட_இளவரசன்,அந்தப் பிள்ளை பேராற்றல் பொருந்தியவனாக இருப்பான்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,இந்த அளவிற்குத் தான் நான் உறுதியாகக் கூறமுடியும்.,6
தெய்வ_அரசு_கண்ட_இளவரசன்,ஏனெனில் அவன் பெரியவனாவதற்கு இரண்டு வழிகள் இருக்கின்றன.,6
தெய்வ_அரசு_கண்ட_இளவரசன்,அரண்மனை வாழ்விலே அவன் நிலைத்திருந்தால் ஒரு பெரிய மாவீரனாகத் திகழ்வான்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,நாடுகள் பலவற்றை வென்று மிகப் பெரிய வெற்றி வீரனாக விளங்குவான்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,"ஆனால், அவன் கானக வாழ்வை நாடிச் செல்லவும் கூடும்.",7
தெய்வ_அரசு_கண்ட_இளவரசன்,அவ்வாறு சென்றாலும் உலகம் வணங்கும் ஓர் ஒப்பற்ற ஞானியாகத் திகழ்வான்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,உலகிற்கு வழிகாட்டும் ஓர் ஒளி விளக்காக விளங்குவான் என்று சொல்லிவிட்டு அந்தக் கிழவர் கூட்டத்திற்குள்ளே புகுந்து மறைந்துவிட்டார்.,13
தெய்வ_அரசு_கண்ட_இளவரசன்,அந்தக் கிழவர் சொல்லிய ஒவ்வொரு சொல்லும் மாயாதேவி கண்ட கனவுக்குச் சரியாகப் பொருந்தி யிருந்தன.,11
தெய்வ_அரசு_கண்ட_இளவரசன்,அவருக்குத் தகுந்த பரிசு கொடுக்க வேண்டும் என்று சுத்தோதனருக்குத் தோன்றியது.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,"ஆனால், அந்தப் பெரியவர் அகப்பட்டால் தானே !",5
தெய்வ_அரசு_கண்ட_இளவரசன்,"சுத்தோதனர் பிறகு இந்த நிகழ்ச்சியை மறந்துவிட்டாலும், மீண்டும் நினைத்துக் கொள்ளும்படியான நேரங்கள் எத்தனை முறை வந்து விட்டன.",13
தெய்வ_அரசு_கண்ட_இளவரசன்,ஒவ்வொரு முறையும் அவர் அடைந்த மனத் துயரத்திற்கு அளவுண்டா?,7
தெய்வ_அரசு_கண்ட_இளவரசன்,சரியாக ஓராண்டுக்குப் பிறகு நிறைந்த வயிற்றோடு மாயாதேவி தன் தாய்வீட்டுக்குப் புறப்பட்டாள்.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,அப்போது எவ்வளவு மகிழ்ச்சியோடு சுத்தோதனர் அவளைப் பல்லக்கில் ஏற்றி அனுப்பிவைத்தார் !,8
தெய்வ_அரசு_கண்ட_இளவரசன்,"ஆனால் போகும் வழியிலேயே, லும்பினி என்ற காட்டின் நடுவே மாயா தேவி பிள்ளையைப் பெற்றெடுத்தாள்.",11
தெய்வ_அரசு_கண்ட_இளவரசன்,இந்தச் செய்தியை அறிந்ததும் சுத்தோதனர் ஆவலோடு காட்டிற்கு விரைந்து சென்றார்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,தாயையும் பிள்ளையையும் அரண்மனைக்கு அழைத்து வந்தார்.,5
தெய்வ_அரசு_கண்ட_இளவரசன்,"என்ன அழகாக இருந்தது அந்தப் பிள்ளை, எத்தகைய கவர்ச்சி யிருந்தது அந்தப் பிள்ளையின் முகத்திலே.",11
தெய்வ_அரசு_கண்ட_இளவரசன்,"தன் பிள்ளை என்பதையும் மறந்து சுத்தோதனருடைய கைகள் தாமாகக் குவிந்து அந்தப் பிள்ளையை வணங்கினவே, அதன் பொருள் என்ன?",14
தெய்வ_அரசு_கண்ட_இளவரசன்,பிள்ளை பிறந்த ஏழாவது நாள் எதிர்பாராத விதமாக மாயாதேவி இறந்து போனாள்.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,அப்போது தான் சுத்தோதனருக்கு அந்தக் கிழவருடைய மொழிகள் நினைவுக்கு வந்தன.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,அவன் கானக வாழ்வை நாடிச் செல்லவும் கூடும் என்றாரே அந்தப் பெரியவர்.,9
தெய்வ_அரசு_கண்ட_இளவரசன்,தன் பிள்ளை கானக வாழ்வுக்காகப் பிறந்தவன் என்பதற்காகத் தானோ காட்டில் பிறந்தான்?,9
தெய்வ_அரசு_கண்ட_இளவரசன்,அவன் பந்த பாசமற்றவன் என்பதற்காகத் தானோ பிறந்தவுடன் தாயை இழந்தான்.,8
தெய்வ_அரசு_கண்ட_இளவரசன்,இப்படியெல்லாம் நினைக்க நினைக்க சுத்தோதனருடைய தலை சுழன்றது.,6
