work_title,sentence,sentence_length
வெற்றி_முழக்கம்,வெற்றி முழக்கம் நா.,3
வெற்றி_முழக்கம்,﻿வெற்றி முழக்கம் நா.,3
வெற்றி_முழக்கம்,உள்ளடக்கம் முன்னுரை ஒன்று.,3
வெற்றி_முழக்கம்,மாய யானை இரண்டு.,3
வெற்றி_முழக்கம்,கண்கள் பேசின மூன்று.,3
வெற்றி_முழக்கம்,விதி வென்றது நான்கு.,3
வெற்றி_முழக்கம்,திரை விலகியது ஐந்து.,3
வெற்றி_முழக்கம்,வயந்தகன் வந்தான் ஆறு.,3
வெற்றி_முழக்கம்,நருமதையின் மறுப்பு ஏழு.,3
வெற்றி_முழக்கம்,பழி கூறாப் பண்பு எட்டு.,4
வெற்றி_முழக்கம்,சாங்கியத் தாயின் கதை ஒன்பது.,4
வெற்றி_முழக்கம்,பொருந்தா ஆசை பத்து.,3
வெற்றி_முழக்கம்,கலை அரங்கேற்றம் பதினொன்று .,3
வெற்றி_முழக்கம்,உவகைத் திருவிழா பனிரண்டு .,3
வெற்றி_முழக்கம்,தலைநகர் தீப்பற்றியது பதிமூன்று .,3
வெற்றி_முழக்கம்,காப்பது என் கடன் பதினான்கு .,4
வெற்றி_முழக்கம்,சினமும் சிந்தனையும் பதினைந்து .,3
வெற்றி_முழக்கம்,பகை நடுவே பயணம் பதினாறு .,4
வெற்றி_முழக்கம்,வேகத்தில் விளைந்த சோகம் பதினேழு .,4
வெற்றி_முழக்கம்,பிடியின் வீழ்ச்சி பதினெட்டு .,3
வெற்றி_முழக்கம்,நெருங்கிய துன்பம் பத்தொன்பது .,3
வெற்றி_முழக்கம்,வேடர் கேடுகள் இருபது.,3
வெற்றி_முழக்கம்,சயந்தி நகரில் திருமணம் இருபத்து மூன்று.,5
வெற்றி_முழக்கம்,யூகியின் பயணம் இருபத்து நான்கு.,4
வெற்றி_முழக்கம்,நண்பர் சூழ்ச்சி இருபத்தைந்து.,3
வெற்றி_முழக்கம்,சோகமும் அசோகமும் இருபத்தாறு.,3
வெற்றி_முழக்கம்,விரிசிகையின் பேதைமை இருபத்தேழு.,3
வெற்றி_முழக்கம்,நலம் நாடிய சூழ்ச்சிகள் இருபத்தெட்டு.,4
வெற்றி_முழக்கம்,துயர வெள்ளம் இருபத்தொன்பது.,3
வெற்றி_முழக்கம்,துன்பத்தில் விளைந்த துணிவு முப்பது.,4
வெற்றி_முழக்கம்,மகத யாத்திரை முப்பத்தொன்று.,3
வெற்றி_முழக்கம்,இராசகிரிய நகரம் முப்பத்திரண்டு.,3
வெற்றி_முழக்கம்,பதுமாபதி வருகை முப்பத்து மூன்று.,4
வெற்றி_முழக்கம்,நளின நினைவுகள் முப்பத்து நான்கு.,4
வெற்றி_முழக்கம்,சிந்தை புகுந்த செல்வன் முப்பத்தைந்து.,4
வெற்றி_முழக்கம்,இருளில் நிகழ்ந்த சந்திப்பு முப்பத்தாறு.,4
வெற்றி_முழக்கம்,அரண்மனைத் தொடர்பு முப்பத்தேழு.,3
வெற்றி_முழக்கம்,கன்னி மாடத்தில் உதயணன் முப்பத்தெட்டு.,4
வெற்றி_முழக்கம்,பதுமையின் சினம் முப்பத்தொன்பது.,3
வெற்றி_முழக்கம்,காதலன் கலைநலம் நாற்பது.,3
வெற்றி_முழக்கம்,பகைவர் படையெடுப்பு நாற்பத்தொன்று.,3
வெற்றி_முழக்கம்,சோலைமலைத் திட்டம் நாற்பத்திரண்டு.,3
வெற்றி_முழக்கம்,மித்திர பேதம் நாற்பத்து மூன்று.,4
வெற்றி_முழக்கம்,தருசகன் புகழுரை நாற்பத்து நான்கு.,4
வெற்றி_முழக்கம்,ஓடினோர் கூடினர் நாற்பத்தைந்து.,3
வெற்றி_முழக்கம்,மறுபடியும் போர் நாற்பத்தாறு.,3
வெற்றி_முழக்கம்,கேகயன் மரணம் நாற்பத்தேழு.,3
வெற்றி_முழக்கம்,பதுமை கலங்கினாள் நாற்பத்தெட்டு.,3
வெற்றி_முழக்கம்,உதயணன் சம்மதம் நாற்பத்தொன்பது.,3
வெற்றி_முழக்கம்,இசைச்சன் திருமணம் ஐம்பது.,3
வெற்றி_முழக்கம்,பதுமையின் பாக்கியம் ஐம்பத்தொன்று.,3
வெற்றி_முழக்கம்,தம்பியர் வரவு ஐம்பத்திரண்டு.,3
வெற்றி_முழக்கம்,ஒற்றர் உரைத்தவை ஐம்பத்து மூன்று.,4
வெற்றி_முழக்கம்,புதியதொரு சூழ்ச்சி ஐம்பத்து நான்கு.,4
வெற்றி_முழக்கம்,சேனாபதி பதவி ஐம்பத்தைந்து.,3
வெற்றி_முழக்கம்,வெற்றி முழக்கம் ஐம்பத்தேழு.,3
வெற்றி_முழக்கம்,மீண்ட அரசாட்சி ஐம்பத்தெட்டு.,3
வெற்றி_முழக்கம்,நன்றியின் நினைவுச் சின்னம் ஐம்பத்தொன்பது.,4
வெற்றி_முழக்கம்,கோடபதி கிடைத்தது அறுபது.,3
வெற்றி_முழக்கம்,இழந்த பொருள்களின் வரவு அறுபத்தொன்று.,4
வெற்றி_முழக்கம்,மதுகாம்பீர வனம் அறுபத்திரண்டு.,3
வெற்றி_முழக்கம்,நிறைவேறிய நோக்கம் அறுபத்து மூன்று.,4
வெற்றி_முழக்கம்,பதுமையின் பெருந்தன்மை அறுபத்து நான்கு.,4
வெற்றி_முழக்கம்,பிரச்சோதனன் தூது அறுபத்தைந்து.,3
வெற்றி_முழக்கம்,யூகியின் புறப்பாடு அறுபத்தாறு.,3
வெற்றி_முழக்கம்,பந்தாடிய சுந்தரிகள் அறுபத்தேழு.,3
வெற்றி_முழக்கம்,மானனீகை மயக்கம் அறுபத்தெட்டு.,3
வெற்றி_முழக்கம்,உண்மை வெளிப்பட்டது அறுபத்தொன்பது.,3
வெற்றி_முழக்கம்,மானனீகை பிழைத்தாள் எழுபது.,3
வெற்றி_முழக்கம்,தூதுவர் வரவும் வேதனை அழிதலும் எழுபத்தொன்று.,5
வெற்றி_முழக்கம்,மந்தர முனிவர் வந்தார் எழுபத்திரண்டு.,4
வெற்றி_முழக்கம்,விரிசிகை திருமணம் எழுபத்து மூன்று.,4
வெற்றி_முழக்கம்,ஆசை பிறந்தது எழுபத்து நான்கு.,4
வெற்றி_முழக்கம்,வாசவதத்தையின் மயற்கை எழுபத்தைந்து.,3
வெற்றி_முழக்கம்,இயக்கன் வரவு எழுபத்தாறு.,3
வெற்றி_முழக்கம்,புதல்வன் பிறந்தான் எழுபத்தேழு.,3
வெற்றி_முழக்கம்,காலமெல்லாம் நிறைந்த களிப்பு எழுபத்தெட்டு.,4
வெற்றி_முழக்கம்,நரவாணன் நாடிய நங்கை எழுபத்தொன்பது.,4
வெற்றி_முழக்கம்,வேகவதியின் காதல் எண்பத்தொன்று.,3
வெற்றி_முழக்கம்,புண்ணிய விளைவுகள் ﻿முன்னுரை வெற்றி முழக்கம் ஓர் அழகிய பெருங்காப்பியத்தின் உரைநடைக் கதை.,10
வெற்றி_முழக்கம்,நான் செய்ததெல்லாம் அவற்றை நல்ல உரைநடையில் கதையாக்கிய வேலை ஒன்று மட்டும்தான்.,9
வெற்றி_முழக்கம்,"பாஸ கவியின் சொப்பன வாசவதத்தா, கொங்குவேளின் பெருங்கதை ஆகிய காவியங்கள் இந்தச் சுவையான கதையைக் கவிதையில் கூறுகின்றன.",13
வெற்றி_முழக்கம்,இவற்றில் தமிழிலுள்ள பெருங்கதை பிற்பகுதியில் சரியாக விளக்கம் பெறாததால் டாக்டர் உ.வே.சா.,11
வெற்றி_முழக்கம்,"ஐயரவர்கள் எழுதியுள்ள உதயணன் சரிதச் சுருக்கத்திலிருந்து குறிப்பிட்ட பகுதிக்கான கதையை, நடைமாறாமல் அப்படியே இங்கு எடுத்து அளிக்க நேர்ந்தது.",14
வெற்றி_முழக்கம்,இந்தக் கதையை உதயணன் வாசவதத்தை கதை என்ற பெயரில் சொன்னால் எல்லோருக்கும் புரியும்.,10
வெற்றி_முழக்கம்,"இதில் வருகிற யூகி, உருமண்ணுவா போன்ற உதயணனின் அமைச்சர்கள் புரிந்த அரசியல் சூழ்ச்சிகள் வியப்பையும் திகைப்பையும் ஊட்டுகின்றன.",13
வெற்றி_முழக்கம்,"யூகியின் செயல்களையும் திட்டங்களையும், இந்தக் காவியக்கதையில் படிக்கும்போது சாணக்கியனை நினைவு கூர்கிறோம்.",9
