work_title,sentence,sentence_length
பாரதிதாசன்_தாலாட்டுகள்,பாரதிதாசன் தாலாட்டுகள் புலவர் த.,4
பாரதிதாசன்_தாலாட்டுகள்,﻿ பாரதிதாசன் தாலாட்டுப் பாடல்கள் தொகுப்பு த.,6
பாரதிதாசன்_தாலாட்டுகள்,நாட்டுப்புறப் பாடல்கள் பல்வகை இசையிலும் பாங்குறப் பயின்றாலும் உலகில் உள்ள பாடல்களில் எல்லாம் தாலாட்டேமிகவும் பெருமிதமானதாகும்.,12
பாரதிதாசன்_தாலாட்டுகள்,காரணம் ஆண் பெண் அன்புறவில் தாய்மைக் குருதியின் உயிர்ச் சிற்பமன்றோ அது.,9
பாரதிதாசன்_தாலாட்டுகள்,வருகால உலகத்தை வாழ்விக்க வந்த மக்கட்பேற்றினைப் போன்ற ஒன்றினைச்சீராட்டிப் பாராட்டி செம்மையாக வளர்ப்பது தானே முறை.,12
பாரதிதாசன்_தாலாட்டுகள்,உயிரினத்திற்கு இயற்கை அளித்துள்ள கொடைகள் ஏராளம்.,5
பாரதிதாசன்_தாலாட்டுகள்,அவற்றுள் மனித இனம் போன்று சிறந்ததொன்றில்லை.,5
பாரதிதாசன்_தாலாட்டுகள்,அதில் குழந்தை என்பது ஓர் எதிர் காலத்தின் மகிழ்ச்சிப் பெருக்காகும்.,8
பாரதிதாசன்_தாலாட்டுகள்,இன்றைய குழந்தை நாளைய மாந்தன்.,4
பாரதிதாசன்_தாலாட்டுகள்,குழந்தைப் பருவமே புத்துணர்வும் புத்தெழுச்சியும் செவி வாயாகக் கொள்ளும் உணர்ச்சிப் பருவமாகும்.,9
பாரதிதாசன்_தாலாட்டுகள்,அந்தச் சின்னஞ்சிறு பருவத்தின் எழிலையும் ஏற்றத்தையும் குடும்பப் பெருமையும் நாட்டுப்புறப் பாடல்கள் இன்னிசையின் வடிவில் பென்னம் பெரியாதாயுள்ளங்களை தந்தன.,14
பாரதிதாசன்_தாலாட்டுகள்,எனவே அவரின் தாலாட்டுப்பாடல்கள் தனித்தன்மை பெற்றுத் தலைசிறந்து பெற்றோர்கள் வாயிலும் கற்றோர்கள் வாயிலும் முற்றுகை இட்டன.,12
பாரதிதாசன்_தாலாட்டுகள்,ஒவ்வொரு மாந்தனும் தன்மான உணர்வும் தன்ழுெச்சி கொண்டு விளங்கினால் அனைவரும் உறவினர் என்போம் வையம் வாழ வாழ் வோம்.,14
பாரதிதாசன்_தாலாட்டுகள்,அதற்குரியதனைத்தும் குழந்தையின் செவிநுகர் கனிகள்தாம் ஊட்டம் தரும்.,6
பாரதிதாசன்_தாலாட்டுகள்,"தாலாட்டின் தோற்றமும் வளர்ச்சியும், பண்பும் பயனும் காட்டும் அறிஞர் மு.",8
பாரதிதாசன்_தாலாட்டுகள்,அருணாசலம் அவர்தம் கட்டுரையும் பேரா.,4
பாரதிதாசன்_தாலாட்டுகள்,தமிழண்ணல் ஆய்வுரையும் இணைத்துள்ளேன்.,3
பாரதிதாசன்_தாலாட்டுகள்,பழமைப்பண்ணையில் புதுமையைவிதைத்த பாவேந்தரை அறிய அவை உதவும்.,6
