work_title,sentence,sentence_length
அம்புலிப்_பயணம்,அம்புலிப் பயணம் பேராசிரியர் ந.,4
அம்புலிப்_பயணம்,அம்புலிக்குப் பயணம் செய்வது அதனால் ஏற்படும் பயன்களை ஆராய்வது என்று இன்னபிற ஆராய்ச்சிகள் விரைந்து நடைபெறுகின்றன.,12
அம்புலிப்_பயணம்,"இங்ஙனம் திங்கள் மண்டிலம் பற்றிய ஆராய்ச்சிகள் வளர்ந்து வருவதுபோலவே, அது பற்றிய நூல்களும் பெருகலாயின.",11
அம்புலிப்_பயணம்,"எனவே, முள்னர் இளைஞர்.",3
அம்புலிப்_பயணம்,வானொலி இராக்கெட்டுகள் அதிசய மின்னணு இளைஞர் தொலைக்காட்சி ஆகிய அறிவியல் நூல்களை இயற்றிய பேராசிரியர் டாக்டர் ந.,13
அம்புலிப்_பயணம்,சுப்பு ரெட்டியார் அவர்கள் அம்புலிப் பயணம் என்னும் இந் நூலினையும் எழுதியுள்ளார்.,9
அம்புலிப்_பயணம்,அன்னாருக்குக் கழகத்தின் நன்றி என்றும் உரித்தாகும்.,5
அம்புலிப்_பயணம்,அம்புலிப் பயணம் பேருழைப்பிற்கும் பெருஞ் செலவிற்கும் உரித்தாயிருத்தலின் அமெரிக்க அறிவியலறிஞர்கள் அதனைத் தற்போது நிறுத்தி வைத்துள்ளனர்.,12
அம்புலிப்_பயணம்,"எனினும், உலைவிலாதுழன்று ஊழையும் உப்பக்கம் காணும்.",5
அம்புலிப்_பயணம்,அவர்கள் எதிர்காலத்தில் அம்புலிப் பயணத்தில் முழு வெற்றி காண்பர் என்பது திண்ணம்.,9
அம்புலிப்_பயணம்,"கழகவழி வெளிவந்துள்ள பேராசிரியர் சுப்பு ரெட்டியாரவர்களின் பிற நூல்களை ஆதரித்ததுபோலவே, தமிழகம் இதனையும் ஏற்றுப் போற்றும் என நம்புகிறோம்.",14
அம்புலிப்_பயணம்,சைவசித்தாந்த நூற்பதிப்புக் கழகத்தார்.,3
அம்புலிப்_பயணம்,இந்த முறையில் இந்த வரிசை நூல்கள் பெரும் பணியாற்றும் என்ற நம்பிக்கையுடையவன் நான்.,10
அம்புலிப்_பயணம்,பல்வேறு காரணங்களால் தவழ்ந்து வரக் காலந் தாழ்த்தது.,6
அம்புலிப்_பயணம்,இதுவும் இறையருள் போலும் !,3
அம்புலிப்_பயணம்,சுப்பையா பிள்ளை அவர்கட்கும் என் நெஞ்சு கலந்த நன்றி என்றும் உரியது.,9
அம்புலிப்_பயணம்,க்கும் என் நன்றி உரியது.,4
அம்புலிப்_பயணம்,ஐந்தாண்டுக் காலத்தில் டாக்டர் ரெட்டியார் அவர்கள் அதன் வளர்ச்சியை வீறுகொண்டெழச் செய்து அதன் தனி இருப்பை நாடறியச் செய்தார்.,14
அம்புலிப்_பயணம்,பதவி ஏற்ற நாலாண்டுக் காலத்திற்குள் இங்குப் பல புதிய துறைகளைப் பிறப்பித்தார்.,9
அம்புலிப்_பயணம்,முதுகயுடன் கூடிய தமிழ் ஆராய்ச்சித் துறையும் அவற்றுள் ஒன்று.,7
அம்புலிப்_பயணம்,"எஸ், கோவிந்தராஜுலுவை விசுவகர்மா என்றால் மூன்றாம் துணைவேந்தர் டாக்டர் ரெட்டியை மயன் என்று கூறலாம்.",11
அம்புலிப்_பயணம்,இவருடைய கடைக்கண் நோக்கு தமிழ்த்துறைபாலும் உண்டு.,5
