work_title,sentence,sentence_length
கேள்வி_நேரம்,கேள்வி நேரம் குழந்தைக் கவிஞர் அழ.,5
கேள்வி_நேரம்,﻿கேள்வி நேரம் தொகுத்தவர் குழந்தைக் கவிஞர் அழ.,6
கேள்வி_நேரம்,இதில் மொத்தம் பதினொன்று  பகுதிகள் உள்ளன.,5
கேள்வி_நேரம்,"ஒவ்வொரு பகுதியிலும், பெரியவர்களில் ஒருவர் கேள்வி கேட்க, மூன்று நான்கு சிறுவர், சிறுமியர் பதில் கூறுகிறார்கள்.",12
கேள்வி_நேரம்,"மொத்தம் பதினொன்று  பெரியவர்களும், முப்பத்தெட்டு சிறுவர் சிறுமியரும் பங்கு எடுத்துக் கொண்டுள்ளனர்.",9
கேள்வி_நேரம்,"வரலாறு, புவிஇயல், விஞ்ஞானம், விளையாட்டு, நுண்கலைகள், தலைவர்களைப் பற்றிய செய்திகள் எனப் பலவற்றையும் இப்புத்தக வாயிலாக அறியலாம்.",13
கேள்வி_நேரம்,"வெறும் கேள்வி பதிலாக இல்லாமல், விடைகளுடன் தேவையான விளக்கங்களையும் காணலாம்.",8
கேள்வி_நேரம்,இதிலுள்ள பகுதிகள் அனைத்தும் கோகுலம் மாத இதழில் தொடர்ந்து வெளி வந்தவையே.,9
கேள்வி_நேரம்,"பழனிவேலு உமா விஜி கனகசபை, யாழினி எஸ்.",6
கேள்வி_நேரம்,லிங்கராஜ் அலமேலு அழகப்பன் எஸ்.,4
கேள்வி_நேரம்,கே. சரவணன் பால நடராஜன் சி.,5
கேள்வி_நேரம்,"பத்மஜா, ம. இராஜலெட்சுமி, கி.",4
கேள்வி_நேரம்,சுப்பிரமணியன் டாக்டர் மா.,3
கேள்வி_நேரம்,"சூடாமணி குமார், சீதாராமன், ராஜேஸ்வரி, சுப்பிரமணியம், ஆனந்த் பி.",7
கேள்வி_நேரம்,"பத்மா கே. வரதராஜன், பமீலா நாராயணன், ஆர்.",6
கேள்வி_நேரம்,"மூன்று ஆயிரத்து எண்பத்தைந்து ஒன்று பொன்ராசன் பிள்ளைத் தமிழ் என்றால் என்ன, தெரியுமா?",10
கேள்வி_நேரம்,எங்களைப் போன்ற பிள்ளைகளுக்காக எழுதப்படும் தமிழ்தானே?,5
கேள்வி_நேரம்,"பொன் இல்லை, இல்லை.",3
கேள்வி_நேரம்,வேறு யாருக்காவது தெரியுமா?,3
கேள்வி_நேரம்,பழனிவேலு பிள்ளைத் தமிழ் என்றால் கடவுளைப் பிள்ளையாக வைத்துப் பாடியது என்று கேள்விப்பட்டிருக்கிறேன்.,10
கேள்வி_நேரம்,மீனாட்சியம்மை பிள்ளைத் தமிழ் என்பதுகூட அப்படிப்பட்டதுதானே?,5
கேள்வி_நேரம்,"கடவுளைப் பற்றி மட்டுமல்ல தங்களுக்கு விருப்பமான அரசர்கள், தலைவர்களைப் பற்றிக்கூடக் கவிஞர்கள் பாடியிருக்கிறார்கள்.",10
கேள்வி_நேரம்,"கம்பன் பிள்ளைத் தமிழ், காந்தி பிள்ளைத் தமிழ் என்றெல்லாம் பல பிள்ளைத் தமிழ் நூல்கள் உண்டு.",12
கேள்வி_நேரம்,"சரி, தமிழில் முதலாக வெளி வந்த நாவல் எது?",7
கேள்வி_நேரம்,அதை எழுதியவர் பெயர் என்ன?,4
கேள்வி_நேரம்,ராஜேஷ் பிரதாப முதலியார் எழுதிய வேத நாயகம் பிள்ளை சரித்திரம்.,8
கேள்வி_நேரம்,ராஜேஷ் மாற்றிச் சொல்லிவிட்டானே !,3
கேள்வி_நேரம்,வேதநாயகம் பிள்ளை எழுதிய பிரதாப முதலியார் சரித்திரம் என்பதுதானே சரியான விடை?,9
கேள்வி_நேரம்,கார்த்தியாயினி சரியாகச் சொல்லிவிட்டாள்... காந்தி திரைப்படம் பார்த்திருப்பீர்கள்.,6
கேள்வி_நேரம்,எத்தனை பேர் காயம் அடைந்திருப்பார்கள்?,4
கேள்வி_நேரம்,பழனி நாநூறு  பேர் இறந்திருப்பார்களா?,4
கேள்வி_நேரம்,ராஜாத்தி சமீபத்தில் நான் ஒரு புத்தகத்தில் படித்தேன்.,6
கேள்வி_நேரம்,"முன்னூற்று எழுபத்தொன்பது பேர் சுட்டுக் கொல்லப்பட்டதாகவும், ஓர் ஆயிரத்து இருநூறு  பேர் காயமடைந்ததாகவும் அதில் எழுதியிருந்தது.",12
கேள்வி_நேரம்,"பொன் சபாஷ் ராஜாத்தி, படித்ததை நன்றாக நினைவில் வைத்திருக்கிறாயே !...",7
கேள்வி_நேரம்,சென்னையில் கிரிக்கெட் டெஸ்ட் பந்தயங்கள் நடக்கும் ஸ்டேடியத்தின் பெயர் தெரியுமா?,8
கேள்வி_நேரம்,ராஜேஷ் எனக்குத்.தெரியும்.,3
கேள்வி_நேரம்,சென்னைப் பல்கலைக் கழகத்திற்குப் பக்கத்திலுள்ள சிதம்பரம் ஸ்டேடியத்தில்தான் கிரிக்கெட் டெஸ்ட் பந்தயங்கள் நடைபெறுகின்றன.,10
கேள்வி_நேரம்,உலகிலேயே அதிகமான பன்றிகள் உள்ள தேசம் எது?,6
கேள்வி_நேரம்,பொன் ராஜேஷ் மிகவும் சரியாகச் சொல்லி விட்டான்.,6
கேள்வி_நேரம்,கார்த்தியாயினி ராஜாஜி பொன் இல்லை.,4
