work_title,sentence,sentence_length
பாற்கடல்,"தனது முன்னோர்கள், அவர்கள் வாழ்வின் ஆதாரங்கள், நம்பிக்கைகள், லட்சியங்கள், ஆசா பாசங்கள், வாழ்க்கை முறை எப்படி இருந்தது?",13
பாற்கடல்,இப்போது எந்த அளவுக்கு இருக்கிறது?,4
பாற்கடல்,இந்தப் பாற்கடலில் நிறைந்திருக்கும் அமுதத் துளிகளைப் பருக வாருங்கள் என்று வாசகர்களை அன்போடு அழைக்கிறேன்.,11
பாற்கடல்,எனக்குப் பெயரைத் தேடித் தந்த கதைகளில் ஒன்று.,6
பாற்கடல்,பாற்கடலிலிருந்துதான் லக்ஷமி வந்தாள்.,3
பாற்கடல்,ஆலகால விஷம் வந்தது.,3
பாற்கடல்,கடைசியில் அமிர்தமும் வந்தது.,3
பாற்கடல்,யானையையும் குதிரையையும் இந்திரன் எடுத்துக் கொண்டான்.,5
பாற்கடல்,லசுஷ்மியை விஷ்ணு மார்பில் வைத்துக்கொண்டார்.,4
பாற்கடல்,சிவனுக்கு விஷம் பங்காயிற்று.,3
பாற்கடல்,கூடக் கடைந்த அசுரர்கள் ஏமாந்து போனார்கள்.,5
பாற்கடல்,ஏனெனில் தேவர்கள் நல்லவர்கள்.,3
பாற்கடல்,அளவுகோல் தேவாதி தேவனுடையது.,3
பாற்கடல்,நீ அவல் கொண்டு வா நான் உமி கொண்டு வருகிறேன்.,8
பாற்கடல்,இந்த நியாயம் அன்றிலிருந்தே வழங்கி வருகிறது.,5
பாற்கடல்,குஞ்சர குடும்பம் ஒரு பாற்கடல்.,4
பாற்கடல்,அதிலிருந்துதான் – பல்லவி தட்டாமான்லத் தாமரைப் பூ சுத்திச் சுத்திச் சுண்ணாம்பு.,9
பாற்கடல்,கிட்டவந்தால் குட்டுவேன் எட்டப் போனால் துப்புவேன்.,5
பாற்கடல்,ஏகலைவன் குருதக்ஷணையாகத் தன் கட்டை விரலைக் கொடுத்துத் தான் கற்ற வித்தையையும் குருவுக்கே சமர்ப்பித்துவிட்டான்.,11
பாற்கடல்,வேறெப்படி அர்ச்சுனன் முகத்தை குரு காப்பாற்றுவது?,5
பாற்கடல்,அன்றிலிருந்து இன்றுவரை நியாயங்கள் பாற் கடலின் பங்குகளாய்த்தான் நடைபெற்று வருகின்றன.,8
பாற்கடல்,வாழ்க்கையின் நியதியே அதுதான்.,3
பாற்கடல்,ஆகையால் சோர்வுக்கு இடங்கொடேல்.,3
பாற்கடல்,"அது கடலோ, பூமியோ, வானோ இயற்கைக்கு ஒரு செயல்தான் உண்டு.",8
பாற்கடல்,அது தான் விருத்தி எடுக்க எடுக்கப் பெருக்கம்.,6
பாற்கடல்,இறைக்க இறைக்க ஊற்று.,3
பாற்கடல்,"அதற்கென்று ஒரு தனிப் ப்ரக்ஞை இருந்தால் இயங்கிக்கொண்டிருப்பதுதான் என் வழி, என் மெய், என் உயிர், என் உண்மை.",14
பாற்கடல்,எவ்வளவு எடுத்தாலும் மிச்சம் நான் உண்டு.,5
பாற்கடல்,எவ்வளவு குறைந்தாலும் உன்னை எனக்கு அடை யாளம் தெரியாது.,7
பாற்கடல்,என்னையே எனக்குத் தெரியாது.,3
பாற்கடல்,எனக்கும் நான் வேண்டாம்.,3
பாற்கடல்,ஆனால் ஆரம்பம் நடு முடிவே அற்று நான் இருப்பதை என்னால் தவிர்க்க முடியாது.,10
பாற்கடல்,கேள்விகள்தான் பங்கின் பாஷை.,3
பாற்கடல்,அவருடைய தரத்தை யாரும் சரியாகத் தெரிந்து கொள்ளவில்லை.,6
பாற்கடல்,"தெரிந்து கொண்டவர், தெரிந்துகொண்டவரைப் பறைசாற்ற வில்லை.",5
பாற்கடல்,"செட்டியார் மிடுக்கா, சரக்கு மிடுக்கா என்ற முறையில்தானே பண்டம் விலை போகிறது !",9
பாற்கடல்,தம்பட்டம் வாழ்க்கையின் உயிர்நாடி.,3
பாற்கடல்,எனக்குப் பதினான்கு வயதிலிருந்து அவர் பழக்கம்.,5
பாற்கடல்,இடையிடையே எங்கள் தனித்தனி லெளகீகங்களில் எங்கள் பாதை பிரிந்ததெனினும் எங்கள் உறவுக்குப் பங்கம் இல்லை.,11
பாற்கடல்,கடைசியாக உத்யோக ரீதியில் தென் காசியில் இருந்தேன்.,6
பாற்கடல்,அது குற்றாலம் கிட்ட என்பதோடு சரி.,5
பாற்கடல்,தகவல் சட்டென்று எட்டாத இடம்.,4
பாற்கடல்,ஒய்வு பெற்று நான் சென்னை திரும்பிய பின்னர்தான் அவர் மறைவு பற்றி அறிந்தேன்.,10
பாற்கடல்,அப்படியென்றால் அவர் என் கட்டைவிரலைக் கேட்கவில்லை.,5
பாற்கடல்,நான் பிடித்துக் கொள்ளத் தன் விரலையும் எனக்குத் தரவில்லை.,7
பாற்கடல்,ஆனால் இந்த குரு சிஷ்ய பாவம் எனக்கு எப்பவுமே பிடிக்கும்.,8
பாற்கடல்,"எழுத்து, ஸங்கீதம் மாதிரி.",3
பாற்கடல்,அந்த பாவனையில் ஒரு க்ளாமர் காண்கிறேன்.,5
பாற்கடல்,அதற்காகவே அவரை நான் குருவாக வரித்தேன்.,5
பாற்கடல்,தன் துறையில் சாதனை புரிந்தவர்.,4
பாற்கடல்,என்னிலும் நன்கு மூத்தவர்.,3
பாற்கடல்,"அந்த நாளிலிருந்து வாடா ன்னு அன்புடன், உரிமையுடன் விளிப்பவர்.",7
பாற்கடல்,எனக்கு நாளுக்கு நாள் குறைந்துதானே போகிறார்கள் !,5
பாற்கடல்,ஆகையால் திஜ.ர.,3
பாற்கடல்,அந்த பாவனையே துணைக்குத் தோளைத் தொட்டுக்கொள்ளுவது போல.,6
பாற்கடல்,"வாத்யாரே, உங்கள் சிஷ்யன் ராகவன், தன் பிள்ளை பூனூலுக்கு உங்களுக்குப் பத்திரிகை அனுப்பினானா? பத்திரிகை என்ன?",12
பாற்கடல்,வீடு தேடி வந்து அழைத்துச் சென்று வேட்டி அங்கவஸ்திரமே போர்த்தினான்.,8
பாற்கடல்,உங்கள் சிஷ்யன் சங்கரநாராயணன்?,3
பாற்கடல்,டீக்காக உடுத்தும் ஆசாமி.,3
பாற்கடல்,மடிப்புக் கலைவதைக் கூடப் பொருட்படுத்தாது என்னைக் கண்டதும் நடுக்காரியாலயத்தில் அத்தனைபேர் நடுவில் காலில் விழுந்து நமஸ்கரித்தான்.,12
பாற்கடல்,அது அவனுக்கும் விளம்பரம் தான் என்றாலும் எனக்குப் பெருமையாகத்தானிருக்கிறது.,7
பாற்கடல்,இதில் ஏதோ கவிதை நயம் இல்லை?,5
பாற்கடல்,பூவோடு சேர்ந்த நாராக மணப்போம் என்று மனப் பூர்வமாக எண்ணினும் அதிலும் சூட்சுமமான சுய புராணம் வெளிப்படுகிறது.,13
பாற்கடல்,பக்கத்து இலைக்குப் பரிமாறச் சொன்னவனுக்கும் பாயசம் கிடைக்கிறது.,6
பாற்கடல்,"நன்றியுடன், அவர்களைப் பற்றிய நினைவுக்காகவே நன்றியுடன், அதுவே நம் சந்தோஷமாகப் பெரியோரைப் புகழ்வோம்.",10
பாற்கடல்,"நான் புகழும் பெரியோர்கள், அச்சிலோ, மேடை யிலோ, வேறெந்த சம்பிரதாய முறையிலோ பொது மக்கள் கவனத்திற்கு வந்திருக்கமாட்டார்கள்.",13
பாற்கடல்,தான் உண்டு தன் காரியமுண்டு.,4
பாற்கடல்,என்னுடைய பெரியவர்கள் அவர்கள் தான்.,4
பாற்கடல்,தங்கள் பிரஸ்ன்ன வாஸ்த்தை இங்கேயே விட்டுச் சென்றவர்கள்.,6
பாற்கடல்,செயல் என்னவோ ஒன்றுதான்.,3
பாற்கடல்,ஆனால் நாளடைவில் வெறும் சாதகவாயிலாகவே எழுத்துக்கு ஒரு செருக்குச் சேர்ந்துவிடுகிறது.,8
பாற்கடல்,ரோசனப் பிசுக்கு இருக்கட்டும்.,3
பாற்கடல்,புவனமென்னும் இந்தப் பெரிய வாத்ய ஸம்மேளனத்தில் இங்கே தொட்டதெல்லாம் வாத்யம்.,8
பாற்கடல்,எழுத்தாளனுக்கு இல்லாத பங்கா?,3
பாற்கடல்,நான் இருக்கிறேன் இதுவே புவனகீதம்.,4
பாற்கடல்,"இதைப் பாடுவது ஜீவனுக்கு ஏற்பட்ட வாய்ப்பு, பாக்கியம்.",6
பாற்கடல்,"அவர் விதித்த மீட்டருக்குள், ஏன், எந்த மீட்டருக்குள்ளும் எங்கள் வீடு அடங்காது.",9
பாற்கடல்,ஆதலால் அவர் அழைப்பை நான் ஏற்கவில்லை.,5
பாற்கடல்,ஆனால் அந்தத் தலைப்பு கடுக்க ஆரம்பித்து விட்டது.,6
பாற்கடல்,அதற்குரிய பாதிப்பையும் விளைவித்தது.,3
பாற்கடல்,அந்த அடிப்படையில் கலைஞன் பதிப்பகம் திரு மாசிலாமணி சொன்னார் உங்கள் எழுத்துலகத்தைப் பற்றி நீங்களே ஏன் எழுதக்கூடாது?,13
பாற்கடல்,நம்முடைய இருபத்துஐந்து வருடத் தொடர்பில் அதுபற்றி நாம் எவ்வளவு பேசியிருப்போம் !,8
பாற்கடல்,வேணுமானால் நானே அவ்வப்போது அடியெடுத்துக் கொடுக்கிறேன்.,5
பாற்கடல்,கணிசமான ஒரு புத்தகத்துக்கு விஷயமிருக்கிறது.,4
பாற்கடல்,நானே அதை வெளியிடுகிறேன். நல்ல யோசனைதான்.,5
பாற்கடல்,ஆனால் கதை அல்லாத நீண்ட பாடு எனக்கு ஒரு புது அனுபவம்.,9
பாற்கடல்,எப்பவுமே நேரிடையாகப் புத்தகத்தில் இறங்குவது எனக்குச் சுலபமாக இல்லை.,7
பாற்கடல்,பாதிக்கிணறு தாண்டலில் சில முயற்சிகள் இன்னும் முடிவுறாமல் நிற்கின்றன.,7
பாற்கடல்,முதலில் அத்தியாயமாகப் பார்க்கக் கிடைக்கட்டும்.,4
பாற்கடல்,புத்தகம் தன்னை கவனித்துக் கொள்ளும்.,4
பாற்கடல்,இந்த அத்தியாய வாய்ப்பு அமுதசுரபியில் நேர் வதற்கு ஒரு நியாயமிருக்கிறது.,8
பாற்கடல்,சுரபியின் பிறப்பிதழில் என் கதை வெளியாயிற்று.,5
பாற்கடல்,குழந்தையின் தொட்டிலை ஆட்டியவர்களில் நான் ஒருவன்.,5
பாற்கடல்,சுரபிக்கும் எனக்கும் நீண்ட சொந்தம்.,4
பாற்கடல்,ஒருகாலத்தில் அமுதசுரபியின் ஆஸ் தான எழுத்தாளன் என்றே எனக்குப் பேர் உண்டு.,9
