work_title,sentence,sentence_length
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,முற்போக்கு இயக்கங்களின் முன்னோடி நா.,4
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,முற்போக்கு இயக்கங்களின் முன்னோடி பேராசிரியர் நா.,5
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,முற்போக்கு இயக்கங்களின் முன்னோடி ஒன்பது இணைப்பு ஒன்று.,6
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,வ.உ.சி.,3
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,நூல்கள் நாற்பத்தொன்று இரண்டு.,3
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,சுதேசி ஸ்டீம் நாவிகேஷன் கம்பெனி நாற்பத்திரண்டு மூன்று.,6
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,நாளேடுகளில் செய்திகள் நாற்பத்தேழு நான்கு.,4
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,வரலாறு படைத்த வ.உ.சி.,5
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,வாழ்க்கை ஐம்பது ﻿பதிப்புரை விடுதலைப் போராட்டத்தின் வரலாறாக வாழ்ந்து காட்டிய வீர மறவர்கள் பலர் தமிழகத்தில் பிறந்திருக்கின்றார்கள்.,13
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,"ஆனால், விடுதலை உணர்வுக்கு வித்திட்டுத் தமிழகத்தினரைத் தட்டியெழுப்பிப் போராட்டகளத்திற்கு அழைத்துச் சென்ற பெருமை வ.உ.",12
வ._உ._சி._முற்போக்கு_இயக்கங்களின்_முன்னோடி,சிதம்பரனார் அவர்களையே சாரும்.,3
