work_title,sentence,sentence_length
மனத்தின்_தோற்றம்,மனத்தின் தோற்றம் பேரா.,3
மனத்தின்_தோற்றம்,"இரண்டாம் தெரு, வேங்கடங்கர் புதுச்சேரி அறுநூற்று ஐந்து ஆயிரத்து பதினொன்று .",8
மனத்தின்_தோற்றம்,﻿முன்னுரை மனத்தின் தோற்றம் என்னும் இந்த நூல் பதினாறு ஆய்வுக் கட்டுரைகளின் தொகுப்பாகும்.,10
மனத்தின்_தோற்றம்,"இவற்றுள், முதல் கட்டுரையாகிய மனத்தின் தோற்றம் என்பதே நூலுக்குப் பெயராகச் சூட்டப் பெற்றுள்ளது.",10
மனத்தின்_தோற்றம்,இதற்காக நாம் சோர்ந்து விடக் கூடாது.,5
மனத்தின்_தோற்றம்,கதை படிக்கும் எளிய பயிற்சி நிலையிலேயே வைத்து நிலையாக மக்களைப் பழக்கி விடலாகாது.,10
மனத்தின்_தோற்றம்,கதையல்லாத மற்ற ஆய்வுச் செய்திகளையும் படிக்கும் பொறுமையினையும் படித்துச் சுவைக்கும் திறனையும் வளர்த்துவிட வேண்டியது நம் போன்றோர் கடமையாகும்.,14
மனத்தின்_தோற்றம்,"கதையல்லாத ஆய்வுச் செய்திகளைப் படிப்பதால், பல்வேறு செய்திகளைப் பற்றி அறிந்து பயன்பெறும் வளமான வாய்ப்பு பெறப்படும்.",12
மனத்தின்_தோற்றம்,கட்டுரைகள் உருப்பெறப் பல மேற்கோள் நூல்கள் துணைபுரிந்துள்ளன.,6
மனத்தின்_தோற்றம்,"இந்நூல்களால், பழந்தமிழ் அறிஞர்கள் பல துறைகளில் பெற்றுள்ள அறிவுவளம் அறியவரும்.",8
மனத்தின்_தோற்றம்,எனது நூலையும் வரவேற்று வாழ்த்து நல்க வேண்டு கிறேன்.,7
மனத்தின்_தோற்றம்,நூலை நன்முறையில் அச்சிட்டுத் தந்த சிதம்பரம் சபாநாயகம் அச்சகத்தாருக்கு நன்றி செலுத்துகிறேன்.,9
மனத்தின்_தோற்றம்,அன்பன் சுந்தர சண்முகன் பொருளடக்கம் பக்கம் ஒன்று.,6
மனத்தின்_தோற்றம்,கம்பரின் தமிழ்ப் படலம் நாற்பத்தாறு ஐந்து.,5
மனத்தின்_தோற்றம்,குற்றாலத்திற்கு ஒரு குறவஞ்சி எண்பத்தைந்து எட்டு.,5
மனத்தின்_தோற்றம்,தமிழ் வளர்ச்சிக்கு இலக்கணப் புலவர்களின் நன்கொடை நூற்றி ஒன்று ஒன்பது.,8
மனத்தின்_தோற்றம்,தமிழ் வளர்ச்சிக்கு மொழியியலாரின் பங்கு நூற்றி ஒன்பது பத்து.,7
மனத்தின்_தோற்றம்,பிரபுலிங்கலீலை ஒர் அறிமுகம் நூற்றி இருபத்திரண்டு பதினொன்று .,6
மனத்தின்_தோற்றம்,மணிமேகலையில் பழக்க வழக்க மரபுகள் நூற்றி எழுபத்தொன்று பதிமூன்று .,7
மனத்தின்_தோற்றம்,திராவிட மொழிகளில் சில சொல்லாட்சிகளும் சொற்சுவைகளும் நூற்றி தொன்னூற்றொன்பது பதினைந்து .,8
மனத்தின்_தோற்றம்,சிலம்பில் இரு குரவைகள் இருநூற்று பதிமூன்று  பதினாறு .,6
மனத்தின்_தோற்றம்,மனத்தின் தோற்றம் உயிரின் தோற்றம் போலவே மனத்தின் தோற்றமும் ஆராயத்தக்கது.,8
மனத்தின்_தோற்றம்,"மனம், புத்தி அகங்காரம், சித்தம், என நான்கு உட்கருவிகள் இருப்பதாக இந்தியத் தத்துவவாதிகள் சிலர் கூறுகின்றனர்.",12
மனத்தின்_தோற்றம்,"மனம் என்பது நெஞ்சில் இருப்பதாக அப்பாவிகள் சிலரும், மனம் என்பது இதயத்தில் இருப்பதாக வேறு சிலரும் எண்ணிக் கொண்டிருக்கின்றனர்.",14
மனத்தின்_தோற்றம்,ஆன்மாவே மனம் என்பது சிலரது கருத்து.,5
மனத்தின்_தோற்றம்,மனம் ஒரு தனிப் பொருள் அது மூளையில் தங்கியிருக்கிறது என்பர் சிலர்.,9
மனத்தின்_தோற்றம்,உடலிலேயே ஏற்படும் ஒரு வகை உணர்ச்சியே மனம் என்பது ஒரு சாரார் கருத்து.,10
மனத்தின்_தோற்றம்,மனம் ஒர் அணு என்பர் சிலர்.,5
