work_title,sentence,sentence_length
மாபாரதம்,மாபாரதம் பேராசிரியர் டாக்டர் ரா.,4
மாபாரதம்,"சீனிவாசன் எம்.ஏ., எம்.லிட்., பிஎச்.",6
மாபாரதம்,"சீனிவாசன் வெளியீடு வெளியீடு அணியகம் ஐந்து, செல்லம்மாள் தெரு, செனாய் நகர், சென்னை முப்பது.",11
மாபாரதம்,உள்ளடக்கம் பக்கம் ஒன்று.,3
மாபாரதம்,தமிழ் இன்பம் தோன்றும்படி அவற்றைத் தம் கவிதை யாற்றலால் சுவைபடத் தந்துள்ளனர்.,9
மாபாரதம்,"அதனால் இப் படைப்புகள் மூல நூலில் உள்ள கதையும், தமிழ்க் கவிதையும் கலந்து மாபெரும் காப்பியங்களாகத் திகழ் கின்றன.",14
மாபாரதம்,இவையே இன்று மேடைகளிலும் அரங்குகளிலும் செவி நுகர் கணிகள் என்று பேசப்படுகின்றன.,9
மாபாரதம்,வில்லி பாரதமும் பட்டி தொட்டிகளில் பாரதப் பிரசங்கங்களாகப் பேசப்பட்டது.,7
மாபாரதம்,வில்லி பாரதம் இக் கதையினை மாபாரதம் என்ற தமிழ்ப் பெயராலேயே அழைக்கிறது.,9
மாபாரதம்,மற்றும் வட மொழிப் பெயர்களைத் தமிழ்ப்படுத்தித் தந்துள்ளது.,6
மாபாரதம்,கர்ணன் என்பதைக் கன்னன் என்று வழங்குகிறது.,5
மாபாரதம்,பீஷ்மன் என்பதை வீடுமன் என்றே வழங்குகிறது.,5
மாபாரதம்,காரணம் வட சொற்களைத் தமிழில் சொல்லும்போது தமிழ் ஒசைபட அமைய வேண்டும் என்பது மொழியியல்பு.,11
மாபாரதம்,எனவே தமிழின்பம் தோன்றச் சந்த ஒசைபட எழுதப்பட்ட இந் நூல் பெரிதும் போற்றப்பட்டு வருகிறது.,11
மாபாரதம்,வில்லியும் வியாச பாரதத்தைக் கற்றவர்தான்.,4
மாபாரதம்,அவருக்குக் கிடைத்த ஏட்டுச் சுவடி எதுவோ அதுவே அவருக்கும் மூலநூலாக அமைந்து இருக்க வேண்டும்.,11
மாபாரதம்,அதைப் பின் பற்றிக் கதையைச் சொல்கிறார்.,5
மாபாரதம்,புதை பொருள் ஆராய்வது போல அதை வெளியிட்டிருக்கிறார்கள்.,6
மாபாரதம்,வில்லிபாரதம் தெளிவாக ஆற்றொழுக்காகக் கதையை இயக்குகிறது.,5
மாபாரதம்,அதனையே பின்பற்றி இங்கு எழுதப்பட்டதால் கதை தெளிவாகக் கூறமுடிந்தது.,7
மாபாரதம்,"வில்லிபுத்துரார் கன்னன் முடிவும், துரியன் முடிவும் கூறிக் கதையை முடித்துவிடுகிறார்.",8
மாபாரதம்,மூல நூல் மற்றும் எட்டுப்பருவங்களில் அவர்கள் பரலோக யாத்திரை மற்றும் ஒவ்வொருவர் மரணம் பற்றியும் கூறுகிறது.,12
மாபாரதம்,கீதை உபநிடதத்தின் சாரம் அது இடம் பெற்றிருப் பது பாரதத்துக்குப் பெருமை சேர்க்கிறது.,10
மாபாரதம்,இராமயணம் லட்சிய மாந்தர்களைப் படைத்துத் தருகிறது பாத்திரப் படைப்புகள் மகத்தானவை.,8
மாபாரதம்,பாரதம் கதை நிகழ்ச்சிகளால் சிறப்பு உடையது.,5
மாபாரதம்,பாத்திரப்படைப்புக்கு முதலிடம் தரவில்லை கருத்துரைகள் மிகுதியும் தருகிறது கதை நிகழ்ச்சிகள் இன்றைய நடைமுறைக்கு வழிகாட்டுவன ஆகும்.,12
மாபாரதம்,சூது தீது தாயவழக்குகள் அழிவைத்தரும் பெண்ணடிமை கூடாது தவறுகள் வாழ்க்கைக்குத் தடை இல்லை என்பது போன்ற கருத்துகள் உள்ளன.,14
மாபாரதம்,கதையின் கருவே பாஞ்சாலி சபதம்தான் எனினும் அறிவு அற்றம் காக்கும் கருவி என்பதை பாரதம் காட்டுகிறது.,12
மாபாரதம்,நல்லவனாகவும் வல்லவனாகவும் மட்டும் இருந்தால்போதாது அறிவு உடையவனாகவும் இருக்க வேண்டும் என்ற மூன்றாவது தத்துவத்தை உணர்த்துகிறது.,12
மாபாரதம்,அதனால் இது மிகவும் பயனுடைய நூலாகும்.,5
மாபாரதம்,இதனை உரைநடையாக எழுதும் போது ஓர் அரிய சாதனையைச் செய்யவேண்டும் என்று முயன்றேன்.,10
மாபாரதம்,பச்சையப்பன் கல்லூரியில் பேராசிரியாகப் பணியாற்றும் போது கிடைத்த அறிவும் அனுபவமும் பெரிதும் பயன் பட்டன.,11
மாபாரதம்,அண்மையில் இரண்டு ஆண்டுகளாக இவற்றை எழுதும் முயற்சியில் ஈடுபட்டேன்.,7
மாபாரதம்,ஏட்டில் படித்தவர்கள் இவை பயன் உடையவை என்று எடுத்துக் காட்டினர்.,8
மாபாரதம்,தமிழ் மாணவனாகத் தொடங்கி ஆசிரியப் பணியும் ஏற்று யான் ஆய்வு நூல்களையும் படைப்பு நூல்களையும் ஒரு சில வெளியிட்டிருக்கிறேன்.,14
மாபாரதம்,எழுத்தில் தமிழ் இயல் அமைக்க முடிந்தது.,5
மாபாரதம்,இதை விமரிசனம் செய்யும் உரிமை எனக்கு இல்லை வாசகர்க்கே உண்டு.,8
மாபாரதம்,புதுக்கல்லூரிப் பேராசிரியர் டாக்டர் நா.,4
மாபாரதம்,பாண்டுரங்கம் அவர்கள் பத்து ஆண்டுகளுக்கு முன் என்னை ஊக்குவித்தார்.,7
மாபாரதம்,உம்முடைய நடை எளிமையும் எழிலும் கொண்டது அதைப் பயன்படுத்தித் தொடர்ந்து எழுத வேண்டும் என்றார்.,11
மாபாரதம்,அவ் ஊக்கம் என்னைக் கெளரவித்தது ஆக்க பூர்வமான பணி செய்துள்ள மன நிறைவோடு இந்நூலை வெளியிடுகின்றேன்.,12
மாபாரதம்,﻿மா பாரதம் ஒன்று.,3
மாபாரதம்,குரு குல மரபினர் மன்னர்கள் மற்றவர்களைப் போல் உதிரிப் பூக்கள் அல்லர்.,9
மாபாரதம்,"அது போல மா மன்னர்கள் சூரிய வம்சம் என்றும், சந்திர வம்சம் என்றும் கூறப்படுகின்றனர்.",11
மாபாரதம்,சந்திரனே இக்குலத்தில் தோன்றிய முதல் அரசன் என்று கதை தொடங்குகிறது.,8
மாபாரதம்,அவனுக்குப் பின்னர்ப் பெயரும் புகழும் படைத்த பெரு நில மன்னர்கள் வரலாறு சில அறியக் கிடைக்கின்றன.,12
மாபாரதம்,இவர்கள் குலம் குருகுலம் என்று அழைக்கப்படுகிறது.,5
