work_title,sentence,sentence_length
அண்ணா_சில_நினைவுகள்,இரண்டு மாதங்கட்கு முன்புவரை இப்படி ஒரு நூல் எழுதுவேன் என நான் எண்ணியதில்லை.,10
அண்ணா_சில_நினைவுகள்,அதனைப் பதிப்பித்தால் போதும் என்று விரும்பினேன்.,5
அண்ணா_சில_நினைவுகள்,நட்பின் செல்வர் மூவேந்தர் முத்து அப்பணியினைத் தாமே விழைந்து ஏற்றுக்கொண்டார்.,8
அண்ணா_சில_நினைவுகள்,சிற்சில திருத்தங்களுடன் அஃது இப்போது அச்சாகி வருகின்றது.,6
அண்ணா_சில_நினைவுகள்,சென்ற அன்று என்னுடைய ஆவது பிறந்தநாள்.,5
அண்ணா_சில_நினைவுகள்,"அண்ணா வழியில் அதே நோய்க்கு ஆளாகி எதிர்காலத்தைக் கணிக்க இயலாச் சூழ்நிலையில், நாட்களை நகர்த்தி வருகிறேன் நான்.",13
அண்ணா_சில_நினைவுகள்,"அருமைத் தோழர்களான மூவேந்தர் முத்து, நல்லரசு, நம்மாழ்வார், தமிழ்ப்பித்தன், தி.",8
அண்ணா_சில_நினைவுகள்,"மெய்கண்டார், மாமூலன், பூங்கொடி சுப்பய்யா, பி.",5
அண்ணா_சில_நினைவுகள்,"இராசேந்திரன் ஆகியோர் என்னை வற்புறுத்தவே, வேறு வழியின்றி, எழுதுவதாக வாக்குறுதி வழங்கினேன்.",9
அண்ணா_சில_நினைவுகள்,என் வலது கட்டை விரலில் பொறுக்கவொண்ணா வலி இருப்பதெல்லாம் அவர்களுக்குத்தெரியாது.,8
அண்ணா_சில_நினைவுகள்,என் புறத்தோற்றம் இப்போதும் நன்றாகவே உள்ளது.,5
அண்ணா_சில_நினைவுகள்,ஆனால் நான்கு பெரிய நோய்களின் நிலைக்களனாக என் உடல் போராடிக் கொண்டிருக் கின்றது.,10
அண்ணா_சில_நினைவுகள்,எனினும் நோய்களின் மருட்டுதலை மறக்க எழுத்து உதவட்டுமே !,6
அண்ணா_சில_நினைவுகள்,அண்ணா அவர்களிடம் இருபத்தேழு ஆண்டுகள் நெடிய தொடர்பு எனக்கு உண்டு.,8
அண்ணா_சில_நினைவுகள்,இருப்பினும் அண்ணா அவர்களைப்பற்றி இம்மாதிரியான ஒரு நூல் எழுதிட நான் தயங்கினேன்.,9
அண்ணா_சில_நினைவுகள்,"எழுத்தாளர்களான தம்பி அரங்கண்ணலும், நண்பர் தில்லைவில்லாளனும் அண்ணாவிடம் குருகுலவாசம் செய்தவர்கள்.",8
அண்ணா_சில_நினைவுகள்,வீட்டுப் பிள்ளையான தம்பி டாக்டர் பரிமளமும் எழுதத் தெரிந்தவர்.,7
அண்ணா_சில_நினைவுகள்,அண்ணாவின் அருமைத் தம்பிமார்களில் எழுதுந் திறனும் தகுதியும் உடையார் புலர் இன்னும் இருக்கின்றார்கள்.,10
அண்ணா_சில_நினைவுகள்,"இவர்களெல்லாரும் எழுத முனையாதபோது, நாம் அண்ணா சில நினைவுகள் எழுதலாமா?",8
அண்ணா_சில_நினைவுகள்,"நவம்பர் திங்கள் முழுவதும் என் நினைவாற்றலை நன்கு தூண்டிவிட்டு, நாள்தோறும் முற்பகல் ஒன்றும், பிற்பகல் ஒன்றுமாக எழுதினேன்.",13
அண்ணா_சில_நினைவுகள்,எழுதி முடித்த பின் என் துணைவியாருக்கு மட்டும் படிக்கத் தருவேன்.,8
அண்ணா_சில_நினைவுகள்,"அவர்கள் முகத்தில் நிறைவைக் கண்டதும், தலைப்புச் சூட்டுவேன்.",6
அண்ணா_சில_நினைவுகள்,பின்னர் இருமுறை படித்துப் பார்த்து நானே முழுநிறைவு பெறும்வரை திருத்தங்கள் செய்வேன்.,9
