work_title,sentence,sentence_length
கம்பராமாயணம்_(உரைநடை),கம்பராமாயணம் டாக்டர் ரா.,3
கம்பராமாயணம்_(உரைநடை),"சீனிவாசன் பொருள் இலக்கியம் பதிப்பகம் அணியகம், ஐந்து, செல்லம்மாள் தெரு, செனாய் நகர், சென்னை முப்பது.",12
கம்பராமாயணம்_(உரைநடை),தொலைபேசி ஆறு மில்லியன் நாநூற்று எழுபத்தொன்பது ஆயிரத்து எழுநூற்று எழுபத்திரண்டு.,8
கம்பராமாயணம்_(உரைநடை),தொன்னூறு அச்சகம் மைக்ரோ அச்சகம் சென்னை இருபத்தொன்பது.,6
கம்பராமாயணம்_(உரைநடை),கம்பர் காவியத்துக்கே அவர் எடுத்தாளும் சொற்கள் தனிச் சிறப்பைத் தருகின்றன.,8
கம்பராமாயணம்_(உரைநடை),செஞ் சொற் கவி இன்பம் அவர் ஊட்டியது.,6
கம்பராமாயணம்_(உரைநடை),அவ்வின்பம் சிறிதும் குறையாது உரைநடையில் இந்நூல் படைக்கப்பட்டுள்ளது.,6
கம்பராமாயணம்_(உரைநடை),கம்ப ராமாயணக் கதை மட்டும் எடுத்துக் கூறுவது இவ்வுரைநடை நூல்.,8
கம்பராமாயணம்_(உரைநடை),கதைக் கோவை கெடாமல் நிகழ்ச்சிகளைச் சித்திரிக்கிறது இந்நூல் உரைநடை இதற்குத் தனிச்சிறப்புத் தருகிறது.,10
கம்பராமாயணம்_(உரைநடை),சில பதிப்புகளைக் கண்ட இந்நூல் அழகாக அச்சிடப்பட வேண்டும் என்ற முயற்சி எடுத்துக் கொள்ளப்பட்டது.,11
கம்பராமாயணம்_(உரைநடை),ஒளி அச்சில் தக்கதாளில் இந்நூல் வெளிவருகிறது.,5
கம்பராமாயணம்_(உரைநடை),இந்நூல் தரம் மிக்கதாக அமைய எல்லா முயற்சிகளும் எடுத்துக் கொள்ளப்பட்டன.,8
கம்பராமாயணம்_(உரைநடை),எம் வெளியீடுகள் சில இலக்கியப் பின்புலம் கொண்டவை அவை நிலைபேறு பெறத்தக்கவை என்பதால் மறுபதிப்புக் காண்கின்றன.,12
கம்பராமாயணம்_(உரைநடை),இவரின் புதுமுயற்சி வெற்றிபெற்றுள்ளது என்று தான் கூற வேண்டும்.,7
கம்பராமாயணம்_(உரைநடை),தெளிவான சிறந்த சொல்லாட்சி ஆசிரியரின் வெற்றிக்கு அடிப்படைக் காரணமாகும்.,7
கம்பராமாயணம்_(உரைநடை),இன்றியமையாத தருணங்களில் மட்டுமே கவிதை வரிகள் கண் சிமிட்டுகின்றன.,7
கம்பராமாயணம்_(உரைநடை),மற்றபடி நூலெங்கும் உரைநடை ராஜ நடை போடுகிறது.,6
கம்பராமாயணம்_(உரைநடை),தொய்வில்லாத ஆற்றொழுக்கான உரைநடை.,3
கம்பராமாயணம்_(உரைநடை),பாராட்டு கம்பனுக்கு மட்டுமல்ல போராசியர் ராசீக்கும் தான்.,6
கம்பராமாயணம்_(உரைநடை),உரையின் சிறப்புக்குச் சான்று இதோ அனுமனிடம் சீதை கூறியது தாரம் அல்லள் என்று சொல்லி என்னை ஒரம் கட்டலாம்.,14
கம்பராமாயணம்_(உரைநடை),அதற்காகத்தன் வீரம் காட்டாமல் இருப்பது அவன் ஆண்மைக்கு இழுக்கு என்பதை நினைவுறுத்து..... என்றாள்.,10
