work_title,sentence,sentence_length
அந்தமான்_கைதி,அந்தமான் கைதி கவிஞர் கு. சா.,5
அந்தமான்_கைதி,﻿ அந்தமான் கைதி இயற்றியவர் கு. சா.,6
அந்தமான்_கைதி,"கிருஷ்ணமூர்த்தி விற்பனை உரிமை பாரி நிலையம் ஐம்பத்தொன்பது, பிராட்வே.",7
அந்தமான்_கைதி,"சென்னை ஒன்று ﻿ஐந்தாம் பதிப்பு மே, ஓர் ஆயிரத்து தொள்ளாயிரத்து அறுபத்தேழு.",9
அந்தமான்_கைதி,தமிழ்நாடு சங்கீத நாடக சங்கத்தின் உதவியுடன் வெளியிடப் பெற்றது.,7
அந்தமான்_கைதி,"விலை ரூ. நாவல் ஆர்ட் பிரிண்டர்ஸ், சென்னை",6
அந்தமான்_கைதி,நண்பர் கு. சா.,3
அந்தமான்_கைதி,கிருஷ்ணமூர்த்தி அவர்களின் அந்தமான் கைதி என் உள்ளத்தைத் தொட்டீர்த்த ஏடுகளில் ஒன்றாகும்.,9
அந்தமான்_கைதி,திரைப்படமாகவும் இதனைக் கண்டு களித்திட வாய்ப்புக் கிடைத்தது.,6
அந்தமான்_கைதி,கற்பனைச் செறிவுடன் அமைந்துள்ள அந்தமான் கைதி புதிய பதிப்பாக வெளியிடுவது அறிந்து மகிழ்கிறேன்.,10
அந்தமான்_கைதி,மனித இயல்பு விளக்க ஏடான இந்நூல் ஏற்கனவே மக்களின் நல்லாதரவைப் பெற்றிருப்பதுடன் மேலும் பேராதரவு பெற்றிடும் என்று நம்புகிறேன்.,14
அந்தமான்_கைதி,அவர்களுக்கு என் பாராட்டுதலை வழங்கி மகிழ்கிறேன்.,5
அந்தமான்_கைதி,முகவுரை ﻿ முத்தமிழ்க் கலா வித்வ ரத்னம்.,6
அந்தமான்_கைதி,"ஷண்முகம் அவ்வையகம் நூற்றி முப்பத்தொன்பது, பி.",5
அந்தமான்_கைதி,லாயிட்ஸ் சாலே சென்னை ஆறு.,4
அந்தமான்_கைதி,கவிஞர் திரு கு. சா.,4
அந்தமான்_கைதி,கிருஷ்ணமூர்த்தி அவர்களின் அந்தமான் கைதி மீண்டும் புதிய பதிப்பாக வெளிவருவதை அறிந்து மகிழ்கிறேன்.,10
அந்தமான்_கைதி,சமூக நாடக முன்னேற்றத்திற்கு நாடகக் குழுவினரை ஊக்குவித்த பெருமை அந்தமான் கைதிக்கே உரியது.,10
அந்தமான்_கைதி,"தமிழகத்திலும், பாரதத்தின் பிற மாநிலங்களிலும், தமிழர்கள் வாழும் பிற மொழி வழங்கும் நாடுகள் பலவற்றிலும் இந்நாடகம் நடிக்கப் பெற்றுள்ளது.",14
அந்தமான்_கைதி,﻿இத்தனை பெருமைகளுக்கும் உரிய அந்தமான் கைதி நாடகம்.,6
அந்தமான்_கைதி,இதுவரையில் ஆயிரக்கணக்கான முறை மேடைகளில் நடிக்கப் பெற்றதோடு திரைப்படமாகவும் வெளிவந்து இலட்சக்கணக்கான மக்களைக் கவர்ந்துள்ளது என்பது பாராட்டத்தக்கதாகும்.,13
அந்தமான்_கைதி,ஆசிரியர் கு. சா.,3
அந்தமான்_கைதி,கிருஷ்ணமூர்த்தி அவர்கள் பல்லாண்டுகள் நடிகராக இருந்து நாடக நுணுக்கங்களை நன்கறிந்தவர்.,8
அந்தமான்_கைதி,﻿என்னுரை அந்தமான் கைதி ஒரு நாடக நூல்.,6
அந்தமான்_கைதி,இந் நாடகம் அநேகமாக நகரப் பகுதிகளெங்கும் பல்லாண்டுகளுக்கு முன்பே நடிக்கப்பெற்று பத்திரிகைகளாலும் பேரறிஞர்களாலும் பாராட்டப் பட்டிருக்கிறது.,12
அந்தமான்_கைதி,இத்தனைக்கும் பிறகும்கூட இந்நூல் ஐந்தாம் பதிப்பாக வெளியிட வாய்ப்புப் பெறுவது தமிழக நாடக வரலாற்றில் ஒரு புதுமை !,13
அந்தமான்_கைதி,அந்தமான் கைதியை அரங்கேற்றி அதன் வெற்றியிற் பெரும் பங்கேற்ற முத்தமிழ்க் கலா வித்வ ரத்ன.,11
அந்தமான்_கைதி,ஷண்முகம் அவர்கள் அணிந்துரை அளித்துப் பெருமையளித்துள்ளார்.,5
அந்தமான்_கைதி,சென்னை வணக்கம் கு. சா.,4
அந்தமான்_கைதி,கிருஷ்ணமூர்த்தி பாத்திரங்கள் ஒன்று.,3
அந்தமான்_கைதி,நடராஜன் ஓர் சீர்திருத்த ஆர்வமுள்ள இளைஞன்.,5
அந்தமான்_கைதி,லீலாவதி நடராஜனின் தங்கை மூன்று.,4
அந்தமான்_கைதி,காமாட்சி நடராஜனின் தாய்.,3
அந்தமான்_கைதி,பாலசுந்தரம் லீலாவின் காதலன்.,3
அந்தமான்_கைதி,"ஜம்பு பாலு, லீலா, இவர்களின் நட்பில் பொறாமை கொண்டவன்.",7
அந்தமான்_கைதி,திவான்பகதூர் நடராஜனின் தாய் மாமன்.,4
அந்தமான்_கைதி,"முனியாண்டிப் பூசாரி ஓர் தரகன், மற்றும் லேவாதேவிக்காரன், நீதிபதி, ஜூரர்கள், போலீஸ், பத்திரிகை படிப்போர் முதலானவர்கள்.",12
அந்தமான்_கைதி,"இடம் அந்தமான் தீவில் கைதிகள் வேலை பார்க்கும் இடம் காலம் மாலை பாத்திரங்கள் நடராஜன், மற்றொரு கைதி.",13
அந்தமான்_கைதி,கிழக் கைதி ஒருவன் விறகு உடைத்துக் கொண்டே பாடுகிறான்.,7
அந்தமான்_கைதி,இசை இன்பத்தில் மயங்கிய மற்றொரு வாலிபக் கைதி கிழவனை நெருங்குகிறான்.,8
அந்தமான்_கைதி,⁠ வாலிபக் கைதி ஆஹா என்ன இனிமை !,6
அந்தமான்_கைதி,எங்கே இன்னுமொருமுறை பாடுங்கள் கேட்போம் !,4
அந்தமான்_கைதி,﻿ கிழக் கைதி என்ன !,4
அந்தமான்_கைதி,என்பாட்டு அவ்வளவு இனிமையாகவா இருக்கிறது?,4
அந்தமான்_கைதி,வாலிபக் கைதி ஆமாம்.,3
அந்தமான்_கைதி,அதிலும் தன் தாய் நாட்டின் பெருமையைக் கேட்பதில் உள்ள இன்பத்திற்கு ஈடு சொல்லவும் கூடுமா?,11
அந்தமான்_கைதி,கிழக் கைதி தம்பி இப்படி உட்கார் உன் இஷ்டப்படியே பாடுகிறேன்.,8
அந்தமான்_கைதி,வாலிபக் கைதி உட்காருகிறான்.,3
அந்தமான்_கைதி,⁠ வாலிபக் கைதி ஐயா !,4
அந்தமான்_கைதி,நிம்மதியற்ற இந்த சிறைவாழ்க்கையில் இத்தனை நாட்களுக்குப் பிறகு இன்றைக்குத்தான் என் உள்ளத்தில் இன்ப மலர் அரும்புகிறது.,12
அந்தமான்_கைதி,என் தாய்நாட்டு இயற்கை இன்பங்களுக்கிடையே இருப்பதைப் போன்ற இன்ப உணர்ச்சியையே உண்டாக்கிவிட்டது தங்கள் இன்னிசை.,11
அந்தமான்_கைதி,"உம், அதிருக்கட்டும் உன்னோடு தனித்துப் பேசவேண்டுமென்ற ஆசை, இன்றைக்குத்தான் சந்தர்ப்பம் கிடைத்தது.",9
அந்தமான்_கைதி,உன்னைப் பார்த்தால் உயர்ந்த குடும்பத்தில் உதித்த பிள்ளையைப்போல் தெரிகிறது.,7
அந்தமான்_கைதி,என் தலைவிதிதான் பதினேழு ஆண்டுகளாக இந்த அந்தமான் தீவில் படாத பாடெல்லாம் படுகிறேன்.,10
அந்தமான்_கைதி,நீ இந்தச் சிறுவயதில் இவ்வளவு கொடிய தண்டனையடையும்படி என்ன குற்றத்தைச் செய்துவிட்டாய்?,9
அந்தமான்_கைதி,பிறகு ஒரு நாளைக்குப் பார்த்துக்கொள்ளலாம்.,4
அந்தமான்_கைதி,இன்றைக்கு நம் நாட்டு அறிஞர்கள் யாராவது ஒருவரைப் பற்றிய கதையைச் சொல்லுங்கள் கேட்போம்.,10
அந்தமான்_கைதி,கிழக் கைதி தம்பி !,3
அந்தமான்_கைதி,"ஒரு அளவுக்கு மேற்படும்போது இன்பம், துன்பம் இரண்டும் ஒன்றுதான்.",7
அந்தமான்_கைதி,என்னைப் பொருத்தமட்டும் நிம்மதி குறைவென்பதொன்றுமில்லை.,4
அந்தமான்_கைதி,உன்னைப் பற்றிய வரலாற்றை அறிய என் மனம் அதிகமாக விரும்புகிறது.,8
அந்தமான்_கைதி,வாலிபக் கைதி ஐயா !,3
அந்தமான்_கைதி,தங்கள் விருப்பத்தைத் தடுக்க நான் விரும்பவில்லை.,5
அந்தமான்_கைதி,வாருங்கள் இப்படி உட்கார்ந்து பேசலாம்.,4
அந்தமான்_கைதி,இருவரும் ஒரு பாறைமீது உட்காருகிருர்கள்.,4
அந்தமான்_கைதி,வாலிபக் கைதி என் சொந்த ஊர் தூத்துக்குடி.,6
அந்தமான்_கைதி,என் தந்தை ஒரு பெரிய கப்பல் வியாபாரியாகவும் செல்வந்தராகவும் இருந்தார்.,8
அந்தமான்_கைதி,எங்கள் ஊரில் என் தந்தைக்கு அபரிமிதமான செல்வாக்கும் மதிப்பும் இருந்தன ﻿எங்கள் குடும்பமும் செல்வபோகத்தில் திகழ்ந்தது.,12
அந்தமான்_கைதி,இன்னிலையில் எங்கள் கப்பல் ஒன்று புயலில் சிக்கிக் கவிழ்ந்தது.,7
அந்தமான்_கைதி,கோடிக்கணக்கான ரூபாய் இதில் நஷ்டம் வியாபாரம் நொடித்தது.,6
அந்தமான்_கைதி,நஷ்டத்தை ஈடு செய்ய எங்கள் நில புலன்களெல்லாம் விற்றுக் கொடுக்க வேண்டியதாயிற்று.,9
அந்தமான்_கைதி,கெளரவத்தோடும் நாணயத்தோடும் வாழ்ந்த என் தந்தைக்கு இச்சம்பவம் பெரும் மனச் சோர்வை உண்டாக்கியது.,10
அந்தமான்_கைதி,மனேவியாதியின் காரணமாகவே அவரும் இம் மண்ணுலக வாழ்வை நீத்தார்.,7
அந்தமான்_கைதி,"பலரும் மதிக்க, செல்வத்தில் திகழ்ந்த எங்கள்ம் குடும்பம், அதே ஊரில் சிறுமையிலும் வறுமையிலும் சில நாள் அல்லலுற்றது.",13
அந்தமான்_கைதி,"கிழக் கைதி உம், அப்புறம்............ வாலிபக் கைதி எனக்கோர் தாய் மாமன் இருந்தான்.",10
அந்தமான்_கைதி,எங்கள் ஏழ்மையைக் கண்டு ஏளனம் செய்தார்.,5
அந்தமான்_கைதி,வேறு வழியில்லாத என் தாய் எஞ்சிய பொருளில் ஒரு சிறு வீட்டை வாங்கிக்கொண்டு எளிய வாழ்க்கை நடத்த ஆரம்பித்தாள்.,14
அந்தமான்_கைதி,நானும் என் தங்கையும் அங்குள்ள பள்ளியில் படித்து வந்தோம்.,7
அந்தமான்_கைதி,இருந்த பொருள்யாவும் தீர்ந்துவிடவே பள்ளிப்படிப்புக்கும் முற்றுப்புள்ளி வைத்துவிட்டு உத்தியோக வேட்டையில் இறங்கினேன்.,9
அந்தமான்_கைதி,அலையாத இடம் இல்லை.,3
அந்தமான்_கைதி,கேட்காத ஆபீஸ் ﻿இல்லை.,3
அந்தமான்_கைதி,வேலையில்லாது வீணாகக் கழியும் என் வாழ்நாளை நல்ல வழிகளில் செலவழிக்க எண்ணினேன்.,9
அந்தமான்_கைதி,சீர்திருத்தக் கழகமொன்று நிறுவி என்னாலான பொது ஜனத் தொண்டுகளைச் செய்து வந்தேன்.,9
அந்தமான்_கைதி,ஏழைகளை இம்சித்துப் பொருள்சேர்க்கும் என் மாமனுக்கு இதனால் என்மீது ஆத்திரம் அதிகரித்தது.,9
அந்தமான்_கைதி,என் பொதுப் பணியும் அதோடு வறுமையும் பெருகிக்கொண்டே வந்தன.,7
அந்தமான்_கைதி,ஏழைகள் என்னை வாழ்த்தினர்.,3
அந்தமான்_கைதி,எங்கள் சங்கத்தின் மூலம் பல விதவா விவாகங்களும் கலப்பு மணங்களும் நிகழ்ந்தன.,9
அந்தமான்_கைதி,வெளியுலகம் தெரியாத என் தாய் என்னைச் சதா தூஷிப்பாள்.,7
அந்தமான்_கைதி,"என் தங்கையின் திருமணத்தைக் குறித்தும், எங்கள் வறுமையைப் பற்றியும், நான் கவலையின்றிச் சுற்றுகிறேனென்பது என் தாயாரின் எண்ணம்.",13
அந்தமான்_கைதி,ஆம் அன்று ஒரு முக்கியமான பொதுக்கூட்டம் அதற்காக நான் வெளியே புறப்பட ஆயத்தம் செய்து கொண்டிருந்தேன்.,12
அந்தமான்_கைதி,கைதி சொல்லும் கதையின் பிற்பகுதி நிகழ்ச்சியாக வருகிறது.,6
அந்தமான்_கைதி,இடம் நடராஜன் வீடு.,3
அந்தமான்_கைதி,"காலம் காலை பாத்திரங்கள் நடராஜன், லீலா, காமாட்சி லீலா புத்தகம் படித்துக்கொண்டு இருக்கிறாள்.",10
அந்தமான்_கைதி,லீலா எங்கே அண்ணா இன்றைக்கு இவ்வளவு சீக்கிரமாய்ப் புறப்பட்டு விட்டீர்கள்?,8
