work_title,sentence,sentence_length
வஞ்சிமாநகரம்,⁠வரலாற்றுச் செய்திகளை முறையாகத் தொகுத்து ஒழுங்குபடுத்தி எழுதி வைக்கும் பழக்கம் நம்மவர்களிடையே இருந்ததில்லை.,10
வஞ்சிமாநகரம்,"வரலாற்றுச் செய்திகளை அறிவதற்கு கர்ணபரம்பரைக் கதைகளையும், கல் வெட்டுகளையும், இலக்கியங்களையுமே நாம் பெரிதாக நம்பவேண்டிய நிலையில் இருக்கிறோம்.",13
வஞ்சிமாநகரம்,இலக்கியங்களும் வரலாற்றுச் செய்திகளைத் தெளிவாக அறுதியிட்டுக் கூறுவதில்லை.,6
வஞ்சிமாநகரம்,சுவை மிகு இலக்கியங்களின் நடு நடுவே வரும் குறிப்புகளைக் கொண்டுதான் வரலாற்றுச் செய்திகளையறிய வேண்டும்.,11
வஞ்சிமாநகரம்,⁠இலக்கியங்களில் வரும் குறிப்பைக் கொண்டு வரலாற்றுச் செய்திகளைச் சேகரிப்பதற்குப் பழந்தமிழ் இலக்கியத்தில் பரந்த அறிவும் ஆழ்ந்த புலமையும் வேண்டும்.,14
வஞ்சிமாநகரம்,இந்த இரண்டும் நிறையப் பெற்றவர் ஆசிரியர் திரு நா.,7
வஞ்சிமாநகரம்,வின் திட்டப்படி மூன்றாவது நாவல் இது.,5
வஞ்சிமாநகரம்,மணி பல்லவம் சோழப் பேரரசின் தலைநகரைப்பற்றிப் பேசுகிறது.,6
வஞ்சிமாநகரம்,பாண்டியர்களின் பழம்பெரு நகரான கபாடபுரம் இரண்டாவது நாவலாக உருப்பெற்று விட்டது.,8
வஞ்சிமாநகரம்,கடல் பிறக் கோட்டிய சேரர் பெருமான் செங்குட்டுவனின் காலச்சூழ்நிலையை விளக்குகிறது இந்த வஞ்சிமாநகரம்.,10
வஞ்சிமாநகரம்,அவர்கட்கும் எங்கள் உள்ளம் நிறைந்த நன்றி உரித்தாகுக.,6
வஞ்சிமாநகரம்,மகோதைக் கரையிலே இரண்டு.,3
வஞ்சிமாநகரம்,கொடுங்கோளுர்க் குமரன் மூன்று.,3
வஞ்சிமாநகரம்,ஆந்தைக் கண்ணன் நான்கு.,3
வஞ்சிமாநகரம்,அமைச்சர் கூறிய செய்தி ஐந்து.,4
வஞ்சிமாநகரம்,குமரனின் சீற்றம் ஆறு.,3
வஞ்சிமாநகரம்,நள்ளிரவில் நிகழ்ந்தது ஏழு.,3
வஞ்சிமாநகரம்,குமரன்நம்பியின் திட்டம் எட்டு.,3
வஞ்சிமாநகரம்,கடம்பர் சூழ்ச்சி பத்து.,3
வஞ்சிமாநகரம்,ஒரே ஒர் இரவு பதினொன்று .,4
வஞ்சிமாநகரம்,அமைச்சரின் சிந்தனைகள் பனிரண்டு .,3
வஞ்சிமாநகரம்,குமரன் திரும்புகிறான் பதிமூன்று .,3
வஞ்சிமாநகரம்,ஒற்றன் ஒருவன் பதினான்கு .,3
வஞ்சிமாநகரம்,கடம்பன் ஏமாறினான் பதினைந்து .,3
வஞ்சிமாநகரம்,நம்பியின் நாடகம் பதினாறு .,3
வஞ்சிமாநகரம்,மீண்டும் வேளாவிக்கோ மாளிகை பதினேழு .,4
வஞ்சிமாநகரம்,கடம்பர் மரக்கலங்களில் பத்தொன்பது .,3
வஞ்சிமாநகரம்,குமரனின் கோபம் இருபது.,3
வஞ்சிமாநகரம்,மன்னர் வருகிறார் இருபத்தொன்று.,3
வஞ்சிமாநகரம்,வெற்றி மங்கலம் இருபத்திரண்டு.,3
வஞ்சிமாநகரம்,படைத்தலைவனுக்குப் பரிசு ஒன்று.,3
வஞ்சிமாநகரம்,பெளர்ணமிக்கு மறுநாளாகையினால் சிறிது காலந்தாழ்ந்து உதித்தாலும் நிலாவின் பொலிவு அந்த இடத்தின் பொலிவுக்கு மெருகு ஊட்டியது.,12
வஞ்சிமாநகரம்,"கடலை ஆண்மையாகவும், நதியைப் பெண்மையாகவும் கற்பனை செய்யும் எண்ணத்தைக் கூட அந்தச் சங்கமத்துறையே படைத்துக் கொடுத்தது.",12
