work_title,sentence,sentence_length
அனிச்ச_மலர்,அனிச்ச மலர் நா.,3
அனிச்ச_மலர்,"ஒளி அச்சு லேசர்லிங் சிஸ்டம்ஸ், சென்னை அச்சிட்டோர் ஜெய்கணேஷ் பிரிண்டிங் ஒர்க்ஸ், சென்னை",10
அனிச்ச_மலர்,"அளவில், முறையில், அணுகுதலில், பாத்திர அமைப்பில் எல்லாவற்றிலும்தான்.",6
அனிச்ச_மலர்,"ஒரு தினசரியில் வெளிவந்தும், இந்த நாவலை நிறையபேர் படித்திருக்கிறார்கள்.",7
அனிச்ச_மலர்,எனக்கு வந்த கடிதங்களிலிருந்தும் என்னிடம் விசாரித்தவர்களின் காரசாரமான விமர்சன விவாதங்களிலிருந்தும் இதை நான் தெரிந்து கொண்டேன்.,12
அனிச்ச_மலர்,"சில நண்பர்கள், குறிஞ்சி மலரை எழுதின நீங்கள் அனிச்ச மலரை எழுதலாமா?",9
அனிச்ச_மலர்,பூரணியைக் கதாபாத்திரமாகப் படைத்த நீங்கள் சுமதியையும் கதாபாத்திரமாகப் படைக்கலாமா? என்றெல்லாம் கேட்டது உண்டு.,10
அனிச்ச_மலர்,உடன்பாடான சமூகப் படிப்பினைகளை ஏற்கத் தயாராயிருக்கும் நம்மவர்கள் எதிர்மறையான சமூகப்படிப்பினைகளை ஏனோ ஏற்கத் தயங்குகிறர்ர்கள்.,11
அனிச்ச_மலர்,"நான் சினிமாவை வெறுப்பவனில்லை, ஆனால் அது இன்றுள்ள நிலையில் அப்படியே அதை ஏற்றுக்கொண்டுவிட விரும்புகிறவனு மில்லை.",12
அனிச்ச_மலர்,அதில் பல விஷயங்கள் மாற வேண்டும்.,5
அனிச்ச_மலர்,சமூகத்துக்கு மிக மிக அவசியமான ஒரு புரொபஸர்.,6
அனிச்ச_மலர்,"உழைப்பையும், தொழிலையும் போற்றுவதுடன் சோம்பலைத் தூற்றுவதும் புதிய தலைமுறைக்கு அவசியமாகிறது.",8
அனிச்ச_மலர்,அந்த வகை நிந்தனை ஓரளவு சமூக நன்மைக்கும் பயன்படவே செய்யும் என்பது என் கருத்து.,11
அனிச்ச_மலர்,⁠இந்நாவலில் வருகிற சுமதி நிந்தனை செய்யப்பட வேண்டிய ஒரு வர்க்கத்திற்குப் பலியாகி விடுகிறாள்.,10
அனிச்ச_மலர்,அந்த வர்க்கத்தை எதிர்த்துப் போரிட வேண்டிய தெம்பு அவளிடமில்லை.,7
அனிச்ச_மலர்,"காரணம், அவளே அந்த வர்க்கத்தினரில் ஒருத்தி ஆக ஆசைப்பட்டுத்தான் சீரழிகிறாள்.",8
அனிச்ச_மலர்,ஆகவே அவளிடமிருந்து எதிர்மறைப் படிப்பினைகளைத்தான் நாம் தெரிந்து கொள்ள முடியும்.,8
அனிச்ச_மலர்,அனிச்சப் பூவைப்போல் அவள் மிகச் சுலபமாக மிக விரைவில் வாடிக் கருகி விடுகிறாள் அவளிடமிருந்து எச்சரிக்கை அடையலாம்.,13
அனிச்ச_மலர்,வேறு என்ன செய்ய முடியும்?,4
அனிச்ச_மலர்,"தீபம் அன்பன், நா.பார்த்தசாரதி ﻿ அனிச்சமலர் ⁠அப்போது இரவு ஒன்பது மணிக்கு மேல் இராது.",12
அனிச்ச_மலர்,அந்தக் கல்லூரி விடுதி லவுஞ்சில் ஒரே கலகலப்பு.,6
அனிச்ச_மலர்,எல்லோரும் படிக்கிறீர்களா அல்லது ஊர் வம்பு பேசி அரட்டை அடிச்சிக்கிட்டிருக்கீங்களா?,8
அனிச்ச_மலர்,"மாலைத் தினசரிகளும், சினிமா இதழ்களும், வாரப் பத்திரிகைகளும் அவசர அவசரமாக மறைக்கப்பட்டன.",9
அனிச்ச_மலர்,"அரட்டையும் கிண்டலும், சிரிப்பும் ஒய்ந்து அங்கே ஒரு ஸீரியஸ்நெஸ் வந்தது.",8
அனிச்ச_மலர்,"⁠பாடப்புத்தகங்களும், வகுப்பு நோட்டுப் புத்தகங்களும் தேடப்பட்டுப் பிரித்து மேஜைமேல் வைக்கப்பட்டன.",8
அனிச்ச_மலர்,ரேடியோ ஒலி கேட்டுக் கொண்டிருந்த அறைகளில் பட்டென்று ஆஃப் செய்யப்படும் ஒசை வந்தது.,10
அனிச்ச_மலர்,சிலர் வார்டன் அம்மாளுக்குக் காது கேட்க வேண்டும் என்பதற்காக இரைந்து சத்தம் போட்டே படிக்கத் தொடங்கினார்கள்.,12
அனிச்ச_மலர்,அதுவரை இருண்டிருந்த அறைகளில் கூட பளீரென்று விளக்கு வெளிச்சம் பாய்ந்தது.,8
அனிச்ச_மலர்,⁠செயற்கையாக ஏற்றப்பட்ட இந்தச் சுறுசுறுப்பும் தீவிரமும் எல்லாம் பத்து நிமிஷம்கூட நீடிக்கவில்லை.,9
அனிச்ச_மலர்,ஒரு பெண் கையிலிருந்த மாலைத் தினசரியைப் படிக்கலானாள் ⁠ ஏய் பத்மா !,9
அனிச்ச_மலர்,உனக்காகத்தான் படிக்கிறேன் கேளு !,3
அனிச்ச_மலர்,ஒரு நாடகக் கம்பெனிக்கு மாலை நேரங்களில் மட்டும் நடிக்கக் கூடிய நடிகைகள் தேவையாம்.,10
அனிச்ச_மலர்,"பாலன் நாடகக் குழு, சென்னை.",4
அனிச்ச_மலர்,படிப்புக்கு இடையூறு இல்லாமல் மாலை நேரங்களிலே நடித்துப் பணம் சம்பாதிக்கலாம்.,8
அனிச்ச_மலர்,கல்லூரி மாணவிகளாயிருந்தால் விஷேச சலுகையுடன் அவர்களின் விண்ணப்பங்கள் கவனிக்கப்படும்.,7
அனிச்ச_மலர்,அவர்கள் மூலைக்கு ஒருவராக இழுத்த இழுப்பில் பேப்பர் ஒவ்வொருவர் கைக்கும் கொஞ்சமாகக் கிழிந்து துண்டு துண்டாகப் போய்விடும் போலிருந்தது.,14
அனிச்ச_மலர்,"அந்த நேரத்திலும் பேப்பரைச் சுற்றிச் சூழ்ந்திருந்தவர்களில் ஒருத்தி, ⁠ அதோ சுமதியைப் பாருடீ !",10
அனிச்ச_மலர்,"எதையோ பறிகொடுத்தவளைப்போல உட்கார்ந்திருக்கா என்று, விலகி அமைதியாக உட்கார்ந்திருந்தவளைச் சுட்டிக் காட்டி மற்றவர்களிடம் கூறத் தவறவில்லை.",12
அனிச்ச_மலர்,"உடனே அவர்களில் ஒருத்தி சுமதி என்கிற அந்தப் பெண்ணருகே ஒடிச் சென்று, ⁠ என்னடி சுமதி?",12
அனிச்ச_மலர்,ஏன் என்னவோ போலிருக்கே?,3
அனிச்ச_மலர்,என்று ஆதரவாகக் கேட்டாள்.,3
அனிச்ச_மலர்,எனக்குத் தூக்கம் வருது !,3
அனிச்ச_மலர்,நான் ரூமுக்குப் போறேன் என்று உடனே எழுந்து போய்விட்டாள் சுமதி என்று அழைக்கப்பட்ட அழகான அந்தப் பெண்.,13
