work_title,sentence,sentence_length
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,சென்னை அறுநூறு  பதினேழு .,3
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,﻿முன்னுரை மனித சமுதாயம் வளர்ச்சிக்குரியது மாற்றத்திற்குரியது.,5
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,ஒரே வழி வளர்ச்சி இல்லாத மாற்றங்களும் நிகழ்வதுண்டு.,6
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,"இவை, புற நிலை மாற்றங்களேயாம் அகநிலை மாற்றங்கள் அல்ல.",7
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,"மானுடத்தின் வாழ்நிலையில், அகநிலையில் ஏற்படும் மாற்றங்களே மானுடத்தின் குறிக்கோள்களை இனம் காட்டும் நாகரிகத்தை நல்கும் பண்பாட்டைத் தோற்றுவிக்கும்.",13
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,தமிழினம் காலந்தோறும் வளர்ந்து வந்துள்ள இனம்.,5
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,தமிழிலக்கியங்கள் காலந்தோறும் தமிழினத்திற்குச் சிறந்த குறிக்கோள்களை வழங்கி வந்துள்ளன.,7
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,தமிழினம் ஓரினமாக வாழ்ந்து வெற்றி பெற்றதாக வரலாறு இல்லை.,7
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,"தமிழினத்தில் இனமானம், குடிசெயற்பண்பு மிகவும் குறைவு என்பதைத் திருக்குறள் வாயிலாக அறிய முடிகிறது.",10
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,இது மறுக்க முடியாத உண்மை.,4
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,"தமிழ்ச் சமுதாயக் கட்டமைப்புக்குத் தடையாக இருந்த சாதி, குல, வேற்றுமைகளை அப்பரடிகள் சாடினார்.",10
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,ஒருகுலம் காண முயன்றார்.,3
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,இங்ஙனம் முறையாக வளர்ந்து வந்த சமுதாய உணர்வு தலைவர் பெரியார் காலத்தில் எழுச்சி பெற்றது.,11
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,"இந்த வரிசையில் நமது தலைமுறையில் வாழும் அறிஞர்கள், சிந்தனையாளர்கள், கவிஞர்களின் படைப்புகளைப் பற்றி எழுதப்பெற்ற நூல் இது.",13
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,இவர்களுடைய முற்போக்குச் சிந்தனைகளைத் தமிழக மக்களின் கவனத்திற்குக் கொண்டு வரவேண்டும் என்ற ஆர்வத் துடிப்புடன் எழுந்தது இந்நூல்.,13
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,பேரறிஞர் அண்ணா காலத்தில் தமிழர்களுக்கிடையில் இன உணர்வு வளர்ந்தது உறுதிப்பட்டது.,8
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,பேரறிஞர் அண்ணாவைப் போல் தமிழின உணர்வுக்குத் தமிழ்நாட்டு வரலாற்றில் முன்னும் யாரும் இல்லை.,10
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,இனிமேலும் தோன்றுவார்களா என்பது ஐயப்பாடே !,4
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,இங்ஙனம் தமிழ்ச் சமுதாய அமைப்புக்கு உரமூட்டும் வகையில் எழுதப்பெற்றுள்ளது.,7
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,திருநாவுக்கரசு அவர்களுக்கு நன்றி பாராட்டு வாழ்த்துக்கள் !,5
சமுதாய_மறுமலர்ச்சி_இலக்கியங்கள்,"பலரும் புத்தகத்தை வாங்கிப் படிப்பார்கள், பயனடைவார்கள்.",5
