work_title,sentence,sentence_length
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,பத்தொன்பதாம் நூற்றாண்டின் தமிழ் உரைநடை வளர்ச்சி அ.,6
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,﻿பத்தொன்பதாம் நூற்றாண்டின் தமிழ் உரைநடை வளர்ச்சி சென்னைப் பல்கலைக் கழகக் கல்கி நினைவுச் சொற்பொழிகள் பேராசிரியர் அ.,13
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,நம் முன்னேர்களாகிய புலவர் பெருமக்கள் இரண்டாயிரம் ஆண்டுகளுக்கு முன்பிருந்தே சங்கம் வைத்து மொழியை வளர்த்தார்கள்.,11
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,காப்பியங்கள் இயற்றி மொழியின் இலக்கிய வளத்தைப் பெருக்கினர்கள்.,6
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இலக்கண நூல்களையும் உருவாக்கினர்கள்.,3
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,ஒருமொழியின் வளர்ச்சி என்பது பல அம்சங்களோடு கூடிய பெரிய காரியம்.,8
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,வாழ்க வளர்க என்ற வெறும் வாழ்த்துக்களால் மட்டும் ஒரு மொழி ஒருபோதும் வளர்ச்சியடையாது.,10
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,ஆங்கிலமொழியில் இத்தகைய நூல்கள் அளவில்லாமல் இருக்கின்றன.,5
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,ஆங்கில மொழி அறிஞர்கள் இந்தத்துறையில் எடுத்துக் கொண்ட முயற்சியே இதற்குக் காரணம் ஆகும்.,10
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,அதேபோல் தமிழ்மொழியிலும் இத்தகைய நூல்கள் எழுதப் பெறவேண்டும் என்ற எண்ணம் சிறிது காலத்துக்கு முன்புதான் நம் நாட்டில் தோன்றியது.,14
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,"கால அளவு சிறிதாயினும், அந்தத்துறையில் இப்போது கணிசமான முன்னேற்றம் ஏற்பட்டிருப்பது பெருமைப் படத்தக்க ஒன்று.",11
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,பத்தொன்பதாம் நூற்றாண்டில் தமிழ்மொழியில் ஏற்பட்ட உரைநடையின் வளர்ச்சி பற்றிய இலக்கிய வரலாற்றை இந்த நூல் விவரிக்கிறது.,12
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,தமிழ்ப் பேராசிரியர் ஸ்ரீ அ.,4
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,பரமசிவானந்தம் தெளிந்த ஆராய்ச்சியோடும் தீர்க்கமான சிந்தனையோடும் பல நுட்பமான விஷயங்களை இதில் தந்திருக்கிறர்.,10
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,ஒரு வடிவம் பெற்ற உரைநடை யென்பது வெகு காலத்துக்குப் பிறகுதான் தமிழ் மொழியில் தோன்றத் தொடங்கியது.,12
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இருப்பினும் இன்று அது மகத்தான வளர்ச்சி பெற்றுள்ளது.,6
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இந்த வளர்ச்சியின் ஆரம்பம் பத்தொன்பதாம்நூற்றாண்டிலேயே மலரத் தொடங்கியது.,6
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,"இதை, பல கட்டுரைகள், பெரியோர் எழுதிய கடிதங்கள் ஆகியவற்றைக் கொண்டு அழகாகச் சித்திரிக்கிறார் ஆசிரியர்.",11
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இலக்கிய வரலாறுகளை எழுதும் புதிய முயற்சியில் இந் நூல் ஒரு குறிப்பிட்டுச் சொல்லத்தக்க சாதனை.,11
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இதற்காக ஸ்ரீ அ.,3
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,பரமசிவானந்தம் அவர்களைப் பாராட்டுகிறேன் இதேபோல் இவர் இன்னும் பல ஆராய்ச்சி நூல்களைத் தமிழ் மொழியின் வளர்ச்சிக்காகத் தரவேண்டும்.,13
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,மொழி ஆர்வம் மிகுந்து வரும் இந்நாளில் மக்கள் இத்தகைய நூல்களுக்கு நல்ல வரவேற்புத் தரவேண்டும் என்று கேட்டுக் கொள்கிறேன்.,14
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,மறைந்த கல்கி அவர்களின் நினைவாக அமையப்பெற்ற நிலைத்த தொடர்ச் சொற்பொழிவு வரிசை இதுவாகும்.,10
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இவ்வரிசையில் மூன்ற்றாவது ஆண்டு இது என எண்ணுகிறேன்.இந்த வரிசைக்கு ஆய்வுச் சொற் பொழிவுகள் அமைதலே சாலப் பொருத்தமாகும்.,14
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இத்தலைப்பின் அடிப்படையில் நான் ஆராய்ந்து கண்ட இடங்கள் பல—ஏடுகள் பல—பழம் பெரு நூல்கள் பல காணாதன.,12
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இன்னும் பலவாக இருக்கலாம்.,3
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,சென்ற நூற்றாண்டில் தமிழ் இலக்கியம்—சிறப்பாக உரை நடை இலக்கியம் வளர்ந்ததைக் காணப் பல ஆண்டுகள் தேவை.,12
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,எனவே இந்நூலில் நான் அனைத்தையும் காட்டிவிட்டேன் எனக் கூற முடியாது.,8
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,என்றாலும் அவற்றின் வகைகளையெல்லாம் ஒருமுகப்படுத்தி உரியவகையில் பிரித்து மூன்று சொற்பொழிவுகளால் முடித்துக் காட்டியுள்ளேன்.,10
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,முதற் செற்பொழிவில் தமிழ் உரைநடையின் தோற்ற வளர்ச்சியினையும் பத்தொன்பதாம் நூற்றண்டின் தலைவாயிலில் அதன் நிலையினையும் காட்டினேன்.,12
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,"மூன்றாம் நாளில் மொழி, இலக்கியம், சமயம் ஆகிய நெறிகளில் உரைநடை வளர்ந்த வகையினைக் காட்டினேன்.",11
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இவ்வாறு இயன்றவகையில் சென்ற நூற்றண்டின் உரை நடை வளர்ச்சியினை ஓரளவு காட்டியுள்ளேன்.,9
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,ஆனால் அந்த நினைவைச் செயலாற்றுவது என்னல் முடியாத ஒன்றல்லவா !,7
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,வல்லார் வழி காண்பாராக !,3
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இப்பணியில் ஊக்கிய சென்னைப் பல்கலைக்கழகத்தாருக்கும் இந்நூலுக்கு முன்னுரை தந்து சிறப்பித்த நம் தமிழக முதலமைச்சர் உயர்திரு மீ.,13
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,பக்தவத்சலம் அவர்களுக்கும் என் நன்றியையும் வணக்கத்தையும்.தெரிவித்துக் கொள்ளுகிறேன்.,7
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இடைப்பட்ட காலத்தில் தமிழகத்திலும் பரந்த இந்திய நாட்டிலும் எத்தனையோ மாற்றங்கள் உண்டாகியுள்ளன.,9
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,எனினும் தமிழ் மொழியில் போதுமான ஆய்வு நூல்கள் இன்னும் வெளிவராதிருப்பது எண்ணத்தக்கதாக உள்ளது.,10
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,அவர்களுக்கு என் வணக்கமும் நன்றியும்.உரியன.,5
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,தமிழ் உரைநடை வளர்ச்சியில் தொடர்ந்து ஆய்வு தேவை.,6
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,வல்லார் அத்துறையில் வழி காட்டவேண்டுமெனக் கேட்டுக் கொள்ளுகின்றேன்.,6
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,முதல் பதிப்பு விற்பனையாவதற்குப் பத்து ஆண்டுகள் கழிந்தனவாயினும் இதன்படிகள் அனைத்தும் தக்கார் கைப்பட்டுச் சிறந்துள்ளமை அறிந்து மகிழ்கின்றேன்.,13
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,தொடர்ந்து இப்பதிப்பினையும் தமிழுலகம் ஏற்று ஆதரிக்கும் எனும் துணிபுடையேன்.,7
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,இந்நூல் வெளிவருவதற்கு உதவிய அனைவருக்கும் நன்றியுடையேன்.,5
