work_title,sentence,sentence_length
ரோஜா_இதழ்கள்,வெவ்வேறு நிலைகளில் அதற்காகப் பல மனிதர்களைப் பரிச்சயம் செய்து கொண்டு செய்திகள் திரட்டி இருக்கிறேன்.,11
ரோஜா_இதழ்கள்,ஆதார பூர்வமான தகவல்களைப் பெற அந்தந்தப் பிராந்திய நூல் நிலையங்களுக்குச் சென்று கெஜட்டியர்களையும் பதிவேடுகளையும் மணிக்கணக்காகப் புரட்டிப் பார்த்திருக்கிறேன்.,14
ரோஜா_இதழ்கள்,இந்தப் புத்தகத்துக்காக நான் அத்தகைய முயற்சி எதையுமே மேற்கொள்ளத் தேவையிருக்கவில்லை.,8
ரோஜா_இதழ்கள்,"இந்து மதத்தைப் பொருத்தவரையிலும், சிருஷ்டி அல்லது ஆக்கல் என்ற நிலையே, பேதத்தைத் தோற்றுவிப்பது என்று கொள்ளற்பாலது.",12
ரோஜா_இதழ்கள்,எல்லாம் ஒரே பாங்கை அடைவதும் அழித்தல் என்ற நிலையும் ஒன்று.,8
ரோஜா_இதழ்கள்,"எனவே, வேற்றுமை இயற்கை.",3
ரோஜா_இதழ்கள்,எக்குடியிற் பிறந்தவன் என்பதை முன்னிட்டு ஒருவன் அந்தணன் என்பது உலக வழக்கு.,9
ரோஜா_இதழ்கள்,"ஆனால், மனப்பக்குவமும் வாழ்க்கை முறையுமே ஒருவனை அந்தணனென்று வேதாந்தம் வரையறுக்கிறது.",8
ரோஜா_இதழ்கள்,"எந்தச் சமுதாயத்திலும் எக்குடியிலும், எக்காலத்திலும் அந்தணன் தோன்றலாம்.",6
ரோஜா_இதழ்கள்,ஏனெனில் பிறப்பு உரிமையில் பொருள் எதுவுமில்லை.,5
ரோஜா_இதழ்கள்,மனப்பக்குவமே முக்கிய மானது.,3
ரோஜா_இதழ்கள்,வேதாந்தம் விளக்கும் அளவில் அந்தணனுக்குரிய செந்தண்மை பூண்டொழுகும் இயல்பைப் பெற்றவர்களை உலகில் காண்பது அரிது.,11
ரோஜா_இதழ்கள்,"ஆயினும், அத்தகைய நிலையை அடைய மனிதன் முயற்சி செய்யலாம்.",7
ரோஜா_இதழ்கள்,பாரதம் முழுவதிலும் இந்த நிலை இருக்கலாம்.,5
ரோஜா_இதழ்கள்,"எனவே, செய்தி தேடிக் கொண்டு செல்லவேண்டிய தேவை இல்லாமலேயே இக்கதையை எழுதியுள்ளேன்.",9
ரோஜா_இதழ்கள்,இதை எந்தச் சாராரையும் புண்படுத்த வேண்டும் என்ற நோக்குடன் நான் குறிப்பிடவில்லை.,9
ரோஜா_இதழ்கள்,எனினும் இலக்கியம் வாழ்க்கையின் உண்மைகள் என்ற மூலப் பொருளினின்றும் வார்க்கப்பெறும் வார்ப்புகளாகும்.,9
ரோஜா_இதழ்கள்,குறைகளைச் சுட்டும் எண்ணத் துடன்கூட இந்நவீனத்தை நான் உருவாக்கவில்லை.,7
ரோஜா_இதழ்கள்,சிந்திக்கச் செய்யவேண்டும் என்பதே என் நோக்கம்.,5
