work_title,sentence,sentence_length
பறவைகளைப்_பார்,நவம்பர் ஓர் ஆயிரத்து தொள்ளாயிரத்து எழுபது © ஜமால் ஆரா ஓர் ஆயிரத்து தொள்ளாயிரத்து எழுபது ரூ.,13
பறவைகளைப்_பார்,"அச்சிட்டவர், ஜனதா பிரஸ், அறுபத்தாறு, பெல்ஸ் ரோடு, சென்னை ஐந்து.",8
பறவைகளைப்_பார்,அட்டை மற்றும் ஓவியங்கள் அச்சிட்டவர் இந்த்ர பிரள்தர பிரஸ் புது டெல்லி.,9
பறவைகளைப்_பார்,அரசாங்கம் இதை நன்கு உணர்ந்திருக்கிறது.,4
பறவைகளைப்_பார்,இந்த நூலிலே பல உண்மைகள் எடுத்துக் கூறப்பட்டுள்ளன.,6
பறவைகளைப்_பார்,இவை குழந்தைகளுக்குப் பெரிதும் பயன்படுவதோடு உற்சாக மூட்டுவன வாகவும் உள்ளன.,8
பறவைகளைப்_பார்,அழகான முறையிலும் இந்நூல் உருவாகியுள்ளது.,4
பறவைகளைப்_பார்,குழந்தைகள் இதை மகிழ்ச்சியோடு படிப்பார்கள் என்று நம்புகிறேன்.,6
பறவைகளைப்_பார்,பாதுகாப்பு நிறமும் போலித் ⁠தோற்றமும் பறவைகளை விரும்பாதவர்கள் யார்?,7
பறவைகளைப்_பார்,அழகாகவும் ஒயிலாகவும் உள்ள இந்த சிறு உயிர்களை நோக்கிக் கொண்டிருப்பதே ஒரு பெரிய இன்பம்.,11
பறவைகளைப்_பார்,"அவற்றின் பேச்சிற்காகவும், அவற்றின் அழகுக்காகவும் நாம் அவற்றை விரும்புகிறோம் பறவைகள் இல்லாத உலகம் சுவை குறைந்ததாகவே இருக்கும்.",13
பறவைகளைப்_பார்,அவற்றின் இறகுகளைப் பாருங்கள்.,3
பறவைகளைப்_பார்,எத்தனை அழகான வகைகளில் அந்த இறகுகள் அமைத்திருக்கின்றன !,6
பறவைகளைப்_பார்,"வர்ணிக்க முடியாதவாறு இறகுகளும், சிறகுகளும் பறவைகளுக்கு அமைந்திருக்கின்றன.",6
பறவைகளைப்_பார்,அழகான இந்தச் சிறகுகள் பறவைகளுக்கு ஒரு முக்கியமான நன்மையைச் செய்கின்றன.,8
பறவைகளைப்_பார்,"உள்ளான், கானக்கோழி போன்ற பறவைகள் மரங்களிலிருந்து விழும் தழைகளின் இடையிலும், புல் பூண்டு இவற்றின் இடையிலும் வாழ்கின்றன.",13
பறவைகளைப்_பார்,அவற்றின் உடல் அமைப்பு வளைந்த கோடுகளையும் திட்டுக்களையும் கொண்டதாய் எளிதில் கண்டு கொள்ள முடியாதவாறு இருக்கின்றது.,12
பறவைகளைப்_பார்,பகைவர்களின் கண்கள் கூசும்படியாக இந்த நிறங்கள் அமைந்துள்ளன.,6
பறவைகளைப்_பார்,போலித் தோற்றம் என்பது பாதுகாப்பு நிறத்தினின்றும் வேறுபட்டது.,6
