work_title,sentence,sentence_length
மணி_பல்லவம்_2,மணி பல்லவம் இரண்டு நா.,4
மணி_பல்லவம்_2,ஆனால் அத்தகைய முழுமையான ஆசிரியர் பெருந்தகை ஒருவரை நேற்றுவரை அவன் சந்திக்க நேர்ந்ததில்லை.,10
மணி_பல்லவம்_2,நீலதாக மறவர் வீரத்தின் ஆசிரியராக அவன் கண்களுக்குத் தோன்றினாரேயன்றி ஞானாசிரியராகத் தோன்றியதில்லை.,9
மணி_பல்லவம்_2,அப்படிப்பட்ட இரும்பு மனிதரும் நாங்கூர் அடிகளின் மாணவர்தாம் என்பதை நினைக்கும்போது அவனுக்கு வியப்பாயிருந்தது.,10
மணி_பல்லவம்_2,அருட்செல்வ முனிவர் பெரிய ஞானியாயிருந்தாலும் அவரிடமே வளர்ந்ததனால் அவர் மேல் அவனுக்கு அன்பும் பாசமும்தான் உண்டாயின.,12
மணி_பல்லவம்_2,"அவரிடமிருந்து அன்புக்காகவும், பாசத்துக்காகவும் அவன் மனம் ஏங்கியதே அல்லாமல் ஞானத்துக்காக ஏங்கியதே இல்லை !",10
மணி_பல்லவம்_2,ஞானத்துக்காக ஏங்குகின்ற மனப் பக்குவம் அப்போது அவனுக்கு இல்லை.,7
மணி_பல்லவம்_2,நம்பிக்கையளிக்கும் அந்தச் சொற்கள் அவன் மனத்திலேயே தங்கி ஒலித்துக் கொண்டிருந்தன.,8
மணி_பல்லவம்_2,அவர் வாய் திறந்து நிதானமாகப் பேசியபோது இந்தச் சொற்களில்தான் எத்தனை நிறைவுடைமை !,9
மணி_பல்லவம்_2,அவர் கேட்டுக்கொண்டாற்போல் தன்னையே அவன் அவருக்குக் கொடுத்துவிட்டான்.,6
மணி_பல்லவம்_2,இளங்குமரன் அங்கு வந்து சேர்ந்த மறுநாள் வைகறையின்போது விடிகையிலேயே அவனுடைய புது வாழ்வும் விடிந்தது.,11
மணி_பல்லவம்_2,பறவைகள் துயில் விழித்துக் குரல் எழுப்பும் பணி புலராத காலை நேரத்தில் நாங்கூர் அடிகள் அவனை எழுப்பினார்.,13
மணி_பல்லவம்_2,அவர் அருகில் வந்து நின்றதுமே அவன் விழித்து எழுந்து விட்டான்.,8
