work_title,sentence,sentence_length
தமிழ்_நூல்களில்_பௌத்தம்,தமிழ் நூல்களில் பௌத்தம் திரு.,4
தமிழ்_நூல்களில்_பௌத்தம்,﻿தமிழ் நூல்களில் பௌத்தம் திரு.,4
தமிழ்_நூல்களில்_பௌத்தம்,﻿தமிழ் நூல்களில் பௌத்தம் ஆக்கியோர் திருவாளர் திரு.,6
தமிழ்_நூல்களில்_பௌத்தம்,அவனை விலங்கினின்றும் பிரிப்பது சமயம்.,4
தமிழ்_நூல்களில்_பௌத்தம்,விலங்கு சமயம் மனிதன்.,3
தமிழ்_நூல்களில்_பௌத்தம்,"எனவே, மனிதனுக்குச் சமயம் இன்றியமையாதது.",4
தமிழ்_நூல்களில்_பௌத்தம்,"மெய்யறிவு விளங்கப் பெற்றவர்க்கும், அவ்வறிவுண்மையைக் கலையறிவால் உணர்ந்து, அதைக் குறிக்கொண்டு நிற்பவர்க்குஞ் சமயம் ஒன்றே.",11
தமிழ்_நூல்களில்_பௌத்தம்,மெய்யறிவு விளக்கமாதல் நாட்டமாதல் பெறாதார்க்குச் சமயம் பலவாகவே தோன்றும்.,7
தமிழ்_நூல்களில்_பௌத்தம்,"அவர்கள் நிலைத்த முழு உண்மையை உணராமையான், அவர்கட்குப் பல சமய உணர்வு பிறக்கிறது.",10
தமிழ்_நூல்களில்_பௌத்தம்,மெய்யறிவு விளங்கப்பெற்றதும் அப்பன்மை உணர்வு பொன்றும்.,5
தமிழ்_நூல்களில்_பௌத்தம்,உலகில் நானாபக்கங்களிலுந் தோன்றி உண்மை ஞானத்தை அறிவுறுத்திய சமய குரவர்கள் பலரும் மெய்யறிவு பெற்றவர்கள் அல்லவோ?,12
தமிழ்_நூல்களில்_பௌத்தம்,அவர்கள் அறிவுறுத்திய சமயக் கொள்கைகள் ஒன்றோடொன்று முரண்பட்டுப் பன்மை உணர்விற்கு நிலைக்களனாக நிற்றற்குக் காரணம் என்னை?,12
தமிழ்_நூல்களில்_பௌத்தம்,என்று சிலர் வினவலாம்.,3
தமிழ்_நூல்களில்_பௌத்தம்,சமய குரவர்கள் அனைவரும் அறிவுறுத்திய உண்மை ஒன்றே.,6
தமிழ்_நூல்களில்_பௌத்தம்,ஆனால் அவ்வுண்மைப் பேற்றிற்குரிய முறைகளில் வேற்றுமை உண்டு.,6
தமிழ்_நூல்களில்_பௌத்தம்,"அடிப்படையான உண்மையையும், முறைப்பாட்டையும் ஒன்றெனக் கொண்டு பலர் வாதம் புரிகிறார்.",8
தமிழ்_நூல்களில்_பௌத்தம்,அவ்வாதப் போர் ஈண்டு எற்றுக்கு?,4
தமிழ்_நூல்களில்_பௌத்தம்,"உண்மை, என்றும் ஒரு பெற்றியா இலங்குவது.",5
தமிழ்_நூல்களில்_பௌத்தம்,முறைப்பாடுகள் காலதேச வர்த்தமானத்தை யொட்டிக் கோலப்படுவன.,5
தமிழ்_நூல்களில்_பௌத்தம்,அவைகளில் வேற்றுமை யிருத்தல் இயல்பு.,4
தமிழ்_நூல்களில்_பௌத்தம்,அவைகள் மாறுந் தகையன.,3
தமிழ்_நூல்களில்_பௌத்தம்,மாறத்தக்க முறைகளையே அடிப்படையான உண்மையென்று கோடல் அறியாமை.,6
தமிழ்_நூல்களில்_பௌத்தம்,"இந் நுட்பம் விளங்கப்பெறுவோர்க்கு, உண்மையில் பன்மை ﻿ உணர்வு தோன்றுதல் அரிது.",9
தமிழ்_நூல்களில்_பௌத்தம்,முறைகளிற் சிற்சில வேளைகளில் மாசு படிவதுண்டு.,5
தமிழ்_நூல்களில்_பௌத்தம்,அம்மாசைப் போக்கப் பெரியோர்கள் தோன்றுவது வழக்கம்.,5
தமிழ்_நூல்களில்_பௌத்தம்,அப்பெரியோருள் புத்தர் பெருமானும் ஒருவர்.,4
தமிழ்_நூல்களில்_பௌத்தம்,புத்தர் பெருமான் எந்தாளில் தோன்றினார்?,4
தமிழ்_நூல்களில்_பௌத்தம்,"அஞ்ஞாயிறு, அக்கால தேச வர்த்தமானத்துக்கேற்ற வழியில், அறமுறைகள் கோலி, உண்மைமீது படர்ந்திருந்த பனிப்படலத்தை நீக்கிற்று.",11
தமிழ்_நூல்களில்_பௌத்தம்,"சுருங்கக்கூறின், சீலம் என்பதன் வழிப் புத்தர் உலகைச் செம்மை செய்தார் என்று கூறலாம்.",10
தமிழ்_நூல்களில்_பௌத்தம்,"அந்நாளில் சீலம் மறக்கப்பட்டமையான், சீலம் வலியுறுத்தப்பட்டது.",5
தமிழ்_நூல்களில்_பௌத்தம்,பௌத்தம் பூதவாதமென்று சிலவிடங்களில் கருதப்படுகிறது.,4
தமிழ்_நூல்களில்_பௌத்தம்,பௌத்த நூல்களில் ஏதாவதொன்றைச் சிறிது பார்த்தவரும் இங்ஙனங் கூறார்.,7
தமிழ்_நூல்களில்_பௌத்தம்,இது குறித்து நூலினுள் சில உரை பகர்ந்துளேன்.,6
தமிழ்_நூல்களில்_பௌத்தம்,"புத்தர், கடவுளைப்பற்றி ஒன்றுங் கூறாமையான், அவரை நாத்திகரெனச் சிலர் கருதுகிறார்.",8
தமிழ்_நூல்களில்_பௌத்தம்,"புத்தர், அறமெனுங் கடவுளைச் சீலமெனும் வழிநின்று உணருமாறு அறி ﻿வுறுத்திப் போந்தார்.",9
தமிழ்_நூல்களில்_பௌத்தம்,"வேதம் யாகம் முதலியவற்றைத் திரித்துக் கேடு சூழ்ந்த பொல்லாத உலகம், புத்தருக்குப் பின்னைப் பௌத்த தர்மத்துக்குங் கேடு சூழ்ந்தது.",14
தமிழ்_நூல்களில்_பௌத்தம்,பிற்றை ஞான்று பௌத்தம் பலப்பல வழியில் மாறுதலடைந்தது.,6
