work_title,sentence,sentence_length
தந்தை_பெரியார்_சிந்தனைகள்,தந்தை பெரியார் சிந்தனைகள் சென்னைப் பல்கலைக் கழகப் பேராசிரியர் சி.,8
தந்தை_பெரியார்_சிந்தனைகள்,"தொலைபேசி விலை ரூ. ஒளி அச்சு சிவா கிராஃபிக்ஸ், சென்னை",8
தந்தை_பெரியார்_சிந்தனைகள்,"அச்சிட்பேர் ரவிராஜா ஆப்செட், சென்னை அறுநூறு  பதினான்கு .",6
தந்தை_பெரியார்_சிந்தனைகள்,"இராம வீரப்பன் ஒன்பது, திருமலை சாலை, சென்னை அறுநூறு  பதினேழு .",8
தந்தை_பெரியார்_சிந்தனைகள்,தந்தை பெரியார் சிந்தனைகள் என்ற தலைப்பில் சென்னைப் பல்கலைக் கழகத்தில் ஆற்றிய சொற்பொழிவுகள் நூலாக உருப்பெற்றிருக்கிறது.,12
தந்தை_பெரியார்_சிந்தனைகள்,இந்த நூலில் மொத்தம் நூற்றி தொன்னூற்று நான்கு தலைப்புகளில் கருத்துக்கள் வழங்கப்பட்டுள்ளன.,9
தந்தை_பெரியார்_சிந்தனைகள்,தமிழ்ச்செம்மல் கலைமாமணி டாக்டர் சுப்புரெட்டியார் அவர்கள் அருமையான பல தமிழ் நூல்களை ஆக்கியிருக்கிறார்கள்.,10
தந்தை_பெரியார்_சிந்தனைகள்,என்றாலும் தந்தை பெரியாரைப் பற்றிய இந்த ஆய்வு நூல் பல வகையிலும் சிறப்புப் பெறுகிற நூலாகும்.,12
தந்தை_பெரியார்_சிந்தனைகள்,ஏனெனில் தந்தை பெரியார் இந்த மண்ணில் பல்வேறு வகையான சிந்தனை விதைகளை விதைத்திருக்கிறார்.,10
தந்தை_பெரியார்_சிந்தனைகள்,அதனால்தான் பெரியார் என்று புகழப்பட்டார்.,4
தந்தை_பெரியார்_சிந்தனைகள்,செயற்கரிய செய்வர் பெரியார் என்று போற்றப்பட்டார்.,5
தந்தை_பெரியார்_சிந்தனைகள்,"எனவேதான், தந்தை பெரியாருடைய கருத்துக்களை, சிந்தனைகளை எடுத்து ஆய்வு செய்வதென்பதிலேயே பல சிக்கல்கள் தோன்றுவது இயல்பு.",12
தந்தை_பெரியார்_சிந்தனைகள்,ஆனால் பெரியவர் பேராசிரியர் சுப்புரெட்டியார் அவர்கள் மிக அருமையாக இந்த ஆய்வினை நிறைவேற்றியிருக்கிறார்.,10
தந்தை_பெரியார்_சிந்தனைகள்,ஏனெனில் பேராசிரியர் டாக்டர் சுப்புரெட்டியார் அவர்கள் ஆழ்ந்த தமிழறிவு படைத்தவர்.,8
தந்தை_பெரியார்_சிந்தனைகள்,விஞ்ஞான நூல்களைக் கற்றவர்.,3
தந்தை_பெரியார்_சிந்தனைகள்,"தொன்மை எது, பழமை எது என்று பேதத்தைப் புரிந்தவர்.",7
